# 分部营收（361度 01361.HK）· 单位：人民币百万元；空=该期财报未按此口径披露
# 🔴 产品口径三代：FY2006-2011H2 鞋类/服装/配饰及其他（不分成人童装）；2012-2023 成人{鞋/服/配}+童装+其他；2024-2025 成人{鞋/服}+儿童{鞋/服}+其他(含配饰及鞋底)。「成人-配饰」「童装」2024 起断流 = 列报口径变更，非业务消失。
# 来源：招股书收益摘要(FY2006-FY2008) + 年报附註营业额表(FY2009-2011H2) + 年报 MD&A 按产品收益明细(2012-2025)；分部收益/毛利取自附註「可呈報分部」表
# 校验：每期分产品合计 = 利润表营业额（分毫吻合，_build_segments.py 强制）
项目,FY2006/6,FY2007/6,FY2008/6,FY2009/6,FY2010/6,FY2011/6,2011H2,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
鞋类,240.325,345.89,866.134,1616.979,1944.663,2880.176,,,,,,,,,,,,,,,
服装,21.229,22.739,432.737,1754.936,2331.828,2459.054,,,,,,,,,,,,,,,
配饰及其他,1.369,4.717,18.198,74.673,54.313,122.01,,,,,,,,,,,,,,,
成人-鞋类,,,,,,,1197.684,2212.306,1521.032,1554.28,1884.788,2204.658,2306.195,2212.185,2386.967,2081.276,2532.076,2853.617,3509.914,4287.298,4629.598
成人-服装,,,,,,,1063.75,2279.433,1575.784,1753.929,1895.915,1966.153,1987.621,1999.181,2059.087,2001.807,2147.035,2447.466,2687.486,3093.189,3422.637
成人-配饰,,,,,,,48.561,88.761,66.286,90.574,89.069,95.439,77.811,76.005,100.201,52.826,68.847,95.718,136.834,,
童装,,,,,,,72.806,370.078,420.375,507.503,588.929,651.244,711.129,815.965,998.888,932.33,1106.839,1442.201,1957.509,,
儿童-鞋类,,,,,,,,,,,,,,,,,,,,1098.465,1412.068
儿童-服装,,,,,,,,,,,,,,,,,,,,1211.283,1119.898
其他,,,,1.691,,,,,,,,105.184,75.444,84.11,86.723,58.719,78.685,121.824,131.514,383.275,561.628
合计,262.923,373.346,1317.069,,4330.804,,2382.801,4950.578,3583.477,3906.286,4458.701,5022.678,5158.2,5187.446,5631.866,5126.958,5933.482,6960.826,8423.257,10073.51,11145.829
分部收益-成人,,,,,,,,,3163.102,3398.783,3869.772,4371.434,4507.196,4397.409,4643.497,4248.833,4855.057,5548.235,6517.242,7764.39,8586.353
分部收益-童装,,,,,,,,,420.375,507.503,588.929,651.244,711.129,815.965,998.888,932.33,1106.839,1442.201,1957.509,2339.263,2582.536
分部毛利-成人,,,,,,,,,1252.384,1390.166,1581.626,1826.46,1872.678,1759.749,1850.024,1559.37,2016.921,2230.508,2649.625,3214.107,3551.566
分部毛利-童装,,,,,,,,,164.715,206.63,241.337,283.448,283.936,346.172,419.985,382.38,456.039,590.212,818.711,972.802,1079.738
电商收入,,,,,,,,,,,,71.1,,,,,104.2,,2325.5,2609.4,3286.1
