# 利润表（361度 01361.HK）· 单位：人民币百万元（每股盈利=人民币元）；负数=减项；空=该期财报无此科目
# 🔴 期间轴三段：FY2006/6–FY2011/6 为止6月30日的财政年度；2011H2 为 6 个月过渡期（2011-07-01~2011-12-31，财政年度结算日变更）；2012 起为止12月31日的财政年度。2011H2 是半年数，不可直接接入年度序列做同比/复合增速。
# 来源：report/361度/ 招股说明书(FY2006-FY2008) + 各期年报逐行解析（_build_from_pdf.py）
科目,FY2006/6,FY2007/6,FY2008/6,FY2009/6,FY2010/6,FY2011/6,2011H2,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
营业额,262.923,373.346,1317.069,3446.588,4330.804,5461.24,2382.801,4950.578,3583.477,3906.286,4458.701,5022.678,5158.2,5187.446,5631.866,5126.958,5933.482,6960.826,8423.257,10073.51,11145.829
销售成本,-235.865,-296.423,-969.041,-2252.785,-2624.479,-3150.298,-1330.103,-2978.266,-2166.378,-2309.49,-2635.738,-2912.77,-3001.815,-3081.575,-3362.25,-3185.225,-3461.062,-4140.178,-4961.102,-5890.218,-6517.293
毛利,27.058,76.923,348.028,1193.803,1706.325,2310.942,1052.698,1972.312,1417.099,1596.796,1822.963,2109.908,2156.385,2105.871,2269.616,1941.733,2472.42,2820.648,3462.155,4183.292,4628.536
其他收益,0.824,1.591,2.467,8.061,32.478,68.81,15.631,81.045,83.766,112.87,154.893,112.824,179.838,281.92,236.848,278.953,354.118,414.947,384.976,355.712,293.127
其他净收入,,,-1.948,-0.056,1.558,3.392,1.738,2.894,5.101,-12.987,27.279,-10.021,46.043,-81.78,-29.663,46.274,-2.85,-20.391,-15.778,-10.145,0.701
销售及分销开支,-9.977,-36.484,-106.409,-372.364,-533.461,-665.22,-477.768,-889.067,-729.3,-769.245,-712.895,-794.185,-891.995,-978.973,-1026.781,-963.725,-1140.051,-1433.251,-1862.988,-2211.389,-2255.701
行政开支,-5.668,-12.699,-39.595,-89.244,-155.048,-276.688,-152.311,-302.771,-424.456,-203.269,-377.571,-469.201,-502.719,-544.711,-569.778,-441.089,-558.401,-541.391,-630.028,-698.913,-854.077
预期信贷亏损拨备,,,,,,,,,,,,,,,7.008,-39.456,-42.114,-166.417,45.212,-42.317,-45.466
经营溢利,12.237,29.331,202.543,740.2,1051.852,1441.236,439.988,864.413,352.21,724.165,914.669,949.325,987.552,782.327,887.25,822.69,1083.122,1074.145,1383.549,1576.24,1767.12
可换股债券衍生工具公允值变动,,,,,,,,32.936,41.841,51.661,,,,,,,,,,,
购回可换股债券损益,,,,,,,,,,-76.118,,,,,,,,,,,
购回优先票据损益,,,,,,,,,,,,-55.068,,,52.644,46.199,-1.228,,,,
财务成本,-1.25,-3.026,-5.371,-15.8,-3.326,-0.493,-0.543,-66.975,-79.127,-92.235,-125.51,-186.935,-213.761,-211.649,-217.469,-167.336,-36.818,-9.409,-20.159,-13.457,-10.507
除税前溢利,10.987,26.305,197.172,724.4,1048.526,1440.743,439.445,830.374,314.924,607.473,789.159,707.322,773.791,570.678,722.425,701.553,1045.076,1064.736,1363.39,1562.783,1756.613
所得税,0.019,-3.394,-18.199,-92.289,-133.677,-251.448,-78.216,-115.145,-100.193,-202.261,-259.54,-286.592,-306.516,-265.305,-252.65,-206.235,-302.871,-247.956,-323.255,-370.195,-419.313
本期溢利,11.006,22.911,178.973,632.111,914.849,1189.295,361.229,715.229,214.731,405.212,529.619,420.73,467.275,305.373,469.775,495.318,742.205,816.78,1040.135,1192.588,1337.3
股东应占溢利,11.006,22.911,178.973,632.111,916.814,1196.133,359.692,707.208,211.261,397.642,517.639,402.652,456.706,303.665,432.403,415.065,601.7,747.117,961.427,1148.615,1308.884
非控股权益应占溢利,,,,,-1.965,-6.838,1.537,8.021,3.47,7.57,11.98,18.078,10.569,1.708,37.372,80.253,140.505,69.663,78.708,43.973,28.416
每股盈利-基本,0.007,0.015,0.119,0.421,0.445,0.579,0.174,0.342,0.102,0.192,0.25,0.195,0.221,0.147,0.209,0.201,0.291,0.361,0.465,0.556,0.633
每股盈利-摊薄,,,,0.421,0.443,0.576,0.174,0.318,0.102,0.192,0.25,0.195,0.221,0.147,0.209,0.201,,,,,
