# 现金流量表（361度 01361.HK）· 单位：人民币百万元；负数=流出；空=该期财报无此科目
# 🔴 期间轴三段：FY2006/6–FY2011/6 为止6月30日的财政年度；2011H2 为 6 个月过渡期（2011-07-01~2011-12-31，财政年度结算日变更）；2012 起为止12月31日的财政年度。2011H2 是半年数，不可直接接入年度序列做同比/复合增速。
# 来源：report/361度/ 招股说明书(FY2006-FY2008) + 各期年报逐行解析（_build_from_pdf.py）
科目,FY2006/6,FY2007/6,FY2008/6,FY2009/6,FY2010/6,FY2011/6,2011H2,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
除税前溢利,10.987,26.305,197.172,724.4,1048.526,1440.743,439.445,830.374,314.924,607.473,789.159,707.322,773.791,570.678,722.425,701.553,1045.076,1064.736,1363.39,1562.783,1756.613
折旧,2.749,2.884,4.6,9.282,22.796,52.048,36.397,77.998,65.442,65.04,64.428,107.927,117.855,121.562,88.519,76.847,68.568,65.475,69.456,72.367,115.665
使用权资产折旧,,,,,,,,,,,,,,,7.953,6.332,4.97,3.103,5.899,4.61,8.956
土地租赁款项摊销,,0.078,0.435,1.42,1.777,1.777,1.102,1.996,2.152,2.152,2.152,2.152,2.823,2.823,,,,,,,
无形资产摊销,,,,,,,,,,,,,,,,,,,,,1.325
股权结算股份支付,,,,0.49,8.453,4.174,0.964,0.957,,,,,,,,,26.125,43.647,,,
营运资金变动前经营溢利,14.842,33.89,215.741,751.085,1053.902,,,,,,,,,,,,,,,,
经营所得现金,-39.35,-50.162,14.925,581.337,1239.509,820.816,-1184.671,1789.208,422.763,1050.661,373.788,1327.193,1041.988,548.54,964.577,294.717,670.78,665.802,670.85,345.221,1178.243
已付所得税,-0.518,-2.378,-10.191,-26.302,-114.019,-215.814,-159.411,-130.431,-99.607,-139.477,-128.355,-195.55,-210.453,-253.519,-334.412,-274.053,-298.828,-285.465,-263.042,-275.414,-363.628
经营活动现金净额,-39.868,-52.54,4.734,555.035,1125.49,605.002,-1344.082,1658.777,323.156,911.184,245.433,1131.643,831.535,295.021,630.165,20.664,371.952,380.337,407.808,69.807,814.615
购建物业厂房设备,-2.279,-6.623,-98.008,-152.16,-358.262,-504.553,-98.383,-150.566,-43.965,-135.046,-253.316,-147.593,-43.645,-32.783,-13.039,-7.413,-8.982,-30.957,-63.978,-268.664,-285.219
出售物业厂房设备所得,,,2.059,0.052,,0.029,0.1,2.315,0.164,0.142,0.383,0.239,0.011,0.39,7.759,0.374,0.341,3.125,1.529,2.868,0.997
收购业务付款,,,,,,,,,,,,14.581,,,,,,,,,-94.469
已抵押银行存款变动,-2.978,-3,-25.9,-48.2,-14.5,50.36,-76.845,31.955,57.83,-137.995,53.869,-63.554,-149.703,7.878,96.73,168.047,10.458,28.032,11.723,3.71,-0.509
存入银行定期存款,,,,,,,,,,,,,,-4500,-3000,-3000,-2000,-2000,-1600,,
提取银行定期存款,,,,,,,,,,,,,,3605.691,4500,3000,3000,2000,2000,1600,
已收利息,0.144,0.245,0.362,1.691,9.851,24.768,11.549,18.533,52.996,65.487,,70.114,84.796,97.604,87.381,100.48,67.827,84.888,67.496,44.706,11.1
投资活动现金净额,-5.113,-9.378,-121.487,-198.617,-1298.996,371.319,-257.661,-476.652,347.551,-1665.19,193.459,-1148.701,-1177.119,-821.22,1678.831,255.198,1075.317,85.088,416.77,1366.241,-369.356
发行股份所得,,,,,200.878,,,,,,,,,,,,,,0.289,,
购回股份付款,,,,,,-3.814,,,,,,,,,,,,,,,
银行贷款所得,60,72,149.5,,224,40.661,29.52,241.128,,,,61.252,,100,100,200.948,100,265,400,189.96,457
偿还银行贷款,-27,-55,-60,,-491,-27.429,-13.955,-227.594,-26.417,-0.587,-1.026,-1.018,-62.396,-1.242,-101.221,-101.27,-102.156,-181.295,-399.871,-221.405,-419.11
购回优先票据损益调整,,,,,,,,,,,,55.068,,,-52.644,-46.199,1.228,,,,
发行优先票据所得,,,,,,,,,,1463.889,,2596.451,,,,,,,,,
购回赎回优先票据付款,,,,,,,,,,,,-1550.234,,,-314.957,-504.452,-967.326,,,,
发行可换股债券所得,,,,,,,,922.894,,,,,,,,,,,,,
购回可换股债券付款,,,,,,,,,,-944.413,,,,,,,,,,,
非控股权益注资,17.587,30.64,,,37.059,14.589,,,16.225,,,12.279,,350,0.4,,199.95,,,,
收购非控股权益付款,,,,,,,,,,,,,,,,,,,-549.89,,-44.95
已付利息,-1.25,-3.026,-5.371,-15.8,-3.326,-0.493,-0.543,-10.424,-2.204,-1.367,-114.12,-198.055,-201.794,-198.929,-200.094,-156.403,-35.544,-9.381,-19.838,-13.363,-9.978
已付股息,,,,-76.742,-223.065,-332.722,-332.884,-289.464,-227.436,-103.38,-165.408,-316.343,-146.8,-194.355,-169.543,-27.804,,,-121.806,-580.366,-584.458
已付非控股权益股息,,,,,,,,,,,,,,,,,,-34.39,-56.949,,
融资活动现金净额,49.337,73.696,202.101,1518.233,-255.454,-301.54,-167.862,465.131,-281.618,386.726,-280.554,604.332,-410.99,55.474,-542.65,-242.626,-1558.22,59.428,-1079.384,-776.912,-608.337
现金净变动,4.356,11.778,85.348,1874.651,-428.96,674.781,-1769.605,1647.256,389.089,-367.28,158.338,587.274,-756.574,-470.725,1766.346,33.236,-110.951,524.853,-254.806,659.136,-163.078
期初现金,7.413,11.769,23.547,108.895,1983.546,1554.586,2229.367,459.762,2107.018,2494.28,2130.237,2286.225,2881.632,2116.422,1651.281,3422.295,3451.331,3339.01,3860.442,3596.489,4254.236
汇率影响,,,,,,,,,-1.827,3.237,-2.35,8.133,-8.636,5.584,4.668,-4.2,-1.37,-3.421,-9.147,-1.389,2.688
期末现金,11.769,23.547,108.895,1983.546,1554.586,2229.367,459.762,2107.018,2494.28,2130.237,2286.225,2881.632,2116.422,1651.281,3422.295,3451.331,3339.01,3860.442,3596.489,4254.236,4093.846
