# 财务比率（361度 01361.HK）· 派生自本目录三表，非财报直接披露
# 通用底 = scripts/derived.py compute_common_ratios()；其余为 361度 定制层
# 比率为小数（0.62 = 62%）；天数为天；标(百万元)者为金额
# 🔴 2011H2 只有 6 个月：所有「流量÷存量」指标（ROE / 周转天数 / 现金含量分母）在该列天然只有半年强度，**不可与 12 个月期直接比**
# ⚠️ 应收口径：FY2006-FY2010 合并行 / FY2011 两行 / 2011H2 起三行，已合并成连续口径（含按金预付款项），与单看「贸易应收款项」不同
# ⚠️ 分红率分母用「已付股息」(现金流量表·期内实付)，与「宣派」口径有跨年时间差
指标,FY2006/6,FY2007/6,FY2008/6,FY2009/6,FY2010/6,FY2011/6,2011H2,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
毛利率 Gross margin,0.1029,0.206,0.2642,0.3464,0.394,0.4232,0.4418,0.3984,0.3955,0.4088,0.4089,0.4201,0.418,0.406,0.403,0.3787,0.4167,0.4052,0.411,0.4153,0.4153
净利率 Net margin,0.0419,0.0614,0.1359,0.1834,0.2112,0.2178,0.1516,0.1445,0.0599,0.1037,0.1188,0.0838,0.0906,0.0589,0.0834,0.0966,0.1251,0.1173,0.1235,0.1184,0.12
销售费用率 S&D exp ratio,0.0379,0.0977,0.0808,0.108,0.1232,0.1218,0.2005,0.1796,0.2035,0.1969,0.1599,0.1581,0.1729,0.1887,0.1823,0.188,0.1921,0.2059,0.2212,0.2195,0.2024
管理/行政费用率 Admin exp ratio,0.0216,0.034,0.0301,0.0259,0.0358,0.0507,0.0639,0.0612,0.1184,0.052,0.0847,0.0934,0.0975,0.105,0.1012,0.086,0.0941,0.0778,0.0748,0.0694,0.0766
ROE(期末) Return on year-end equity,,,,,0.2699,0.2824,0.0845,0.1512,0.0452,0.0801,0.098,0.0759,0.08,0.0526,0.0684,0.0628,0.0845,0.0941,0.1059,0.1225,0.1299
ROE(年均) Return on avg equity,,,,,,0.3134,0.0847,0.1583,0.0452,0.0825,0.101,0.0761,0.083,0.0529,0.0715,0.0642,0.0877,0.0992,0.1129,0.1245,0.1346
经营现金流/净利 OCF/Net profit,-3.6224,-2.2932,0.0265,0.8781,1.2302,0.5087,-3.7209,2.3192,1.5049,2.2487,0.4634,2.6897,1.7795,0.9661,1.3414,0.0417,0.5011,0.4657,0.3921,0.0585,0.6091
Capex/净利 Capex/Net profit,0.2071,0.2891,0.5476,0.2407,0.3916,0.4242,0.2724,0.2105,0.2047,0.3333,0.4783,0.3508,0.0934,0.1074,0.0278,0.015,0.0121,0.0379,0.0615,0.2253,0.2133
应收/营收 AR/Revenue,0.3557,0.3707,0.5116,0.4618,0.2574,0.3455,1.3218,0.5411,0.7124,0.6523,0.6492,0.5752,0.5578,0.6015,0.5041,0.617,0.6406,0.6058,0.6005,0.5645,0.5974
存货/营收 Inventory/Revenue,0.134,0.1847,0.1375,0.0243,0.0307,0.0361,0.1894,0.0931,0.1142,0.1459,0.1238,0.1076,0.1578,0.2026,0.2074,0.1487,0.1502,0.1699,0.1603,0.2094,0.1853
