# 资产负债表（361度 01361.HK）· 单位：人民币百万元；空=该期财报无此科目
# 🔴 期间轴三段：FY2006/6–FY2011/6 为止6月30日的财政年度；2011H2 为 6 个月过渡期（2011-07-01~2011-12-31，财政年度结算日变更）；2012 起为止12月31日的财政年度。2011H2 是半年数，不可直接接入年度序列做同比/复合增速。
# 来源：report/361度/ 招股说明书(FY2006-FY2008) + 各期年报逐行解析（_build_from_pdf.py）
科目,FY2006/6,FY2007/6,FY2008/6,FY2009/6,FY2010/6,FY2011/6,2011H2,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
物业厂房及设备,19.272,17.358,88.655,246.627,566.239,846.503,892.263,958.049,974.627,1050.676,1174.446,1207.903,1122.775,1035.057,955.364,882.881,822.547,772.585,765.176,960.917,1036.599
租赁土地权益,,22.189,23.425,86.545,84.768,82.991,99.926,99.754,97.602,95.45,119.26,117.108,114.285,111.462,,,,,,,
使用权资产,,,,,,,,,,,,,,,113.739,109.767,105.262,102.05,101.73,99.207,103.739
无形资产,,,,,,,,,,,,,,,,,,,,,36.515
其他金融资产,,,,,,,17.55,17.55,17.55,17.55,17.55,6.763,6.763,28.579,24.992,18.188,26.729,32.948,20.212,18.931,18.618
按金及预付款项-非流动,,,,,54.91,166.423,141.887,142.14,121.148,96.691,92.08,101.586,95.815,94.06,91.895,88.89,102.344,93.476,397.108,60.52,184.501
递延税项资产,0.994,1.345,,,18.657,13.48,29.546,61.73,92.256,49.971,28.537,22.501,53.214,45.8,41.31,81.749,97.778,151.074,163.692,215.904,204.101
非流动资产合计,20.266,40.892,112.08,333.172,724.574,1109.397,1181.172,1279.223,1303.183,1310.338,1431.873,1455.861,1392.852,1314.958,1227.3,1181.475,1154.66,1152.133,1447.918,1355.479,1584.073
存货,35.241,68.943,181.056,83.637,132.836,197.255,451.264,460.715,409.358,570.058,551.957,540.593,813.751,1051.099,1168.036,762.567,890.937,1182.455,1350.344,2109.067,2065.82
贸易及其他应收款项-合并口径,93.518,138.394,673.767,1591.795,1114.736,,,,,,,,,,,,,,,,
应收账款及应收票据-合并口径,,,,,,1581.658,,,,,,,,,,,,,,,
应收账款,,,,,,,2110.008,1928.04,1831.184,1524.24,2017.676,2036.914,1928.889,2304.199,2074.796,2184.19,2527.055,2954.283,3784.524,4349.838,4692.626
应收票据,,,,,,,244.8,183.47,84.78,132.013,235.51,184.405,220.9,95.072,124.578,73.254,72.683,69.61,46.86,38.724,43.185
按金预付款项及其他应收款项,,,,,,305.316,794.684,567.223,636.873,891.951,641.385,667.727,727.536,720.98,639.474,906.117,1201.471,1192.836,1226.7,1297.503,1922.578
应收关连方款项,98.936,106.546,38.017,,,,,,,,,,,,,,,,,,
已抵押银行存款,9.6,12.6,38.5,86.7,101.2,50.84,127.685,95.73,37.9,175.895,122.026,185.58,335.283,327.405,230.675,62.628,52.17,24.138,12.415,8.705,9.214
银行存款,,,,,936.085,135.37,211.902,590.791,321.747,1800,1500,2537.113,3605.691,4500,3000,3000,2000,2000,1600,,
现金及现金等价物,11.769,23.547,108.895,1983.546,1554.586,2229.367,459.762,2107.018,2494.28,2130.237,2286.225,2881.632,2116.422,1651.281,3422.295,3451.331,3339.01,3860.442,3596.489,4254.236,4093.846
流动资产合计,249.064,350.03,1040.235,3745.678,3839.443,4499.806,4400.105,5932.987,5816.122,7224.394,7354.779,9033.964,9748.472,10650.036,10659.854,10440.087,10083.326,11283.764,11617.332,12058.073,12827.269
贸易及其他应付款项,154.255,173.005,534.713,1227.297,1019.83,1174.09,1023.983,1591.474,1469.179,1851.099,1659.426,1927.674,2263.505,2766.17,2306.167,1756.055,2091.625,2326.795,2577.281,2703.625,2891.505
银行贷款-流动,43,60,149.5,267,,13.216,28.781,42.315,15.898,15.311,15.116,76.236,12.814,112.176,111.186,210.222,207.837,192.282,47.991,46.72,299.001
其他贷款-流动,,,,,,,150,,,,,,,,,,,,,,
计息借贷-流动,,,,,,,,,,,,,,,,1726.57,,,,,
租赁负债-流动,,,,,,,,,,,,,,,2.763,2.156,0.391,0.303,1.524,1.809,5.651
应付股东款项,,29.082,142.149,,,,,,,,,,,,,,,,,,
