科目,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
[旧4分部]ガラス_外部売上高,562140,664239,709044,691411,679071,733953,756160,740920,648394,732230,900354,,,
[旧4分部]電子_外部売上高,341407,334710,292940,286858,257069,260626,250285,265215,283025,303049,304918,,,
[旧4分部]化学品_外部売上高,254086,287960,314694,315636,314392,435145,482097,474417,449739,629487,793159,,,
[旧4分部]セラミックス・その他_外部売上高,32316,33096,31628,32388,32037,33807,34361,37485,31145,32615,37442,,,
[旧4分部]ガラス_セグメント間売上高,2464,3102,3667,1495,936,1166,1296,2013,2570,2026,1174,,,
[旧4分部]電子_セグメント間売上高,2690,11261,4745,1723,1069,1765,2361,11463,6327,8970,2294,,,
[旧4分部]化学品_セグメント間売上高,3180,2712,2545,2821,2207,2459,2253,1360,1416,1304,2027,,,
[旧4分部]セラミックス・その他_セグメント間売上高,54688,45461,49201,35744,38727,41607,44669,45756,49976,46777,49159,,,
[旧4分部]ガラス_売上高計,564605,667341,712712,692906,680007,735119,757457,742934,650965,734257,901528,,,
[旧4分部]電子_売上高計,344098,345971,297686,288582,258139,262391,252646,276678,289353,312019,307212,,,
[旧4分部]化学品_売上高計,257267,290673,317240,318457,316599,437605,484350,475778,451156,630792,795187,,,
[旧4分部]セラミックス・その他_売上高計,87005,78557,80829,68132,70765,75415,79030,83241,81122,79392,86602,,,
[旧4分部]ガラス_セグメント利益,-662,-13068,564,13046,31825,27064,22522,9266,-16579,27747,22893,,,
[旧4分部]電子_セグメント利益,84402,74089,36225,29043,24985,27334,24041,25581,37797,36362,14677,,,
[旧4分部]化学品_セグメント利益,16795,17743,24096,30528,39998,63671,71138,62961,50477,138756,142944,,,
[旧4分部]セラミックス・その他_セグメント利益,1677,1231,1075,-1557,-217,1428,2818,3850,4226,3497,3678,,,
[旧4分部]ガラス_減価償却費,42514,48521,50453,48269,42553,45413,46958,52500,50968,53721,56466,,,
[旧4分部]電子_減価償却費,56471,66582,63732,64692,55675,51346,41149,47265,47896,61195,68361,,,
[旧4分部]化学品_減価償却費,17882,19375,20657,22034,21535,29440,32507,39355,43004,49958,59034,,,
[旧4分部]セラミックス・その他_減価償却費,1200,1459,2521,2524,2159,2136,1171,4334,1927,1991,1940,,,
[旧4分部]ガラス_減損損失,7099,10891,493,85,2242,7,,23266,883,19022,22152,,,
[旧4分部]電子_減損損失,3164,514,2075,11614,11562,1783,521,1400,262,15401,106085,,,
[旧4分部]化学品_減損損失,439,,,,,1095,,172,197,26,84,,,
[旧4分部]セラミックス・その他_減損損失,1683,,850,,,,262,66,,,125,,,
[旧4分部]ガラス_資本的支出,58389,73840,44593,42328,50275,63794,89031,80394,64141,50307,47341,,,
[旧4分部]電子_資本的支出,62566,43405,42979,29375,42866,48004,79527,55841,80686,70168,79995,,,
[旧4分部]化学品_資本的支出,32889,20704,30117,52664,32449,50521,60955,69011,95216,94180,107988,,,
[旧4分部]セラミックス・その他_資本的支出,1932,710,543,764,532,2817,1216,2487,1536,2150,1442,,,
[新6分部]建築ガラス_外部売上高,,,,,,,,,,,482714,474646,435575,438811
[新6分部]オートモーティブ_外部売上高,,,,,,,,,,,417639,499392,498568,520324
[新6分部]電子_外部売上高,,,,,,,,,,,304918,311964,362752,353227
[新6分部]化学品_外部売上高,,,,,,,,,,,655013,569652,589727,579487
[新6分部]ライフサイエンス_外部売上高,,,,,,,,,,,138146,123933,137326,129420
[新6分部]セラミックス・その他_外部売上高,,,,,,,,,,,37442,39665,43652,37560
[新6分部]建築ガラス_セグメント間売上高,,,,,,,,,,,988,1648,2412,2329
[新6分部]オートモーティブ_セグメント間売上高,,,,,,,,,,,186,316,225,255
[新6分部]電子_セグメント間売上高,,,,,,,,,,,2294,1204,1793,1826
[新6分部]化学品_セグメント間売上高,,,,,,,,,,,5367,4466,3888,4686
[新6分部]ライフサイエンス_セグメント間売上高,,,,,,,,,,,3640,2882,3891,3661
[新6分部]セラミックス・その他_セグメント間売上高,,,,,,,,,,,49159,43713,35478,22323
[新6分部]建築ガラス_売上高計,,,,,,,,,,,483702,476295,437987,441141
[新6分部]オートモーティブ_売上高計,,,,,,,,,,,417825,499708,498794,520580
[新6分部]電子_売上高計,,,,,,,,,,,307212,313168,364545,355054
[新6分部]化学品_売上高計,,,,,,,,,,,660380,574119,593615,584174
[新6分部]ライフサイエンス_売上高計,,,,,,,,,,,141787,126815,141218,133081
[新6分部]セラミックス・その他_売上高計,,,,,,,,,,,86602,83378,79131,59884
[新6分部]建築ガラス_セグメント利益,,,,,,,,,,,32716,32763,16367,17263
[新6分部]オートモーティブ_セグメント利益,,,,,,,,,,,-9822,21786,13917,29252
