科目,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
売上高,1189952,1320006,1348308,1326293,1282570,1463532,1522904,1518039,1412306,1697383,2035874,2019254,2067603,2058832
売上原価,-846048,-971031,-1016479,-992728,-933623,-1060587,-1103106,-1115323,-1053243,-1184383,-1506492,-1537897,-1568552,-1558385
売上総利益,343903,348974,331829,333565,348946,402945,419797,402715,359062,512999,529381,481356,499050,500447
販売費及び一般管理費,-243798,-270087,-272295,-264750,-254469,-285051,-300706,-302179,-283867,-309123,-346675,-354559,-375676,-374979
持分法による投資損益,1646,1007,2597,2357,1815,1753,1463,1088,584,2292,1236,1981,2461,1997
営業利益,101751,79894,62131,71172,96292,119646,120555,101624,75780,206168,183942,128779,125835,127465
その他収益,15789,4176,12218,46009,4078,6979,15174,12743,6743,56672,27156,19535,17233,33953
その他費用,-38533,-38235,-30334,-31231,-31534,-12711,-13230,-38365,-22812,-52592,-153892,-20036,-187747,-30741
事業利益,79008,45835,44016,85949,68837,113915,122499,76002,59711,210247,57206,128277,-44678,130677
金融収益,4443,5137,5662,6021,6127,8262,16050,13906,5903,6533,10603,13735,11986,9409
金融費用,-8453,-6591,-8514,-7449,-7401,-7752,-10145,-13696,-8492,-6735,-9297,-19237,-17358,-15328
税引前利益,74998,44381,41163,84522,67563,114424,128404,76213,57121,210045,58512,122775,-50050,124758
法人所得税費用,-22485,-25358,-20688,-38235,-14200,-35127,-26412,-20698,-15957,-50982,-36007,-40291,-27873,-45288
当期純利益,52512,19023,20475,46287,53362,79297,101991,55515,41164,159062,22505,82484,-77924,79470
親会社の所有者に帰属する当期純利益,48433,16139,15913,42906,47438,69225,89593,44434,32715,123840,-3152,65798,-94042,69162
非支配持分に帰属する当期純利益,4079,2883,4561,3380,5923,10071,12398,11080,8448,35222,25657,16685,16118,10308
基本的1株当たり当期純利益(円),42,14,14,37,41,302,400,201,148,559,-14,305,-444,326
希薄化後1株当たり当期純利益(円),39,14,14,37,41,301,398,200,147,557,-14,304,-444,326
