指标,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
福耀_营业收入(亿元),166.2,187.2,202.2,211.0,199.1,236.0,281.0,331.6,392.5,457.9
耀皮_营业收入(亿元),29.4,32.7,38.6,45.1,40.8,46.5,47.6,55.9,56.4,56.4
AGC集团_売上高(亿日元),12826,14635,15229,15180,14123,16974,20359,20193,20676,20588
AGC玻璃两块_収入(亿日元),6800,7351,7575,7429,6510,7343,9015,9760,9368,9617
AGC玻璃两块_収入(折亿元@20.5),331.7,358.6,369.5,362.4,317.5,358.2,439.8,476.1,457.0,469.1
福耀_营业利润率(%·CAS含减值与投资收益),23.00,19.61,24.59,16.19,16.41,15.94,20.15,20.48,23.12,24.43
耀皮_营业利润率(%·CAS含减值与投资收益),11.34,1.64,2.89,5.26,4.62,3.23,0.82,-2.59,2.79,4.06
AGC玻璃_分部利润率(%·IFRS不含减值),4.68,3.68,2.97,1.25,-2.55,3.78,2.54,5.59,3.23,4.84
AGC集团_営業利益率(%),7.51,8.18,7.92,6.69,5.37,12.15,9.04,6.38,6.09,6.19
AGC集团_事業利益率(%·已含减值等),5.37,7.78,8.04,5.01,4.23,12.39,2.81,6.35,-2.16,6.35
福耀_毛利率(%),43.07,42.76,42.63,37.46,36.50,35.90,34.03,35.39,36.23,37.27
耀皮_毛利率(%),20.32,17.25,18.44,21.59,21.78,19.38,13.97,12.26,17.43,18.27
AGC集团_毛利率(%·分部不披露),27.21,27.53,27.57,26.53,25.42,30.22,26.00,23.84,24.14,24.31
福耀_归母净利(亿元),31.4,31.5,41.2,29.0,26.0,31.5,47.6,56.3,75.0,93.1
耀皮_归母净利(亿元),2.26,0.48,0.91,2.08,1.79,1.07,0.15,-1.25,1.16,1.36
AGC_归母净利(亿日元),474,692,896,444,327,1238,-32,658,-940,692
"福耀_ROE(归母/期末归母权益,%)",17.44,16.57,20.41,13.56,12.04,11.96,16.40,17.91,21.01,24.80
耀皮_ROE(%),7.47,1.59,2.94,6.34,5.21,3.05,0.44,-3.72,3.37,3.52
AGC_ROE(%),4.33,5.85,7.88,3.84,2.93,9.42,-0.23,4.55,-6.55,4.66
福耀_扣非/归母(%),97.61,96.24,84.16,96.70,88.59,89.50,98.11,98.19,99.31,98.41
耀皮_扣非/归母(%),-150.27,-189.44,-21.47,65.88,53.40,23.05,-405.59,113.36,83.06,87.35
AGC_事業利益/営業利益(%·线下侵蚀后剩多少),71.49,95.21,101.61,74.79,78.80,101.98,31.10,99.61,-35.51,102.52
AGC玻璃_capex(亿日元),503,638,890,804,641,503,473,510,693,761
AGC玻璃_capex/分部利润(倍),1.58,2.36,3.95,8.68,-3.87,1.81,2.07,0.93,2.29,1.64
