科目,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
税引前利益(CF起点),74998,44381,41163,84522,67563,114424,128404,76213,57121,210045,58512,122775,-50050,124758
減価償却費及び償却費,117856,135751,137199,137381,121803,128226,121668,143361,143716,166756,185656,175346,181273,179796
減損損失,,,,,,,,24454,1213,34450,128447,605,124774,9687
営業活動CF小計,196265,186382,171666,206637,223223,212149,222012,220444,245095,361533,296798,286656,322153,320744
法人所得税の支払額,-25109,-18721,-35716,-20380,-19001,,,,,,,,,
営業活動によるキャッシュ・フロー,170165,167371,135790,187170,203637,203504,189287,191906,225392,326713,217146,212546,284815,274476
有形固定資産及び無形資産の取得による支出(capex),-155983,-148477,-113966,-126491,-118379,-157227,-211370,-197928,-191469,-210572,-223921,-213531,-242359,-209545
有形固定資産の売却による収入,6413,4510,7491,11884,4195,7149,17843,7350,4404,4776,17722,3265,4141,30515
投資活動によるキャッシュ・フロー,-158646,-145978,-108754,-115951,-113596,-209560,-194450,-182636,-230248,-123787,-145312,-179790,-195583,-178404
配当金の支払額,-30054,-30047,-16181,-20806,-20811,-21864,-24858,-26582,-26591,-31045,-52162,-45982,-44567,-44586
財務活動によるキャッシュ・フロー,-4066,-33562,-94673,-35417,-46450,-18720,8657,-17284,128443,-252259,-78206,-108021,-131949,-114054
現金及び現金同等物に係る換算差額,8806,11001,4644,-623,-1098,3868,-6407,-1704,-1246,9039,20257,11610,5350,3952
売却目的で保有する資産に含まれる現金及び現金同等物の増減額,,,,,,,,,,,,,-707,712
現金及び現金同等物の増減額,16259,-1168,-62994,35176,42493,-20907,-2913,-9719,122340,-40294,13885,-63654,-38073,-13316
現金及び現金同等物の期首残高,117558,133818,132649,69655,104831,147325,126417,123503,113784,236124,195830,209716,146061,107988
現金及び現金同等物の期末残高,133818,132649,69655,104831,147325,126417,123503,113784,236124,195830,209716,146061,107988,94671
