科目,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
現金及び現金同等物,133818,132649,69655,104831,147325,126417,123503,113784,236124,195830,209716,146061,107988,94671
営業債権,244396,260901,262091,241294,241476,260497,260111,264102,266177,295161,315808,338850,332442,324396
棚卸資産,208031,236611,239497,235374,227284,261708,277014,291224,274835,330101,436516,454056,454143,465415
その他の債権,31939,35446,37036,36733,37972,43774,50836,46387,62468,65472,60614,60530,58221,55879
その他の流動資産,9635,9265,11289,12863,12176,24554,17199,20263,16186,25186,35260,24280,25103,20390
流動資産合計,638873,682179,627178,637546,673436,722522,733196,742612,860962,915271,1063009,1041878,1001270,967772
有形固定資産,956806,1059946,1066193,982296,937869,1060601,1108934,1177691,1246885,1323868,1350769,1457950,1550862,1652885
のれん,30599,34944,36269,34231,34859,78757,89076,103946,118063,112916,92768,101130,49774,52100
無形資産,24986,27272,25844,27456,27400,58038,56645,69964,72660,69913,71290,72093,52291,55430
持分法で会計処理されている投資,34745,39336,44184,38850,36889,39575,35245,33204,32014,31197,24609,27633,30521,37308
その他の金融資産,176903,243053,236057,232877,232216,234896,179081,138053,130919,116624,94075,83269,68798,70175
繰延税金資産,49921,29743,35804,30108,29421,23157,20140,21297,25944,27611,40778,39677,39019,42971
その他の非流動資産,3558,4154,5805,7896,9358,11011,13455,48644,47008,68628,76728,109357,97127,71433
非流動資産合計,1277521,1438450,1450159,1353716,1308015,1506038,1502580,1592802,1673495,1750759,1751019,1891112,1888395,1982304
資産合計,1916394,2120629,2077338,1991262,1981451,2228560,2235776,2335415,2534458,2666031,2814029,2932991,2889665,2950077
営業債務,118907,135559,131147,126956,137590,159489,156594,152502,151874,196435,214332,206566,201803,210036
短期有利子負債,43908,57068,63694,34989,36689,73666,67281,78439,106884,36820,69750,121637,129940,98538
1年内返済予定の長期有利子負債,59421,125618,33508,61709,66669,63629,71897,80101,87163,88599,122254,127810,109921,118411
その他の債務,113007,98669,103621,98678,110829,127580,143202,140722,186310,199169,211855,216240,214523,220258
流動負債合計,368852,448018,355999,346157,377490,455288,463098,482490,563898,599408,669999,717298,708771,696203
長期有利子負債,435270,392327,402054,372034,330609,351789,402601,444301,593912,477774,458237,445561,409876,429514
繰延税金負債,12789,29267,21145,32666,22110,59492,34989,41846,35153,35814,28851,37869,22865,20313
退職給付に係る負債,121581,86505,99687,58057,66865,50585,61478,62454,64736,53805,45578,50026,51370,50147
非流動負債合計,586794,527465,540847,481338,435216,483376,519074,570288,727519,585241,558439,561354,509196,522151
負債合計,955646,975484,896847,827495,812707,938665,982172,1052778,1291418,1184650,1228439,1278652,1217967,1218355
資本金,90873,90873,90873,90873,90873,90873,90873,90873,90873,90873,90873,90873,90873,90873
資本剰余金,100423,100650,100670,100802,101237,101420,94368,92593,83501,81621,97094,97056,95781,95864
利益剰余金,655421,641740,641866,663874,690890,735653,773760,811589,818701,927830,889827,872547,744766,772913
自己株式,-30076,-29884,-29784,-29576,-29259,-43629,-28821,-28468,-28170,-26933,-26586,-27338,-26767,-26323
その他の資本の構成要素,91663,283835,309501,268198,241696,299716,207023,190510,150236,240769,339046,413941,531134,551798
親会社の所有者に帰属する持分合計,908304,1087216,1113126,1094172,1095438,1184034,1137204,1157097,1115142,1314161,1390254,1447080,1435787,1485126
非支配持分,52443,57929,67364,69594,73305,105860,116399,125538,127897,167219,195335,207258,235909,246595
資本合計,960747,1145145,1180490,1163767,1168743,1289895,1253604,1282636,1243039,1481380,1585590,1654338,1671697,1731722
負債及び資本合計,1916394,2120629,2077338,1991262,1981451,2228560,2235776,2335415,2534458,2666031,2814029,2932991,2889665,2950077
