指标(口径),2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
[日本基準]売上高,1148198,1288947,1214672,1189956,1320006,,,,,,,,,,,,
[日本基準]経常利益,87207,226806,166739,86621,63143,,,,,,,,,,,,
[日本基準]当期純利益,19985,123184,95290,43790,10333,,,,,,,,,,,,
[日本基準]純資産額,808312,849815,850460,996949,1151870,,,,,,,,,,,,
[日本基準]総資産額,1781875,1764038,1691556,1899373,2119664,,,,,,,,,,,,
[日本基準]自己資本比率(%),42.36,45.82,47.73,49.59,51.50,,,,,,,,,,,,
[日本基準]自己資本利益率(%),2.69,15.76,11.80,5.01,1.02,,,,,,,,,,,,
[日本基準]営業CF,180683,285669,152223,170165,167377,,,,,,,,,,,,
[日本基準]投資CF,-115563,-124644,-123581,-157407,-147957,,,,,,,,,,,,
[日本基準]財務CF,-30092,-100797,-60833,-5305,-31584,,,,,,,,,,,,
[日本基準]従業員数(名),47618,50399,50957,49961,51448,,,,,,,,,,,,
[IFRS]売上高,,,,1189952,1320006,1348308,1326293,1282570,1463532,1522904,1518039,1412306,1697383,2035874,2019254,2067603,2058832
[IFRS]営業利益,,,,101751,79894,62131,71172,96292,119646,120555,101624,75780,206168,183942,128779,125835,127465
[IFRS]事業利益,,,,79008,45835,44016,85949,68837,113915,122499,76002,59711,210247,57206,128277,-44678,130677
[IFRS]当期純利益,,,,52512,19023,20475,46287,53362,79297,101991,55515,41164,159062,22505,82484,-77924,79470
[IFRS]親会社帰属当期純利益,,,,48433,16139,15913,42906,47438,69225,89593,44434,32715,123840,-3152,65798,-94042,69162
[IFRS]総資産,,,,1916394,2120629,2077338,1991262,1981451,2228560,2235776,2335415,2534458,2666031,2814029,2932991,2889665,2950077
[IFRS]親会社帰属持分,,,,908304,1087216,1113126,1094172,1095438,1184034,1137204,1157097,1115142,1314161,1390254,1447080,1435787,1485126
[IFRS]資本合計,,,,960747,1145145,1180490,1163767,1168743,1289895,1253604,1282636,1243039,1481380,1585590,1654338,1671697,1731722
[IFRS]営業CF,,,,170165,167371,135790,187170,203637,203504,189287,191906,225392,326713,217146,212546,284815,274476
[IFRS]capex,,,,-155983,-148477,-113966,-126491,-118379,-157227,-211370,-197928,-191469,-210572,-223921,-213531,-242359,-209545
