单位:百万美元(USD millions);费用/减项=负数。FY2026 Q1-Q3 来自三份 10-Q 的 SEC 渲染报表(按 XBRL tag 归一)。
"🔴 列名已标死**单季/累计**两种期间口径 —— 单季数与累计数不可互比;FY2026 未完整结束(Q4 于 2026-11 披露),本表不并入年度序列。"
科目,FY2026 Q1(单季=累计),FY2025 Q1(单季=累计),2026Q1 期末,FY2026 Q2(单季),FY2025 Q2(单季),FY2026 截至Q2(累计6个月),FY2025 截至Q2(累计6个月),2026Q2 期末,FY2026 Q3(单季),FY2025 Q3(单季),FY2026 截至Q3(累计9个月),FY2025 截至Q3(累计9个月),2026Q3 期末
营业收入 Revenues,25981,24690,,25168,23621,51149,48311,,25248,23650,76397,71961,
总成本及费用 Total costs and expenses,-22106,-20612,,-21379,-20115,-43485,-40727,,-20488,-20005,-63973,-60732,
  销售及管理费用 SG&A,-4121,-3930,,-4073,-3981,-8194,-7911,,-3968,-4141,-12162,-12052,
  折旧与摊销 D&A,-1316,-1276,,-1405,-1324,-2721,-2600,,-1414,-1332,-4135,-3932,
重组及减值 Restructuring and impairment,0,-143,,-239,-109,-239,-252,,-900,-185,-1139,-437,
"利息支出净额 Interest expense, net",-275,-367,,-240,-346,-515,-713,,-298,-324,-813,-1037,
权益法投资收益 Equity in income of investees,93,92,,57,36,150,128,,83,75,233,203,
税前利润 Income before income taxes,3693,3660,,3367,3087,7060,6747,,3645,3211,10705,9958,
所得税 Income taxes,-1209,-1016,,-902,314,-2111,-702,,-801,2732,-2912,2030,
净利润 Net income,2484,2644,,2465,3401,4949,6045,,2844,5943,7793,11988,
少数股东损益 Noncontrolling interests,-82,-90,,-218,-126,-300,-216,,-206,-681,-506,-897,
归母净利 Net income attributable to Disney,2402,2554,,2247,3275,4649,5829,,2638,5262,7287,11091,
摊薄EPS Diluted EPS,1.3,1.4,,1.3,1.8,2.6,3.2,,1.5,2.9,4.1,6.1,
摊薄股数(百万) Diluted shares,1793,1818,,1772,1814,1782,1816,,1743,1805,1769,1812,
货币资金 Cash and cash equivalents,,,5678,,,,,5682,,,,,5185
应收账款 Receivables,,,15054,,,,,14390,,,,,14553
存货 Inventories,,,2157,,,,,2080,,,,,2081
流动资产合计 Total current assets,,,25466,,,,,24599,,,,,24892
影视内容成本 Produced and licensed content costs,,,31114,,,,,30360,,,,,30193
"固定资产净额 Parks, resorts and other property, net",,,43198,,,,,44255,,,,,44744
商誉 Goodwill,,,74743,,,,,74682,,,,,74682
"无形资产 Intangible assets, net",,,9429,,,,,10062,,,,,9786
资产总计 Total assets,,,202089,,,,,205217,,,,,204740
流动负债合计 Total current liabilities,,,38046,,,,,36223,,,,,35105
递延收入 Deferred revenue,,,6686,,,,,7375,,,,,6930
短期借款 Borrowings current,,,10819,,,,,8887,,,,,8627
长期借款 Borrowings long-term,,,35821,,,,,38471,,,,,37414
归母权益 Total Disney shareholders' equity,,,108476,,,,,108708,,,,,110032
少数股东权益 Noncontrolling interests,,,5532,,,,,6604,,,,,6810
权益合计 Total equity,,,114008,,,,,115312,,,,,116842
负债与权益总计 Total liabilities and equity,,,202089,,,,,205217,,,,,204740
经营活动现金流净额 Cash provided by operations,735,3205,,,,7649,9958,,,,12515,13627,
  折旧摊销 Depreciation and amortization,1316,1276,,,,2721,2600,,,,4135,3932,
"资本开支 Investments in parks, resorts and other property",-3013,-2466,,,,-4986,-4328,,,,-6780,-6108,
投资活动现金流净额 Cash used in investing activities,-2737,-2575,,,,-5469,-4473,,,,-7256,-6193,
分红支付 Dividends,,,,,,-1337,-905,,,,-1337,-905,
回购股份 Repurchases of common stock,-2034,-794,,,,-5500,-1785,,,,-7245,-2496,
融资活动现金流净额 Cash provided by (used in) financing activities,1984,-997,,,,-2162,-5553,,,,-5740,-8090,
汇率对现金影响 Impact of exchange rates on cash,5,-153,,,,-28,-76,,,,-19,31,
现金净变动 Change in cash and cash equivalents,-13,-520,,,,-10,-144,,,,-500,-625,
