单位:百万美元(USD millions)。分部经营利润(segment operating income)。🔴 Disney 分部口径 30 年改过 6 次(见下方分组)，**跨分组不可直接连线做同比**；每年一律取该年年报的当年列(禁用后一年同比%反推)。
"闸门:各分部营收之和(含分部间抵销)= 同年 利润表.csv 营业收入,差额>0.5% 则该年不写出。"
口径分组,分部,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
FY1993-1995 三分部,影视娱乐 Filmed entertainment,622.2,856.1,1074.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY1993-1995 三分部,主题公园与度假区 Theme parks and resorts,746.9,684.1,860.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY1993-1995 三分部,消费品 Consumer products,355.4,425.5,510.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY1996-1998 收购 Cap Cities/ABC 后三分部,创意内容 Creative Content,,,,1596,1882,1403,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY1996-1998 收购 Cap Cities/ABC 后三分部,广播 Broadcasting,,,,747,1294,1325,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY1996-1998 收购 Cap Cities/ABC 后三分部,主题公园与度假区 Theme Parks and Resorts,,,,990,1136,1287,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY1999-2000 五分部(含互联网),媒体网络 Media Networks,,,,,,,1611,2298,,,,,,,,,,,,,,,,,,,,,,,,,
FY1999-2000 五分部(含互联网),影视娱乐 Studio Entertainment,,,,,,,116,110,,,,,,,,,,,,,,,,,,,,,,,,,
FY1999-2000 五分部(含互联网),主题公园与度假区 Theme Parks and Resorts,,,,,,,1446,1620,,,,,,,,,,,,,,,,,,,,,,,,,
FY1999-2000 五分部(含互联网),消费品 Consumer Products,,,,,,,607,455,,,,,,,,,,,,,,,,,,,,,,,,,
FY1999-2000 五分部(含互联网),互联网与直销 Internet and Direct Marketing,,,,,,,-93,-402,,,,,,,,,,,,,,,,,,,,,,,,,
FY2001-2012 四分部,媒体网络 Media Networks,,,,,,,,,1758,986,1213,2169,2749,3610,4285,4755,4765,5132,6146,6619,,,,,,,,,,,,,
FY2001-2012 四分部,主题公园与度假区 Parks and Resorts,,,,,,,,,1586,1169,957,1123,1178,1534,1710,1897,1418,1318,1553,1902,,,,,,,,,,,,,
FY2001-2012 四分部,影视娱乐 Studio Entertainment,,,,,,,,,260,273,620,662,207,729,1201,1086,175,693,618,722,,,,,,,,,,,,,
FY2001-2012 四分部,消费品 Consumer Products,,,,,,,,,401,394,384,534,520,618,631,718,609,677,816,937,,,,,,,,,,,,,
FY2001-2012 四分部,互动媒体 Interactive Media,,,,,,,,,,,,,,,,,-295,-234,-308,-216,,,,,,,,,,,,,
FY2013-2015 五分部(互动独立),媒体网络 Media Networks,,,,,,,,,,,,,,,,,,,,,6818,7321,7793,,,,,,,,,,
FY2013-2015 五分部(互动独立),主题公园与度假区 Parks and Resorts,,,,,,,,,,,,,,,,,,,,,2220,2663,3031,,,,,,,,,,
FY2013-2015 五分部(互动独立),影视娱乐 Studio Entertainment,,,,,,,,,,,,,,,,,,,,,661,1549,1973,,,,,,,,,,
FY2013-2015 五分部(互动独立),消费品 Consumer Products,,,,,,,,,,,,,,,,,,,,,1112,1356,1752,,,,,,,,,,
FY2013-2015 五分部(互动独立),互动 Interactive,,,,,,,,,,,,,,,,,,,,,-87,116,132,,,,,,,,,,
FY2016-2018 消费品与互动合并,媒体网络 Media Networks,,,,,,,,,,,,,,,,,,,,,,,,7755,6902,6625,,,,,,,
FY2016-2018 消费品与互动合并,主题公园与度假区 Parks and Resorts,,,,,,,,,,,,,,,,,,,,,,,,3298,3774,4469,,,,,,,
FY2016-2018 消费品与互动合并,影视娱乐 Studio Entertainment,,,,,,,,,,,,,,,,,,,,,,,,2703,2355,2980,,,,,,,
FY2016-2018 消费品与互动合并,消费品与互动 Consumer Products and Interactive,,,,,,,,,,,,,,,,,,,,,,,,1965,1744,1632,,,,,,,
FY2019-2020 福克斯并购+DTC重组,媒体网络 Media Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,7479,9022,,,,,
FY2019-2020 福克斯并购+DTC重组,"主题公园体验与产品 Parks, Experiences and Products",,,,,,,,,,,,,,,,,,,,,,,,,,,6758,-81,,,,,
FY2019-2020 福克斯并购+DTC重组,影视娱乐 Studio Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,2686,2501,,,,,
FY2019-2020 福克斯并购+DTC重组,DTC与国际 Direct-to-Consumer & International,,,,,,,,,,,,,,,,,,,,,,,,,,,-1814,-2806,,,,,
FY2019-2020 福克斯并购+DTC重组,分部间抵销 Eliminations,,,,,,,,,,,,,,,,,,,,,,,,,,,-241,-528,,,,,
FY2021-2022 两大板块,媒体与娱乐发行 DMED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7295,4216,,,
FY2021-2022 两大板块,主题公园体验与产品 DPEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471,7905,,,
FY2023-2025 娱乐/体育/体验,娱乐 Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1444,3923,4674
FY2023-2025 娱乐/体育/体验,体育 Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2465,2406,2882
FY2023-2025 娱乐/体育/体验,体验 Experiences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8954,9272,9995
