单位:百万美元(USD millions)。分部营业收入。🔴 Disney 分部口径 30 年改过 6 次(见下方分组)，**跨分组不可直接连线做同比**；每年一律取该年年报的当年列(禁用后一年同比%反推)。
"闸门:各分部营收之和(含分部间抵销)= 同年 利润表.csv 营业收入,差额>0.5% 则该年不写出。"
口径分组,分部,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
FY1993-1995 三分部,影视娱乐 Filmed entertainment,3673.4,4793.3,6001.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY1993-1995 三分部,主题公园与度假区 Theme parks and resorts,3440.7,3463.6,3959.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY1993-1995 三分部,消费品 Consumer products,1415.1,1798.2,2150.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY1993-1995 三分部,— 合计校验:利润表营业收入,8529.2,10055.1,12112.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY1996-1998 收购 Cap Cities/ABC 后三分部,创意内容 Creative Content,,,,10095,10937,10302,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY1996-1998 收购 Cap Cities/ABC 后三分部,广播 Broadcasting,,,,4142,6522,7142,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY1996-1998 收购 Cap Cities/ABC 后三分部,主题公园与度假区 Theme Parks and Resorts,,,,4502,5014,5532,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY1996-1998 收购 Cap Cities/ABC 后三分部,— 合计校验:利润表营业收入,,,,18739,22473,22976,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY1999-2000 五分部(含互联网),媒体网络 Media Networks,,,,,,,7512,9615,,,,,,,,,,,,,,,,,,,,,,,,,
FY1999-2000 五分部(含互联网),影视娱乐 Studio Entertainment,,,,,,,6548,5994,,,,,,,,,,,,,,,,,,,,,,,,,
FY1999-2000 五分部(含互联网),主题公园与度假区 Theme Parks and Resorts,,,,,,,6106,6803,,,,,,,,,,,,,,,,,,,,,,,,,
FY1999-2000 五分部(含互联网),消费品 Consumer Products,,,,,,,3030,2622,,,,,,,,,,,,,,,,,,,,,,,,,
FY1999-2000 五分部(含互联网),互联网与直销 Internet and Direct Marketing,,,,,,,206,368,,,,,,,,,,,,,,,,,,,,,,,,,
FY1999-2000 五分部(含互联网),— 合计校验:利润表营业收入,,,,,,,23402,25402,,,,,,,,,,,,,,,,,,,,,,,,,
FY2001-2012 四分部,媒体网络 Media Networks,,,,,,,,,9569,9733,10941,11778,13207,14638,15046,16116,16209,17162,18714,19436,,,,,,,,,,,,,
FY2001-2012 四分部,主题公园与度假区 Parks and Resorts,,,,,,,,,7004,6465,6412,7750,9023,9925,10626,11504,10667,10761,11797,12920,,,,,,,,,,,,,
FY2001-2012 四分部,影视娱乐 Studio Entertainment,,,,,,,,,6106,6691,7364,8713,7587,7529,7491,7348,6136,6701,6351,5825,,,,,,,,,,,,,
FY2001-2012 四分部,消费品 Consumer Products,,,,,,,,,2590,2440,2344,2511,2127,2193,2347,2875,2425,2678,3049,3252,,,,,,,,,,,,,
FY2001-2012 四分部,互动媒体 Interactive Media,,,,,,,,,,,,,,,,,712,761,982,845,,,,,,,,,,,,,
FY2001-2012 四分部,— 合计校验:利润表营业收入,,,,,,,,,25269,25329,27061,30752,31944,34285,35510,37843,36149,38063,40893,42278,,,,,,,,,,,,,
FY2013-2015 五分部(互动独立),媒体网络 Media Networks,,,,,,,,,,,,,,,,,,,,,20356,21152,23264,,,,,,,,,,
FY2013-2015 五分部(互动独立),主题公园与度假区 Parks and Resorts,,,,,,,,,,,,,,,,,,,,,14087,15099,16162,,,,,,,,,,
FY2013-2015 五分部(互动独立),影视娱乐 Studio Entertainment,,,,,,,,,,,,,,,,,,,,,5979,7278,7366,,,,,,,,,,
FY2013-2015 五分部(互动独立),消费品 Consumer Products,,,,,,,,,,,,,,,,,,,,,3555,3985,4499,,,,,,,,,,
FY2013-2015 五分部(互动独立),互动 Interactive,,,,,,,,,,,,,,,,,,,,,1064,1299,1174,,,,,,,,,,
FY2013-2015 五分部(互动独立),— 合计校验:利润表营业收入,,,,,,,,,,,,,,,,,,,,,45041,48813,52465,,,,,,,,,,
FY2016-2018 消费品与互动合并,媒体网络 Media Networks,,,,,,,,,,,,,,,,,,,,,,,,23689,23510,24500,,,,,,,
FY2016-2018 消费品与互动合并,主题公园与度假区 Parks and Resorts,,,,,,,,,,,,,,,,,,,,,,,,16974,18415,20296,,,,,,,
FY2016-2018 消费品与互动合并,影视娱乐 Studio Entertainment,,,,,,,,,,,,,,,,,,,,,,,,9441,8379,9987,,,,,,,
FY2016-2018 消费品与互动合并,消费品与互动 Consumer Products and Interactive,,,,,,,,,,,,,,,,,,,,,,,,5528,4833,4651,,,,,,,
FY2016-2018 消费品与互动合并,— 合计校验:利润表营业收入,,,,,,,,,,,,,,,,,,,,,,,,55632,55137,59434,,,,,,,
