"单位:百万美元(USD millions);费用/减项=负数;空=该年申报 presentation 无此科目(不补0)。⚠️FY1993-FY1997 印刷口径保留一位小数,本库原样保留。财年=截至 9 月末/10 月初的 52/53 周,FY2025 截至 2025-09-27。"
"各年 as-reported 来源:FY1993-FY2010=各年 10-K 正文(txt/HTML)解析,FY2011-FY2025=各年 10-K 的 SEC 渲染报表 R*.htm(按 XBRL tag 归一);三 CIK:29082(FY1993-95)/1001039(FY1996-2018)/1744489(FY2019-25)。每财年优先取该财年自己那份 10-K 的当年列;重述见 重述与口径变更.csv"
科目,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
营业收入 Revenues,8529.2,10055.1,12112.1,18739,22473,22976,23402,25402,25269,25329,27061,30752,31944,34285,35510,37843,36149,38063,40893,42278,45041,48813,52465,55632,55137,59434,69570,65388,67418,82722,88898,91361,94425
  服务收入 Service revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,60542,59265,61768,74200,79562,81841,84588
  产品收入 Product revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,9028,6123,5650,8522,9336,9520,9837
总成本及费用 Total costs and expenses,-6804.7,-8089.4,-9666.4,-15406,-18161,-18961,-19715,-21321,-21670,-22924,-24330,-26704,-27837,-28807,-28729,-30439,-30452,-31337,-33112,-33415,-35591,-37273,-39241,-41274,-41264,-44597,-57719,-61594,-63759,-75952,-79906,-79447,-80593
  服务成本 Cost of services,,,,,,,,,,,,,,,,,,,,,,,,,,,-36450,-39406,-41129,-48962,-53139,-52509,-52677
  产品成本 Cost of products,,,,,,,,,,,,,,,,,,,,,,,,,,,-5568,-4474,-4002,-5439,-6062,-6189,-6089
  销售及管理费用 SG&A,,,,,,,,,,,,,,,,,,,,,,-8565,-8523,-8754,-8176,-8860,-11541,-12369,-13517,-16388,-15336,-15759,-16501
  折旧与摊销 D&A,,,,,,,,,,,,,,,,,,,,,,-2288,-2354,-2527,-2782,-3011,-4160,-5345,-5111,-5163,-5369,-4990,-5326
重组及减值 Restructuring and impairment,,,,,,,-132,,-1454,,-16,-64,-6,18,,,-492,-270,-55,-100,-214,-140,-53,-156,-98,-33,-1183,-5735,-654,-237,-3892,-3595,-819
出售业务收益 Gain on sale of businesses,,,,,,,,,22,34,16,,,70,1052,,,,,,,,,,,,,,,,,,
"其他收入(支出)净额 Other income (expense), net",,,,,,,,,,,,,,,,-59,342,140,75,239,-69,-31,0,0,78,601,4357,1038,201,-667,96,-65,0
"利息支出净额 Interest expense, net",28.4,10,-110.3,-438,-693,-622,-612,-558,-417,-453,-793,-617,-597,-592,-593,-524,-466,-409,-343,-369,-235,23,-117,-260,-385,-574,-978,-1491,-1406,-1397,-1209,-1260,-1305
  利息支出(毛·仅FY1993-96) Interest expense,-157.7,-119.9,-178.3,-479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  投资与利息收入(仅FY1993-96) Investment and interest income,186.1,129.9,68,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
权益法投资收益 Equity in income of investees,,,,,,,,,300,225,334,372,483,473,485,581,577,440,585,627,688,854,814,926,320,-102,-103,651,761,816,782,575,295
税前利润 Income before income taxes,1074,1703.1,2116.7,2061,3387,3157,2314,2633,1283,2190,2254,3739,3987,5447,7725,7402,5658,6627,8043,9260,9620,12246,13868,14868,13788,14729,13944,-1743,2561,5285,4769,7569,12003
所得税 Income taxes,-402.7,-592.7,-736.6,-847,-1421,-1307,-1014,-1606,-1059,-853,-789,-1197,-1241,-1890,-2874,-2673,-2049,-2314,-2785,-3087,-2984,-4242,-5016,-5078,-4422,-1663,-3031,-699,-25,-1732,-1379,-1796,1428
"终止经营损益 Discontinued operations, net of tax",,,,,,,,,,,,,,,13,,,,,,,,,,,,671,-32,-29,-48,0,0,
会计变更前利润 Income before cumulative effect,671.3,1110.4,1380.1,,,,,,120,1236,1338,2345,2569,3374,,,,,,,,,,,,,,,,,,,
会计变更累积影响 Cumulative effect of accounting changes,-371.5,,,,,,,,-278,,-71,,-36,,,,,,,,,,,,,,,,,,,,
净利润 Net income,299.8,1110.4,1380.1,1214,1966,1850,1300,920,-158,1236,1267,2345,2533,3374,4687,4427,3307,4313,5258,6173,6636,8004,8852,9790,9366,13066,11584,-2474,2507,3505,3390,5773,13431
少数股东损益 Noncontrolling interests,,,,,,,,-107,-104,-101,-127,-197,-177,-183,-177,-302,-302,-350,-451,-491,-500,-503,-470,-399,-386,-468,-530,-390,-512,-360,-1036,-801,-1027
归母净利 Net income attributable to Disney,299.8,1110.4,1380.1,1214,1966,1850,1300,920,-158,1236,1267,2345,2533,3374,4687,4427,3307,3963,4807,5682,6136,7501,8382,9391,8980,12598,11054,-2864,1995,3145,2354,4972,12404
摊薄EPS Diluted EPS,,,,,,,,,,,,,,,,,,,2.5,3.1,3.4,4.3,4.9,5.7,5.7,8.4,6.6,-1.6,1.1,1.7,1.3,2.7,6.8
摊薄股数(百万) Diluted shares,,,,,,,,,,,,,,,,,,,1909,1818,1813,1759,1709,1639,1578,1507,1666,1808,1828,1827,1830,1831,1811
