单位:百万美元(USD millions);比率行为%。利润表**按功能**列成本，本表把附注里能取到的**按性质**拆分归集到一处。
🔴 ⏳ **人工成本金额公司不披露**（美国 GAAP 不强制按性质列报）——只有员工人数与定性描述。**不要凭人数估人工成本。**内容摊销为附注口径、主要计入「服务成本」；折旧+无形摊销合计 = 利润表「折旧与摊销」行。
科目,2011,2012,2013,2014,2017,2018,2019,2020,2021,2022,2023,2024,2025
── 按功能（利润表原样） ──,,,,,,,,,,,,,
总成本及费用 Total costs and expenses,-33112,-33415,-35591,-37273,-41264,-44597,-57719,-61594,-63759,-75952,-79906,-79447,-80593
  服务成本 Cost of services,,,,,,,-36450,-39406,-41129,-48962,-53139,-52509,-52677
  产品成本 Cost of products,,,,,,,-5568,-4474,-4002,-5439,-6062,-6189,-6089
  销售及管理费用 SG&A,,,,-8565,-8176,-8860,-11541,-12369,-13517,-16388,-15336,-15759,-16501
  折旧与摊销 D&A,,,,-2288,-2782,-3011,-4160,-5345,-5111,-5163,-5369,-4990,-5326
── 内容：支出 vs 摊销（支出走经营活动，两者都不在 capex 与 D&A 行里）──,,,,,,,,,,,,,
内容支出合计 Total content spend,,,,,,,,20181,25260,29927,27174,23435,22709
  内容支出-授权节目与版权 Licensed programming & rights,,,,,,,,12077,12412,13316,14851,13619,12887
  内容支出-自制内容 Produced content,,,,,,,,8104,12848,16611,12323,9816,9822
内容成本摊销合计 Total produced and licensed content,,,,,,,,20578,20959,23656,25266,24481,23286
  自制内容摊销 Produced content,,,,,,,,9337,8175,10224,11861,10454,10410
    其中:单独变现 Monetized individually,,,,,,,,4305,2947,3448,3999,3311,3338
    其中:组合变现 Monetized as a group,,,,,,,,5032,5228,6776,7862,7143,7072
  授权节目版权摊销 Licensed programming rights,,,,,,,,11241,12784,13432,13405,14027,12876
内容摊销÷总成本及费用%,,,,,,,,33.4,32.9,31.1,31.6,30.8,28.9
折旧 Depreciation expense,1659,1784,1957,2064,2586,2758,2837,3140,3068,3183,3626,3434,3859
无形资产摊销 Amortization of intangible assets,182,203,235,224,196,253,1323,2205,2043,1980,1743,1556,1467
  其中:TFCF与Hulu并购无形 TFCF and Hulu,,,,,,,1043,1921,1757,1707,1547,1394,1307
资本开支合计 Capital expenditures,3559,3784,2796,3311,3623,4465,4876,4022,3578,4943,4969,5412,8024
  分部折旧:娱乐 Entertainment,,,,,,,,,,,669,681,773
  分部折旧:体育 Sports,,,,,,,,,,,73,39,48
  分部折旧:体验-国内 Experiences Domestic,,,,,,,,,,,2011,1744,1933
  分部折旧:体验-国际 Experiences Intl,,,,,,,,,,,669,726,782
  分部折旧:公司总部 Corporate,148,182,220,239,252,218,167,174,186,191,204,244,323
  分部资本开支:娱乐 Entertainment,,,,,,,,,,,1032,977,1155
  分部资本开支:体育 Sports,,,,,,,,,,,15,10,3
  分部资本开支:体验-国内 Experiences Domestic,,,,,,,,,,,2203,2710,5271
  分部资本开支:体验-国际 Experiences Intl,,,,,,,,,,,822,949,1158
  分部资本开支:公司总部 Corporate,275,471,287,252,178,179,210,335,444,686,897,766,437
