单位:百万美元(USD millions);比率行为%。来源=各年 10-K「Detail of Certain Balance Sheet Accounts - Intangible Assets」附注。
🔴 **账上的 IP 只有买来的那部分**：美国 GAAP 下自创无形资产直接费用化，米老鼠这类自创 IP 账面价值接近零。「角色/系列·版权·商标」一行基本全是皮克斯(2006)/漫威(2009)/卢卡斯(2012)/福克斯(2019) 四笔并购的购买法产物。⚠️ 版权会到期：Steamboat Willie(1928) 及片中早期版本角色版权已到期（美国版权期 95 个日历年）——见 FY2025 10-K 风险因素。
科目,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
无形资产毛值合计 Gross,,,,,,,,,,,,,,22005,22005
"  需摊销无形资产-毛值 Finite-lived, gross",,,,,,,,,,,,,,20213,20213
  需摊销无形资产-累计摊销 Accumulated amortization,-542,-745,-980,-1204,-1426,-1635,-1828,-2070,-3393,-5598,-7641,-9630,-11375,-11266,-12733
"  需摊销无形资产-净值 Finite-lived, net",,,,,,,,,,,,,,8947,7480
  无限寿命无形资产 Indefinite-lived,20,20,20,20,20,20,20,20,1840,1792,1792,1792,1792,1792,1792
无形资产净值合计 Net,,5015,7370,7434,7172,6949,6995,6812,23215,19173,17115,14837,13061,10739,9272
── 按类别·毛值（两代列报都给） ──,,,,,,,,,,,,,,,
"  角色/系列·版权·商标-毛值 Character/franchise, gross",,,5771,5830,5830,5829,5829,5829,10577,,,,,9507,9507
"  分发协议-毛值 Distribution agreements, gross",,,,,,,,,9900,8098,8089,8058,8056,7213,7213
"  其他-毛值 Other, gross",501,603,624,903,901,893,1154,1213,4291,4309,4303,4045,4016,3493,3493
── 按类别·净值（仅 FY2021 起列报） ──,,,,,,,,,,,,,,,
"  角色/系列·版权·商标-净值 Character/franchise, net",,,,,,,,,,,,,,5903,5473
"  分发协议-净值 Distribution agreements, net",,,,,,,,,,,,,,2480,1670
"  其他-净值 Other, net",,,,,,,,,,,,,,564,337
商誉 Goodwill（对照）,24145,25110,27324,27881,27826,27810,31426,31269,80293,77689,78071,77897,77067,73326,73294
归母权益（对照）,37385,39759,45429,44958,44525,43265,41315,48773,88877,83583,88553,95008,99277,100696,109869
（商誉+无形净值）÷归母权益%,,75.8,76.4,78.6,78.6,80.3,93,78.1,116.5,115.9,107.5,97.6,90.8,83.5,75.1
