"单位:百万美元(USD millions);费用/减项=负数;空=该年申报 presentation 无此科目(不补0)。⚠️FY1993-FY1997 印刷口径保留一位小数,本库原样保留。财年=截至 9 月末/10 月初的 52/53 周,FY2025 截至 2025-09-27。"
"各年 as-reported 来源:FY1993-FY2010=各年 10-K 正文(txt/HTML)解析,FY2011-FY2025=各年 10-K 的 SEC 渲染报表 R*.htm(按 XBRL tag 归一);三 CIK:29082(FY1993-95)/1001039(FY1996-2018)/1744489(FY2019-25)。每财年优先取该财年自己那份 10-K 的当年列;重述见 重述与口径变更.csv"
科目,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
经营活动现金流净额 Cash provided by operations,,2808,3510,4625,7064,5115,5588,6434,3048,2286,2901,4370,4269,6058,5398,5446,5064,6578,6994,7966,9452,9780,10909,13213,12343,14295,5984,7616,5566,6002,9866,13971,18101
  折旧摊销 Depreciation and amortization,,,,,,,,,,,,,1339,1436,1491,1582,1631,1713,1841,1987,2192,2288,2354,2527,2782,3011,4160,5345,5111,5163,5369,4990,5326
"资本开支 Investments in parks, resorts and other property",-813.9,-1026,-896,-1745,-1922,-2314,-2134,-2013,-1795,-1086,-1049,-1427,-1823,-1299,-1566,-1578,-1753,-2110,-3559,-3784,-2796,-3311,-4265,-4773,-3623,-4465,-4876,-4022,-3578,-4943,-4969,-5412,-8024
投资活动现金流净额 Cash used in investing activities,-2659.7,-2887,-2288,-13464,-5901,-5665,-5310,-3770,-2015,-3176,-1034,-1484,-1691,-227,-618,-2162,-2096,-4523,-3286,-4759,-4676,-3345,-4245,-5758,-4111,-5336,-15096,-3850,-3171,-5008,-4641,-6881,-8043
分红支付 Dividends,-128.6,-153,-180,-271,-342,-412,,-434,-438,-428,-429,-430,-490,-519,-637,-664,-648,-653,-756,-1076,-1324,-1508,-3063,-2313,-2445,-2515,-2895,-1587,0,0,,-1366,-1803
回购股份 Repurchases of common stock,,-571,-349,-462,-633,-30,-19,-166,-1073,,,-335,-2420,-6898,-6923,-4453,-138,-2669,-4993,-3015,-4087,-6527,-6095,-7499,-9368,-3577,0,0,,,,-2992,-3500
融资活动现金流净额 Cash provided by (used in) financing activities,112.7,-97,-332,8040,-1124,360,9,-2236,-1257,1511,-1523,-2701,-2897,-5143,-3619,-3953,-2552,-2750,-3233,-2985,-4214,-6710,-5514,-6991,-8959,-8843,-464,8480,-4385,-4729,-2724,-15288,-10366
终止经营现金流 Cash from discontinued operations,,,,,,,,,,,,,,,,,,,,,,,,,,,10974,215,9,-4,0,0,
  终止经营-经营 Discontinued ops operating,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,
  终止经营-投资 Discontinued ops investing,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,
  终止经营-融资 Discontinued ops financing,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,
汇率对现金影响 Impact of exchange rates on cash,,,,,,,,,,,,,,,,,,,-12,-20,-18,-235,-302,-123,31,-25,-98,38,30,-603,73,65,5
现金净变动 Change in cash and cash equivalents,-401.8,-176.1,889.6,-798.5,39,-190,287,428,-224,621,344,185,-319,688,1259,-669,416,-695,463,202,544,-510,848,341,-696,91,1300,12499,-1951,-4342,2574,-8133,-303
初次并表带入现金 Cash from initial consolidation,,,,,,,,,,,,274,,,,,,,,,,,,,,,,,,,,,
期初现金 Cash at beginning of year,764.8,363,186.9,1076.5,278,317,127,414,842,618,1239,1583,2042,1723,2411,3670,3001,3417,2722,3185,3387,3931,3421,4269,4760,4064,4155,5455,17954,16003,11661,14235,6102
期末现金 Cash at end of year,363,186.9,1076.5,278,317,127,414,842,618,1239,1583,2042,1723,2411,3670,3001,3417,2722,3185,3387,3931,3421,4269,4610,4064,4155,5455,17954,16003,11661,14235,6102,5799
