"单位:比率为%或倍数(列名已标),金额行单位为百万美元。全部由 _build_ratios.py 从 利润表/资产负债表/现金流量表.csv 派生,年报不直接给这些比率。"
🔴 口径断点:① 毛利率仅 FY2019 起可算(此前利润表无成本拆分);② 现金含量序列跨 FY1998(影视制作支出经营↔投资重分类)与 FY2001(采用 SOP 00-2)两处断点不可直接连线;③ FY2008 及以前少数股东权益列在权益之外(夹层);④ FY2017 起现金口径含受限现金(ASU 2016-18)。
指标,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
── 盈利能力 ──,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
总成本费用率%,79.8,80.5,79.8,82.2,80.8,82.5,84.2,83.9,85.8,90.5,89.9,86.8,87.1,84.0,80.9,80.4,84.2,82.3,81.0,79.0,79.0,76.4,74.8,74.2,74.8,75.0,83.0,94.2,94.6,91.8,89.9,87.0,85.4
税前利润率%,12.6,16.9,17.5,11.0,15.1,13.7,9.9,10.4,5.1,8.6,8.3,12.2,12.5,15.9,21.8,19.6,15.7,17.4,19.7,21.9,21.4,25.1,26.4,26.7,25.0,24.8,20.0,-2.7,3.8,6.4,5.4,8.3,12.7
归母净利率%,3.5,11.0,11.4,6.5,8.7,8.1,5.6,3.6,-0.6,4.9,4.7,7.6,7.9,9.8,13.2,11.7,9.1,10.4,11.8,13.4,13.6,15.4,16.0,16.9,16.3,21.2,15.9,-4.4,3.0,3.8,2.6,5.4,13.1
实际税率%,37.5,34.8,34.8,41.1,42.0,41.4,43.8,61.0,82.5,38.9,35.0,32.0,31.1,34.7,37.2,36.1,36.2,34.9,34.6,33.3,31.0,34.6,36.2,34.2,32.1,11.3,21.7,-40.1,1.0,32.8,28.9,23.7,11.9
ROE%(归母净利÷期初期末平均归母权益),,21.1,22.7,10.7,11.8,10.1,6.4,4.1,-0.7,5.4,5.4,9.4,9.7,11.6,15.0,14.0,10.0,11.1,12.8,14.7,14.4,16.6,18.7,21.4,21.2,28.0,16.1,-3.3,2.3,3.4,2.4,5.0,11.8
ROA%(归母净利÷期末总资产),2.6,8.7,9.4,3.3,5.2,4.5,3.0,2.0,-0.4,2.5,2.5,4.4,4.8,5.6,7.7,7.1,5.2,5.7,6.7,7.6,7.6,8.9,9.5,10.2,9.4,12.8,5.7,-1.4,1.0,1.5,1.1,2.5,6.3
── 三大前提 ──,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金含量(经营现金流÷归母净利·亏损年留空)⚠️FY1998/FY2001 两处口径断点,,2.53,2.54,3.81,3.59,2.76,4.30,6.99,,1.85,2.29,1.86,1.69,1.80,1.15,1.23,1.53,1.66,1.45,1.40,1.54,1.30,1.30,1.41,1.37,1.13,0.54,,2.79,1.91,4.19,2.81,1.46
资本开支÷归母净利(亏损年留空),2.71,0.92,0.65,1.44,0.98,1.25,1.64,2.19,,0.88,0.83,0.61,0.72,0.39,0.33,0.36,0.53,0.53,0.74,0.67,0.46,0.44,0.51,0.51,0.40,0.35,0.44,,1.79,1.57,2.11,1.09,0.65
资本开支÷经营现金流,,0.37,0.26,0.38,0.27,0.45,0.38,0.31,0.59,0.48,0.36,0.33,0.43,0.21,0.29,0.29,0.35,0.32,0.51,0.48,0.30,0.34,0.39,0.36,0.29,0.31,0.81,0.53,0.64,0.82,0.50,0.39,0.44
"自由现金流(经营现金流+资本开支,百万美元)",,1782,2614,2880,5142,2801,3454,4421,1253,1200,1852,2943,2446,4759,3832,3868,3311,4468,3435,4182,6656,6469,6644,8440,8720,9830,1108,3594,1988,1059,4897,8559,10077
自由现金流÷营收%,,17.7,21.6,15.4,22.9,12.2,14.8,17.4,5.0,4.7,6.8,9.6,7.7,13.9,10.8,10.2,9.2,11.7,8.4,9.9,14.8,13.3,12.7,15.2,15.8,16.5,1.6,5.5,2.9,1.3,5.5,9.4,10.7
── 资产结构(占总资产%) ──,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
货币资金占总资产%,3.1,1.5,7.4,0.7,0.8,0.3,,1.9,1.4,2.5,3.2,3.8,3.2,4.0,6.0,4.8,5.4,3.9,4.4,4.5,4.8,4.1,4.8,5.0,4.2,4.2,2.8,8.9,7.8,5.7,6.9,3.1,2.9
应收账款占总资产%,11.8,13.0,12.3,9.0,9.9,9.7,8.3,8.0,7.7,8.1,8.5,8.5,8.6,7.8,8.3,8.6,7.7,8.4,8.6,8.7,8.6,9.3,9.1,9.8,9.0,9.5,8.0,6.3,6.6,6.2,6.0,6.5,6.7
存货占总资产%,5.2,5.2,5.6,2.5,2.5,2.2,1.8,1.6,1.5,1.4,1.4,1.4,1.2,1.2,1.1,1.8,2.0,2.1,2.2,2.1,1.8,1.9,1.8,1.5,1.4,1.4,0.9,0.8,0.7,0.9,1.0,1.0,1.1
影视内容成本占总资产%,11.6,12.4,14.4,10.5,11.7,7.8,9.3,8.0,12.0,11.9,12.4,11.0,10.2,8.7,8.4,8.6,8.1,6.9,6.0,6.1,5.9,6.3,7.0,6.9,7.8,8.0,11.8,12.4,14.5,17.6,16.3,16.5,15.9
固定资产净额占总资产%,,,,,,,,,,,,,,,,,,25.7,27.3,28.7,27.5,27.7,28.6,29.7,29.7,30.0,16.3,15.9,16.0,16.5,17.0,18.9,20.9
商誉占总资产%,,,,,,,,,,34.1,33.9,31.5,31.9,37.5,36.2,35.4,34.4,34.8,33.5,33.5,33.6,33.1,31.6,30.2,32.8,31.7,41.4,38.5,38.3,38.3,37.5,37.4,37.1
无形资产占总资产%,,,,48.2,42.4,38.1,35.9,35.8,33.3,5.5,5.6,5.2,5.1,4.8,4.1,3.9,3.6,7.3,7.1,6.7,9.1,8.8,8.1,7.6,7.3,6.9,12.0,9.5,8.4,7.3,6.4,5.5,4.7
商誉+无形资产占归母权益%,,,,111.8,92.6,81.3,74.8,66.9,64.1,84.7,83.0,75.8,75.2,79.9,79.9,76.0,70.9,77.8,78.3,75.8,76.4,78.6,78.6,80.3,93.0,78.1,116.5,115.9,107.5,97.6,90.8,83.5,75.1
── 杠杆与偿债 ──,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"有息负债(短期+长期借款,百万美元)",2386,2937,2984,12342,11068,11685,11693,9461,9769,14130,13100,13488,12467,13525,15172,14639,12701,12480,13977,14311,14288,14840,17336,20170,25291,20874,46986,58628,54406,48369,46431,45815,42026
资产负债率%,57.2,57.1,54.5,56.9,54.2,53.1,52.0,46.5,48.1,53.2,52.4,51.6,50.7,47.0,49.5,48.3,46.6,43.2,45.3,44.0,40.7,42.8,44.8,48.6,53.0,46.4,51.6,56.2,54.3,51.4,49.4,46.2,42.0
有息负债÷归母权益%,47.4,53.3,44.9,76.7,64.0,60.3,55.7,39.3,43.1,60.3,55.1,51.7,47.6,42.5,49.3,45.3,37.7,33.3,37.4,36.0,31.5,33.0,38.9,46.6,61.2,42.8,52.9,70.1,61.4,50.9,46.8,45.5,38.3
"净有息负债(有息负债−货币资金,百万美元)",2023,2750,1908,12064,10751,11558,,8619,9151,12891,11517,11446,10744,11114,11502,11638,9284,9758,10792,10924,10357,11419,13067,15560,21274,16724,41568,40714,38447,36754,32249,39813,36331
利息保障倍数((税前+利息费用)÷利息费用·净利息为收入的年份留空),,,20.19,5.71,5.89,6.08,4.78,5.72,4.08,5.83,3.84,7.06,7.68,10.20,14.03,15.13,13.14,17.20,24.45,26.09,41.94,,119.53,58.18,36.81,26.66,15.26,-0.17,2.82,4.78,4.94,7.01,10.20
── 周转效率(天) ──,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款周转天数,59,61,54,65,61,64,57,52,48,58,57,54,52,50,52,52,49,55,55,56,56,58,56,59,57,57,81,71,72,56,51,51,51
存货周转天数(分母用总成本费用),33,30,31,23,19,17,15,12,11,11,11,11,8,9,8,13,15,17,18,17,15,15,15,12,12,11,10,9,8,8,9,9,10
── 股东回报 ──,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
已付股利(百万美元·现金流量表口径),129,153,180,271,342,412,,434,438,428,429,430,490,519,637,664,648,653,756,1076,1324,1508,3063,2313,2445,2515,2895,1587,0,0,,1366,1803
回购股份(百万美元),,571,349,462,633,30,19,166,1073,,,335,2420,6898,6923,4453,138,2669,4993,3015,4087,6527,6095,7499,9368,3577,0,0,,,,2992,3500
分红率%(已付股利÷归母净利·亏损年留空),42.9,13.8,13.0,22.3,17.4,22.3,,47.2,,34.6,33.9,18.3,19.3,15.4,13.6,15.0,19.6,16.5,15.7,18.9,21.6,20.1,36.5,24.6,27.2,20.0,26.2,,0.0,0.0,,27.5,14.5
分红+回购÷经营现金流%,,25.8,15.1,15.8,13.8,8.6,0.3,9.3,49.6,18.7,14.8,17.5,68.2,122.4,140.1,94.0,15.5,50.5,82.2,51.4,57.2,82.2,83.9,74.3,95.7,42.6,48.4,20.8,0.0,0.0,,31.2,29.3
分红+回购÷自由现金流%,,40.6,20.2,25.5,19.0,15.8,0.6,13.6,120.6,35.7,23.2,26.0,119.0,155.9,197.3,132.3,23.7,74.4,167.4,97.8,81.3,124.2,137.8,116.3,135.5,62.0,261.3,44.2,0.0,0.0,,50.9,52.6
── 利润链纵深 ──,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
