"单位:百万美元(USD millions);费用/减项=负数;空=该年申报 presentation 无此科目(不补0)。⚠️FY1993-FY1997 印刷口径保留一位小数,本库原样保留。财年=截至 9 月末/10 月初的 52/53 周,FY2025 截至 2025-09-27。"
"各年 as-reported 来源:FY1993-FY2010=各年 10-K 正文(txt/HTML)解析,FY2011-FY2025=各年 10-K 的 SEC 渲染报表 R*.htm(按 XBRL tag 归一);三 CIK:29082(FY1993-95)/1001039(FY1996-2018)/1744489(FY2019-25)。每财年优先取该财年自己那份 10-K 的当年列;重述见 重述与口径变更.csv"
科目,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
货币资金 Cash and cash equivalents,363,186.9,1076.5,278,317,127,,842,618,1239,1583,2042,1723,2411,3670,3001,3417,2722,3185,3387,3931,3421,4269,4610,4017,4150,5418,17914,15959,11615,14182,6002,5695
应收账款 Receivables,1390.3,1670.5,1792.8,3343,3726,3999,3633,3599,3343,4049,4238,4558,4585,4707,5032,5373,4854,5784,6182,6540,6967,7822,8019,9065,8633,9334,15481,12708,13367,12652,12330,12729,13217
存货 Inventories,608.9,668.3,824,951,942,899,796,702,671,697,703,775,626,694,641,1124,1271,1442,1595,1537,1487,1574,1571,1390,1373,1392,1649,1583,1331,1742,1963,2022,2134
其他流动资产 Other current assets,,,,,,,,,,,548,738,652,743,550,603,576,581,634,804,605,801,962,693,588,635,979,875,817,1199,1286,2391,1158
流动资产合计 Total current assets,,,,,,9375,10200,10007,7029,7849,8314,9369,8845,9562,11314,11666,11889,12225,13757,13709,14109,15176,16758,16966,15889,16825,28124,35251,33657,29098,32763,25241,24267
影视内容成本 Produced and licensed content costs,1360.9,1596.2,2099.4,3912,4401,3223,4071,3606,5235,5959,6205,5938,5427,5235,5123,5394,5125,4773,4357,4541,4783,5325,6183,6339,7481,7888,22810,25022,29549,35777,33591,32312,31327
"  房产设备原值 Attractions, buildings and equipment",6732.1,7450.4,8339.9,11019,11787,14037,15869,16610,19089,18917,19499,25168,27570,,,,,32875,35515,38582,41192,42263,42745,50270,54043,55238,58589,62111,64892,66998,70090,76674,82041
  累计折旧 Accumulated depreciation,-2286.4,-2627.1,-3038.5,-4448,-4857,-5382,-6220,-6892,-7728,-8133,-8794,-11665,-12605,-13781,-15145,-16310,-17395,-18373,-19572,-20687,-22459,-23722,-24844,-26849,-29037,-30764,-32415,-35517,-37920,-39356,-42610,-45506,-48889
  在建工程 Projects in progress,688.2,879.1,778.4,,,1280,1272,1995,911,1148,1076,1852,874,913,1147,1169,1350,2180,2625,2453,2476,3553,6028,2684,2145,3942,4264,4449,4521,4814,6285,4728,6911
  土地 Land,94.3,112.1,110.5,118,93,411,425,597,635,848,897,1127,1129,1192,1171,1180,1167,1124,1127,1164,1171,1238,1250,1244,1255,1124,1165,1035,1131,1140,1176,1145,1192
"固定资产净额 Parks, resorts and other property, net",,,,,,,,,,,,,,,,,,17806,19695,21512,22380,23332,25179,27349,28406,29540,31603,32078,32624,33596,34941,37041,41255
商誉 Goodwill,,,,,,,,,,17083,16966,16966,16974,22505,22085,22151,21683,24100,24145,25110,27324,27881,27826,27810,31426,31269,80293,77689,78071,77897,77067,73326,73294
"无形资产 Intangible assets, net",,,,17978,16011,15769,15695,16117,14540,2776,2786,2815,2731,2907,2494,2428,2247,5081,5121,5015,7370,7434,7172,6949,6995,6812,23215,19173,17115,14837,13061,10739,9272
其他非流动资产 Other assets,911.3,936.8,1223.6,2359,1531,664,679,635,600,579,1190,1040,987,1307,1484,1763,2022,2708,2614,2288,2426,2342,2421,2340,2390,3365,4715,8433,8658,9208,11076,13101,10002
资产总计 Total assets,11751.1,12826.3,14605.8,37306,37776,41378,43679,45027,43699,50045,49988,53902,53158,59998,60928,62497,63117,69206,72124,74898,81241,84186,88182,92033,95789,98598,193984,201549,203609,203631,205579,196219,197514
流动负债合计 Total current liabilities,,,,,,7525,7707,8402,6219,7819,8669,11059,9168,10210,11391,11591,8934,11000,12088,12813,11704,13292,16334,16842,19595,17860,31341,26628,31077,29073,31139,34599,34162
递延收入 Deferred revenue,840.7,699.9,860.7,1179,1172,635,704,739,787,983,1168,1343,1519,1611,2162,2082,2112,2541,2671,2806,3389,3533,3927,4025,4568,4591,4722,4116,4317,5790,6138,6684,6248
短期借款 Borrowings current,,,,,,2123,2415,2502,829,1663,2457,4093,2310,2682,3280,3529,1206,2350,3055,3614,1512,2164,4563,3687,6172,3790,8857,5711,5866,3070,4330,6845,6711
长期借款 Borrowings long-term,2385.8,2936.9,2984.3,12342,11068,9562,9278,6959,8940,12467,10643,9395,10157,10843,11892,11110,11495,10130,10922,10697,12776,12676,12773,16483,19119,17084,38129,52917,48540,45299,42101,38970,35315
归母权益 Total Disney shareholders' equity,5030.5,5508.3,6650.8,16086,17285,19388,20975,24100,22672,23445,23791,26081,26210,31820,30753,32323,33734,37519,37385,39759,45429,44958,44525,43265,41315,48773,88877,83583,88553,95008,99277,100696,109869
少数股东权益 Noncontrolling interests,,,,,,,,,,,,,,,,,,1823,2068,2199,2721,3220,4130,4058,3689,4059,5012,4680,4458,3871,4680,4826,4743
权益合计 Total equity,,,,,,,,,,,,,,,,,,39342,39453,41958,48150,48178,48655,47323,45004,52832,93889,88263,93011,98879,103957,105522,114612
负债与权益总计 Total liabilities and equity,11751.1,12826.3,14605.8,37306,37776,41378,43679,45027,43699,50045,49988,53902,53158,59998,60928,62497,63117,69206,72124,74898,81241,84186,88182,92033,95789,98598,193984,201549,203609,203631,205579,196219,197514
