财年,科目,as-reported值,来源年报,后续年报值,后续年报
1992,投资活动现金流净额 Cash used in investing activities,-1923.7,FY1994,4484,FY1993
1992,期初现金 Cash at beginning of year,886.1,FY1994,6016,FY1993
1992,期末现金 Cash at end of year,764.8,FY1994,2286,FY1993
1992,融资活动现金流净额 Cash provided by (used in) financing activities,-35.7,FY1994,-474,FY1993
1993,投资活动现金流净额 Cash used in investing activities,-2659.7,FY1995,974,FY1993
1993,期初现金 Cash at beginning of year,764.8,FY1995,2286,FY1993
1993,期末现金 Cash at end of year,363,FY1995,1204,FY1993
1993,融资活动现金流净额 Cash provided by (used in) financing activities,112.7,FY1995,608,FY1993
1996,  影视内容摊销(现金流加回) Amortization of film and television costs,2966,FY1996,2762,FY1997
1997,  影视内容摊销(现金流加回) Amortization of film and television costs,3781,FY1997,1995,FY1998
1997,  影视内容支出(FY2001前列投资活动) Film and television costs,-5054,FY1997,-3089,FY1998
1997,投资活动现金流净额 Cash used in investing activities,-5901,FY1997,-3936,FY1998
1997,经营活动现金流净额 Cash provided by operations,7064,FY1997,5099,FY1998
1998,总成本及费用 Total costs and expenses,-18961,FY1998,-18466,FY1999
1999,税前利润 Income before income taxes,2314,FY1999,2403,FY2000
2000,  影视内容支出(FY2001前列投资活动) Film and television costs,-2679,FY2000,192,FY2001
2000,"利息支出净额 Interest expense, net",-558,FY2000,-497,FY2001
2000,总成本及费用 Total costs and expenses,21321,FY2000,-21660,FY2001
2000,投资活动现金流净额 Cash used in investing activities,-3770,FY2000,-1091,FY2001
2000,经营活动现金流净额 Cash provided by operations,6434,FY2000,3755,FY2001
2001,  影视内容支出(FY2001前列投资活动) Film and television costs,-183,FY2001,-13,FY2002
2005,重组及减值 Restructuring and impairment,-6,FY2005,-32,FY2006
2006,总成本及费用 Total costs and expenses,-28807,FY2006,-28392,FY2007
2006,所得税 Income taxes,-1890,FY2006,-1837,FY2007
2006,投资活动现金流净额 Cash used in investing activities,-227,FY2006,-220,FY2007
2006,税前利润 Income before income taxes,5447,FY2006,5324,FY2007
2006,经营活动现金流净额 Cash provided by operations,6058,FY2006,5960,FY2007
2006,营业收入 Revenues,34285,FY2006,33747,FY2007
2006,"资本开支 Investments in parks, resorts and other property",-1299,FY2006,-1292,FY2007
2009,净利润 Net income,3307,FY2009,3609,FY2010
2009,投资活动现金流净额 Cash used in investing activities,-2096,FY2009,-1755,FY2010
2009,经营活动现金流净额 Cash provided by operations,5064,FY2009,5319,FY2010
2009,融资活动现金流净额 Cash provided by (used in) financing activities,-2552,FY2009,-3148,FY2010
2010,融资活动现金流净额 Cash provided by (used in) financing activities,-2750,FY2010,-2663,FY2012
2014,其他流动资产 Other current assets,801,FY2014,794,FY2015
2014,其他非流动资产 Other assets,2342,FY2014,2304,FY2015
2015,期初现金 Cash at beginning of year,3421,FY2015,3688,FY2017
2015,经营活动现金流净额 Cash provided by operations,10909,FY2015,11385,FY2017
2015,融资活动现金流净额 Cash provided by (used in) financing activities,-5514,FY2015,-5801,FY2017
2016,期初现金 Cash at beginning of year,4269,FY2016,4725,FY2017
2016,期初现金 Cash at beginning of year,4269,FY2016,4725,FY2018
2016,期末现金 Cash at end of year,4610,FY2016,4760,FY2018
2016,现金净变动 Change in cash and cash equivalents,341,FY2016,35,FY2018
2016,经营活动现金流净额 Cash provided by operations,13213,FY2016,13136,FY2017
2016,经营活动现金流净额 Cash provided by operations,13213,FY2016,13136,FY2018
2016,融资活动现金流净额 Cash provided by (used in) financing activities,-6991,FY2016,-7220,FY2017
2016,融资活动现金流净额 Cash provided by (used in) financing activities,-6991,FY2016,-7220,FY2018
2019,"终止经营损益 Discontinued operations, net of tax",671,FY2019,687,FY2020
2019,"终止经营损益 Discontinued operations, net of tax",671,FY2019,687,FY2021
