分部,指标,FY2012/3,FY2013/3,FY2014/3,FY2015/3,FY2016/3,FY2017/3,FY2018/3,FY2019/3,FY2020/3,FY2021/3,FY2022/3,FY2023/3,FY2024/3,FY2025/3,FY2026/3
建築用,外部売上高,239440,215739,240606,252914,262559,237722,241678,247348,233687,215501,281816,365947,371777,363025,374998
建築用,セグメント間売上高,13710,13074,15494,21142,22208,17818,19322,-16582,-13452,-10882,-10427,-27315,-35262,-30765,-31896
建築用,セグメント売上高計,253150,228813,256100,274056,284767,255540,261000,263930,247139,226383,292243,393262,407039,393790,406894
建築用,PPA償却前セグメント利益,9135,303,10951,17020,24560,27044,26246,25811,17331,,,,,,
建築用,個別開示項目前営業利益,9135,303,10951,17020,24560,27044,26246,25811,17331,15670,28130,33557,29087,13574,30033
建築用,個別開示項目収益,,,,,,,,,,1342,939,1183,1158,1623,3339
建築用,個別開示項目費用,,,,,,,,,,-12397,-442,-1566,-1312,-4619,-2768
建築用,減価償却費_有形,-12562,-10619,-11342,-12281,-12062,-10134,-10045,-10586,-12811,-13764,-15708,-18552,-21870,-23474,-26635
建築用,償却費_無形,-820,-454,-356,-273,-258,-194,-143,-176,-186,-198,-202,-190,-152,-159,-125
建築用,減損損失,16,33,-113,-33,-72,-82,-47,-112,-472,-236,,-285,,-238,-240
建築用,研究開発費,-2113,-2527,-2743,-2703,-3082,-2682,-2677,-2641,-2686,-2253,-2366,-2843,-3417,-3549,-3750
自動車用,外部売上高,251229,245022,305114,313956,316327,296560,312681,314645,280977,245184,276246,354693,417558,429444,457222
自動車用,セグメント間売上高,385,1145,2147,2424,2185,1885,2411,-1843,-1593,-1324,-2589,-718,-287,-205,-280
自動車用,セグメント売上高計,251614,246167,307261,316380,318512,298445,315092,316488,282570,246508,278835,355411,417845,429649,457502
自動車用,PPA償却前セグメント利益,5123,4755,11154,9372,9813,12654,14250,15118,6100,,,,,,
自動車用,個別開示項目前営業利益,5123,4755,11154,9372,9813,12654,14250,15118,6100,1802,-7908,4052,11343,7667,4995
自動車用,個別開示項目収益,,,,,,,,,,4578,626,2563,,,42
自動車用,個別開示項目費用,,,,,,,,,,-19319,-775,-1551,-522,-4407,-363
自動車用,減価償却費_有形,-13065,-13008,-15388,-14451,-14744,-13617,-13807,-10988,-13803,-13404,-15512,-16307,-18307,-19623,-20452
自動車用,償却費_無形,-1246,-819,-610,-649,-632,-525,-571,-402,-454,-408,-438,-371,-488,-696,-1116
自動車用,減損損失,41,-37,-44,-135,-9,-58,-12,-44,-168,-313,,-343,,-217,-571
自動車用,研究開発費,-3295,-2832,-2811,-3058,-3006,-2623,-2819,-2979,-2591,-2275,-2252,-2677,-3077,-3019,-3435
高機能,外部売上高,60167,59404,59355,58741,49490,46088,48420,49106,40143,36818,39770,38754,39945,46584,46005
高機能,セグメント間売上高,217,149,89,26,48,107,372,-1331,-2464,-2786,-2131,-2239,-1700,-1561,-1292
高機能,セグメント売上高計,60384,59553,59444,58767,49538,46195,48792,50437,42607,39604,41901,40993,41645,48145,47297
高機能,PPA償却前セグメント利益,6942,6719,5898,4922,267,1756,5394,8062,7116,,,,,,
高機能,個別開示項目前営業利益,6942,6719,5898,4922,267,1756,5394,8062,7116,6707,9907,8733,7146,7568,8639
高機能,個別開示項目収益,,,,,,,,,,953,4407,104,-743,528,30
高機能,個別開示項目費用,,,,,,,,,,-628,-67,-8,-43,-38,-20
高機能,減価償却費_有形,-2926,-2447,-1950,-2504,-2852,-2161,-1655,-1597,-1966,-1928,-1752,-1790,-1771,-1799,-1942
高機能,償却費_無形,-39,-35,-38,-42,-62,-42,-40,-21,-16,-14,-13,-14,-16,-13,-21
高機能,減損損失,,,-128,-381,,-43,-100,-41,-116,-46,,-30,,-95,-71
高機能,研究開発費,-1804,-1255,-1086,-931,-1999,-1776,-2044,-759,-883,-864,-853,-1003,-810,-859,-942
その他,外部売上高,1387,1181,1020,1102,796,425,1073,1690,1371,1721,2736,4127,3257,1348,1237
その他,セグメント間売上高,5384,4946,5411,5132,5368,5417,3582,-3638,-3653,-2794,-2813,-1909,-2201,-1499,-1061
その他,セグメント売上高計,6771,6127,6431,6234,6164,5842,4655,5328,5024,4515,5549,6036,5458,2847,2298
その他,PPA償却前セグメント利益,-6296,-2791,-5551,-6044,-7465,-8392,-8196,-10167,-7529,,,,,,
その他,ピルキントン買収償却費,-7188,-7040,-7885,-8422,-7813,-3200,-2031,-1969,-1841,,,,,,
その他,個別開示項目前営業利益,-13484,-9831,-13436,-14466,-15278,-11592,-10227,-12136,-9370,-11112,-10149,-11530,-11716,-12318,-14850
その他,個別開示項目収益,,,,,,,,,,7959,55,3174,1735,3328,
その他,個別開示項目費用,,,,,,,,,,-3884,-1097,-49053,-183,-1664,-5774
その他,減価償却費_有形,-422,-726,-838,-828,-819,-830,-886,-1014,-1471,-1425,-1033,-1354,-1828,-1883,-2186
その他,償却費_無形,-7647,-8447,-9326,-9971,-9520,-4686,-3379,-3093,-3139,-2628,-2012,-1616,-1490,-1638,-1690
その他,減損損失,,-4,-1485,-44,,0,-23,-998,-373,-829,,-20,,-27,-12
その他,研究開発費,-744,-653,-1240,-1520,-1712,-1389,-1559,-3004,-2854,-2864,-2235,-2570,-2630,-2497,-3016
