科目,FY2000/3,FY2001/3,FY2002/3,FY2003/3,FY2004/3,FY2005/3,FY2006/3,FY2007/3,FY2008/3,FY2009/3,FY2010/3,FY2011/3,FY2012/3,FY2013/3,FY2014/3,FY2015/3,FY2016/3,FY2017/3,FY2018/3,FY2019/3,FY2020/3,FY2021/3,FY2022/3,FY2023/3,FY2024/3,FY2025/3,FY2026/3
売上高（营业收入）,270654,307401,286849,280100,269149,264975,265888,681547,865587,739365,588394,577212,552223,521346,606095,626713,629172,580795,603852,612789,556178,499224,600568,763521,832537,840401,879462
売上原価（营业成本）,203574,220564,220052,215743,200973,194843,196948,478700,594379,537269,440055,420931,-420033,-404027,-459821,-473194,-472217,-429122,-441887,-452095,-421881,-382085,-465139,-591705,-652055,-672228,-683539
売上総利益（毛利）,67080,86836,66796,64357,68175,70131,68940,202846,271208,202095,148339,156281,132190,117319,146274,153519,156955,151673,161965,160694,134297,117139,135429,171816,180482,168173,195923
その他の収益（其他收益）,,,,,,,,,,,,,7932,7915,7205,3929,2945,1874,2571,1130,3177,1814,2214,1664,1409,2511,2931
販売費（销售费用）,,,,,,,,,,,,,-49457,-50784,-57677,-59131,-56639,-51834,-54536,-55582,-51430,-43665,-53089,-64009,-64120,-67386,-76046
管理費（管理费用）,,,,,,,,,,,,,-66156,-60592,-66619,-68788,-70716,-64922,-66613,-63999,-59351,-56406,-59532,-68346,-77449,-80214,-86759
販売費及び一般管理費（销售及一般管理费(JGAAP)）,58717,60601,61788,60055,58150,58106,60510,179024,224746,200187,165522,141929,,,,,,,,,,,,,,,
その他の費用（其他费用）,,,,,,,,,,,,,-16793,-11912,-14616,-12681,-13183,-6929,-7724,-5388,-5516,-5815,-5042,-6313,-4462,-6593,-7232
個別開示項目前営業利益（个别开示项目前营业利润）,,,,,,,,,,,,,7716,1946,14567,16848,19362,29862,35663,36855,21177,13067,19980,34812,35860,16491,28817
個別開示項目（个别开示项目(净)）,,,,,,,,,,,,,-3330,-19204,-13833,5490,-35142,2921,-1265,-7068,-23960,,,,,,
個別開示項目収益（个别开示项目·收益）,,,,,,,,,,,,,,,,,,,,,,14832,6027,7024,2150,5479,3411
個別開示項目費用（个别开示项目·费用）,,,,,,,,,,,,,,,,,,,,,,-36228,-2381,-52178,-2060,-10728,-8925
営業利益（营业利润）,8362,26235,5008,4302,10025,12025,8429,23822,46462,1908,-17183,14352,4386,-17258,734,22338,-15780,32783,34398,29787,-2783,-8329,23626,-10342,35950,11242,23303
経常利益（经常利润(JGAAP)）,2659,23905,1074,-1572,7757,13270,10425,8001,30437,-12259,-28552,7730,,,,,,,,,,,,,,,
金融収益（金融收益）,,,,,,,,,,,,,2423,1823,3338,2201,1624,1380,1080,2131,2126,2044,2117,5239,10610,3439,4702
金融費用（金融费用）,,,,,,,,,,,,,-16746,-15883,-21475,-20145,-19848,-20554,-15704,-15432,-13969,-13080,-14586,-22641,-38818,-28732,-32966
持分法適用会社金融債権減損（对联营金融债权减值）,,,,,,,,,,,,,,,,,,,,,,,-3374,,3740,,
持分法による投資損益（权益法投资损益）,,,,,,,,,,,,,5115,2250,1002,413,-3435,1142,2403,6244,1077,2194,7498,7333,5092,5526,5714
持分法投資その他損益（权益法投资其他损益）,,,,,,,,,,,,,,,,,,,,,,,-3422,-1522,1023,,
税引前利益（税前利润）,,,,,,,,,,,,,-4822,-29068,-16401,4807,-37439,14751,22177,22730,-13549,-17171,11859,-21933,17597,-8525,378
税金等調整前当期純利益（税前利润(JGAAP)）,34746,35562,-174,1468,9562,11424,,38057,62258,-13515,-42414,3360,,,,,,,,,,,,,,,
法人所得税（所得税）,,,,,,,,,,,,,3073,-2871,-84,-1914,-10061,-7459,-4714,-8352,-3969,855,-5100,-9084,-6667,-4941,5133
当期利益（净利润）,,,,,,,,,,,,,-1749,-31939,-16485,2893,-47500,7292,7873,14378,-17518,-16316,6759,-31017,10930,-13466,5511
当期純利益（净利润(JGAAP)）,14007,31522,-2278,-3152,3207,7588,7764,12095,50416,-28392,-41313,1661,,,,,,,,,,,,,,,
少数株主利益（少数股东损益(JGAAP)）,,144,455,76,234,415,335,2957,2256,2044,1375,3381,,,,,,,,,,,,,,,
非支配持分帰属当期利益（非控股权益应占）,,,,,,,,,,,,,1066,869,1145,1225,2338,1687,1743,1091,1407,614,2625,2744,297,365,1090
親会社所有者帰属当期利益（母公司拥有人应占）,,,,,,,,,,,,,-2815,-32808,-17630,1668,-49838,5605,6130,13287,-18925,-16930,4134,-33761,10633,-13831,4421
基本的1株当たり当期利益（基本每股收益(円)）,,,,,,,,,,,,,-3.12,-36.36,-19.53,1.85,-55.18,62.04,47.9,115.16,-235.96,-208.32,24.07,-393.06,95.4,-173.2,44.51
希薄化後1株当たり当期利益（稀释每股收益(円)）,,,,,,,,,,,,,-3.12,-36.36,-19.53,1.84,-55.18,61.49,38.65,85.14,-235.96,-208.32,23.92,-393.06,74.85,-173.2,30.64
