科目,FY2012/3,FY2013/3,FY2014/3,FY2015/3,FY2016/3,FY2017/3,FY2018/3,FY2019/3,FY2020/3,FY2021/3,FY2022/3,FY2023/3,FY2024/3,FY2025/3,FY2026/3
外部顧客売上債権,93748,87988,74294,55130,50422,49977,50827,46831,36291,44978,47338,57752,49189,53843,57959
貸倒引当金,-4975,-4903,-4331,-3829,-2832,-2931,-2968,-2402,-2156,-2050,-2236,-3349,-2351,-2360,-2890
貸倒引当金控除後売上債権,,83085,69963,51301,47590,47046,47859,44429,34135,42928,45102,54403,46838,51483,55069
工事未収入金,1593,1643,966,1772,1362,2069,2812,797,783,455,436,417,373,104,30
関連当事者売上債権,1742,1227,2142,2141,1906,1767,1872,1553,680,567,146,953,119,155,69
関連当事者貸付金,4080,8231,8095,9157,9316,8698,9344,9255,7306,8471,5426,6079,83,82,94
その他の債権,13530,14796,22790,26624,23545,21380,17931,18492,18250,22140,30540,38372,36209,31194,32931
前払金及び未収収益,6451,6468,4182,4671,4152,4220,10444,3795,3323,3680,4342,6196,5449,6778,6595
流動,109493,101242,92523,79010,72574,68010,73952,63994,54003,64037,72816,93450,84571,83438,87985
非流動,6676,14208,15615,16656,15297,17170,16310,14327,10474,14204,13176,12970,4500,6358,6803
