科目,FY2000/3,FY2001/3,FY2002/3,FY2003/3,FY2004/3,FY2005/3,FY2006/3,FY2007/3,FY2008/3,FY2009/3,FY2010/3,FY2011/3,FY2012/3,FY2013/3,FY2014/3,FY2015/3,FY2016/3,FY2017/3,FY2018/3,FY2019/3,FY2020/3,FY2021/3,FY2022/3,FY2023/3,FY2024/3,FY2025/3,FY2026/3
営業活動による現金生成額（经营活动产生现金(付息付税前)）,,,,,,,,,,,,,8436,32796,37508,44935,42281,54523,53489,44434,43873,31954,58295,68228,86045,83966,63739
利息の受取額（利息收取额）,,,,,,,,,,,,,1712,1707,2877,2168,1282,1567,1021,2019,3236,3201,4231,8364,10603,2861,3110
利息の支払額（利息支付额）,,,,,,,,,,,,,-14527,-14279,-18830,-18314,-17931,-20666,-11596,-12047,-11097,-10696,-12589,-21048,-31890,-25099,-28530
法人所得税の支払額（所得税支付额）,,,,,,,,,,,,,-5535,-6011,-3675,-4196,-3843,-4995,-5751,-5376,-5568,-3406,-4876,-7038,-5989,-9309,-4695
営業活動によるキャッシュフロー（经营活动现金流净额）,16627,26626,14136,17730,17603,16799,15455,75379,49394,-32597,-2768,31203,-9914,14213,17880,24593,21789,30429,37163,29030,30444,21053,45061,48506,58769,52419,33624
投資活動によるキャッシュフロー（投资活动现金流净额）,36555,-14397,-36607,11698,9641,-255,-12149,-297644,29471,2589,-5887,-27842,-26327,-7041,-17106,-23192,-26401,-10152,-20359,-28143,-56888,-25589,-22787,-34649,-43512,-42444,-32562
財務活動によるキャッシュフロー（筹资活动现金流净额）,-22654,-28757,2225,-16527,-16623,-7806,111225,190068,-83616,15840,-11130,-10357,15862,27945,-20744,7295,-5908,16398,-33889,-11358,18205,13537,-20823,-7889,-48079,8513,-14661
有形固定資産取得（购建有形固定资产支出）,,,,,,,,,,,,,-27896,-25553,-25686,-32602,-28197,-24130,-31582,-28125,-60868,-39201,-33080,-37710,-54900,-54710,-41848
無形資産取得（购建无形资产支出）,,,,,,,,,,,,,-1635,-1805,-1717,-2338,-1790,-1855,-2166,-2380,-1778,-1437,-1400,-1401,-4053,-4496,-4540
capex（购建固定资产支出(JGAAP)）,-10163,-17925,-16306,-11937,-12583,-11820,-14043,-43742,-40542,-42635,-15746,-29874,,,,,,,,,,,,,,,
有形固定資産売却収入（处置有形固定资产收入）,,,,,,,,,,,,,2890,2908,3292,6229,608,10403,4065,479,1879,15952,1354,1300,2239,12817,1556
配当金の支払額（股利支付额）,,,,,,,,,,,,,,,,,,,,-5656,-2818,-1653,-1959,-1955,-1950,-1950,-1950
自己株式の取得（回购库存股支出）,,,,,,,,,,,,,,,,,,,,-5754,-5752,-1,-1,-1,-1,-1,-1
社債発行及び借入（发债及借款收入）,,,,,,,,,,,,,70775,122178,134280,144115,131438,188573,62624,108907,69040,87915,101889,95475,115283,148467,275154
社債償還及び返済（偿债及还款支出）,,,,,,,,,,,,,-47742,-92430,-154359,-135828,-136485,-210499,-94736,-107973,-46567,-73324,-119962,-98687,-160337,-137261,-286625
現金及び現金同等物の増減額（现金净变动）,,,,,,,,,,,,,-20379,35117,-19970,8696,-10520,36675,-17085,-10471,-8239,9001,1451,5968,-32822,18488,-13599
現金及び現金同等物の期首残高（期初现金）,28855,62295,49450,33799,45781,55356,63512,179158,159762,103293,75598,55995,46491,24797,65173,52293,62340,46162,79808,62799,50292,40512,53500,60015,68518,44278,62978
換算差額（汇率变动影响）,,,,,,,,,,,,,-1315,5408,7090,1351,-5658,-3029,76,-3558,-3627,2670,3787,762,1943,-2539,2685
超インフレの調整（恶性通胀调整）,,,,,,,,,,,,,,,,,,,,1522,2086,1317,1277,1773,6639,2751,3037
売却目的保有資産への振替に伴う現金増減（持有待售资产转拨现金增减）,,,,,,,,,,,,,,-149,,,,,,,,,,,,,
現金及び現金同等物の期末残高（期末现金）,62295,49450,33799,45781,55356,63512,179158,159762,103293,75598,55995,46491,24797,65173,52293,62340,46162,79808,62799,50292,40512,53500,60015,68518,44278,62978,55101
