指标,FY2000/3,FY2001/3,FY2002/3,FY2003/3,FY2004/3,FY2005/3,FY2006/3,FY2007/3,FY2008/3,FY2009/3,FY2010/3,FY2011/3,FY2012/3,FY2013/3,FY2014/3,FY2015/3,FY2016/3,FY2017/3,FY2018/3,FY2019/3,FY2020/3,FY2021/3,FY2022/3,FY2023/3,FY2024/3,FY2025/3,FY2026/3
毛利率%,24.78,28.25,23.29,22.98,25.33,26.47,25.93,29.76,31.33,27.33,25.21,27.08,23.94,22.5,24.13,24.5,24.95,26.11,26.82,26.22,24.15,23.46,22.55,22.5,21.68,20.01,22.28
営業利益率%,3.09,8.53,1.75,1.54,3.72,4.54,3.17,3.5,5.37,0.26,-2.92,2.49,0.79,-3.31,0.12,3.56,-2.51,5.64,5.7,4.86,-0.5,-1.67,3.93,-1.35,4.32,1.34,2.65
純利益率%,5.18,10.25,-0.79,-1.13,1.19,2.86,2.92,1.77,5.82,-3.84,-7.02,0.29,-0.51,-6.29,-2.91,0.27,-7.92,0.97,1.02,2.17,-3.4,-3.39,0.69,-4.42,1.28,-1.65,0.5
ROE%,9.13,13.52,-1.02,-1.65,1.6,3.7,3.26,3.45,13.55,-11.04,-17.22,0.73,-1.75,-22.62,-10.69,0.95,-48.34,4.51,4.56,10.74,-25.71,-26.9,2.85,-34.79,8.56,-12.8,2.92
自己資本比率%,33.93,42.69,42.25,42.19,45.36,48.09,39.98,24.88,28.2,25.09,25.7,26.12,19.01,16.38,17.83,19.1,12.7,15.71,16.96,16.24,9.62,7.63,15.47,10.2,12.33,10.46,13.53
有利子負債,153719,136839,151519,140206,114312,121311,236923,561116,456408,418341,347945,353267,393940,444378,451793,437127,428408,396398,370655,369652,427728,470140,466364,491543,500555,522725,547169
ネット有利子負債,89965,86216,117175,93531,58344,57148,56253,400202,328480,323362,268149,292361,350594,360906,377929,369432,373334,311478,305854,317246,384120,411467,405900,422230,449372,457414,489610
ネットD/Eレシオ(倍),0.59,0.37,0.52,0.49,0.29,0.28,0.24,1.14,0.88,1.26,1.12,1.29,2.17,2.49,2.29,2.1,3.62,2.51,2.28,2.56,5.22,6.54,2.79,4.35,3.62,4.23,3.24
有利子負債/総資産%,33.99,25.05,28.68,30.99,25.85,28.42,39.75,39.82,34.59,40.8,37.26,40.67,46.41,50.19,48.83,47.51,52.75,50.16,46.81,48.52,55.9,56.99,49.65,51.67,49.68,50.61,48.96
退職給付負債/自己資本%,,6.59,6.49,7.36,6.57,6.38,5.05,24.54,20.17,24.42,24.72,22.95,54.12,61.89,54.91,51.17,72.85,57.05,53.55,53.47,79.59,96.93,38.17,52.22,39.7,41.62,29.39
営業利益/金融費用(倍),,,,,,,,,,,,,0.26,-1.09,0.03,1.11,-0.8,1.59,2.19,1.93,-0.2,-0.64,1.62,-0.46,0.93,0.39,0.71
営業CF/純利益(倍),1.19,0.84,-6.21,-5.62,5.49,2.21,1.99,6.23,0.98,1.15,0.07,18.79,3.52,-0.43,-1.01,14.74,-0.44,5.43,6.06,2.18,-1.61,-1.24,10.9,-1.44,5.53,-3.79,7.61
capex,,,,,,,,,,,,,29531,27358,27403,34940,29987,25985,33748,30505,62646,40638,34480,39111,58953,59206,46388
capex/営業CF%,,,,,,,,,,,,,-297.87,192.49,153.26,142.07,137.62,85.4,90.81,105.08,205.77,193.03,76.52,80.63,100.31,112.95,137.96
capex/売上高%,,,,,,,,,,,,,5.35,5.25,4.52,5.58,4.77,4.47,5.59,4.98,11.26,8.14,5.74,5.12,7.08,7.04,5.27
フリーCF,,,,,,,,,,,,,-39445,-13145,-9523,-10347,-8198,4444,3415,-1475,-32202,-19585,10581,9395,-184,-6787,-12764
棚卸資産/売上高%,15.33,15.86,17.76,13.64,13.44,13.05,14.2,,,,,,19.22,19.33,18.01,18.14,17.3,18.17,18.05,19.52,21.29,22.42,22.02,20.55,20.79,19.57,21.09
