科目,FY2000/3,FY2001/3,FY2002/3,FY2003/3,FY2004/3,FY2005/3,FY2006/3,FY2007/3,FY2008/3,FY2009/3,FY2010/3,FY2011/3,FY2012/3,FY2013/3,FY2014/3,FY2015/3,FY2016/3,FY2017/3,FY2018/3,FY2019/3,FY2020/3,FY2021/3,FY2022/3,FY2023/3,FY2024/3,FY2025/3,FY2026/3
のれん（商誉）,,,,,,,,,,,,,105018,116768,135826,130734,113459,105972,112455,107349,91199,99016,104737,74081,84172,82134,87346
無形資産（无形资产）,,,,,,,,,,,,,87475,84496,86999,75680,62898,56288,57389,53790,47390,48761,50256,39480,46734,48066,54890
有形固定資産（有形固定资产）,,,,,,,,,,,,,260597,267983,289389,293529,258866,245157,252778,241506,294545,316788,341736,370460,431212,453166,485109
投資不動産（投资性房地产）,,,,,,,,,,,,,675,635,644,867,715,523,413,371,303,214,163,120,136,134,108
持分法投資（权益法投资）,,,,,,,,,,,,,50359,45063,50070,30528,17869,13773,17655,18294,17083,18870,20410,25349,26164,25524,28096
繰延税金資産（递延所得税资产）,,,,,,,,,,,,,61248,51797,55571,62072,48357,41622,36115,32411,28658,33816,33115,28613,35802,37393,46692
非流動資産合計（非流动资产合计）,,,,,,,,,,,,,583690,591360,643369,652964,571417,527818,538906,516288,541108,574978,637032,615068,686286,709760,775645
有形固定資産合計（有形固定资产合计(JGAAP)）,154918,156179,168057,151876,126271,114084,119396,396586,375474,317478,283140,271287,,,,,,,,,,,,,,,
無形固定資産（无形固定资产(JGAAP)）,8081,7783,7549,5537,3999,3890,6989,2,2,260165,236034,202973,,,,,,,,,,,,,,,
投資その他の資産合計（投资及其他资产合计(JGAAP)）,65353,187342,182054,135079,146107,141210,180845,147062,169205,122347,117100,119462,,,,,,,,,,,,,,,
固定資産合計（固定资产合计(JGAAP)）,228353,351304,357661,292493,276378,259185,307231,943146,897354,699989,636275,593722,,,,,,,,,,,,,,,
棚卸資産（存货）,41488,48760,50956,38201,36184,34582,37749,,,,,,106112,100790,109167,113662,108862,105514,108975,119645,118388,111910,132242,156918,173068,164503,185511
売上債権及びその他の債権（应收账款及其他应收）,,,,,,,,,,,,,6676,14208,15615,16656,15297,17170,16310,14327,10474,14204,13176,12970,4500,6358,6803
受取手形及び売掛金（应收票据及应收账款(JGAAP)）,71980,78505,72475,64421,61927,59785,59072,148584,145560,94291,97680,95640,,,,,,,,,,,,,,,
現金及び現金同等物（现金及现金等价物）,,,,,,,,,,,,,43346,83472,73864,67695,55074,84920,64801,52406,43608,58673,60464,69313,51183,65311,57559
現金及び預金（现金及存款(JGAAP)）,63754,50623,34344,46675,55968,64163,180670,160914,127928,94979,79796,60906,,,,,,,,,,,,,,,
売却目的で保有する資産（持有待售资产）,,,,,,,,,,,,,1088,2638,1799,3507,1223,126,,5204,2214,11366,7234,5167,4852,4108,2277
流動資産合計（流动资产合计）,206442,195024,170566,159970,165785,167724,288732,465836,421935,325231,297446,274866,265062,294076,281806,267142,240703,262374,252976,245581,224089,249985,302249,336319,321299,323171,341849
資産合計（资产总计）,452283,546329,528227,452463,442163,426909,595963,1408983,1319290,1025221,933721,868588,848752,885436,925175,920106,812120,790192,791882,761869,765197,824963,939281,951387,1007585,1032931,1117494
社債及び借入金_流動（流动·公司债及借款）,,,,,,,,,,,,,110375,152585,119954,112119,139089,78417,96470,41054,54000,120994,114347,161610,144223,177012,307801
仕入債務及びその他の債務（应付账款及其他应付）,,,,,,,,,,,,,109269,113780,127858,133550,120979,123794,133538,127425,124145,136233,163114,183612,178512,187557,209968
支払手形及び買掛金（应付票据及应付账款(JGAAP)）,43067,52030,44319,39469,41939,38922,37357,98291,98955,61902,68898,73927,,,,,,,,,,,,,,,
短期借入金（短期借款(JGAAP)）,74522,59359,76282,69770,53301,37178,46703,107316,92956,84784,25619,14925,,,,,,,,,,,,,,,
