科目,FY1997/3,FY1998/3,FY1999/3,FY2000/3,FY2001/3,FY2002/3,FY2003/3,FY2004/3,FY2005/3,FY2006/3,FY2007/3,FY2008/3,FY2009/3,FY2010/3,FY2011/3,FY2012/3,FY2013/3,FY2014/3,FY2015/3,FY2016/3,FY2017/3,FY2018/3,FY2019/3,FY2020/3,FY2021/3,FY2022/3,FY2023/3,FY2024/3,FY2025/3,FY2026/3
売上高,263167,269981,249520,270654,307401,286849,280100,269149,264975,265888,681547,865587,739365,588394,577212,552223,521346,606095,626713,629172,580795,603852,612789,556178,499224,600568,763521,832537,840401,879462
営業利益,,,,8362,26235,5008,4302,10025,12025,8429,23822,46462,1908,-17183,14352,4386,-17258,734,22338,-15780,32783,34398,29787,-2783,-8329,23626,-10342,35950,11242,23303
経常損益[JGAAP],3981,4409,-2516,2659,23905,1074,-1572,7757,13270,10425,8001,30437,-12259,-28552,7730,,,,,,,,,,,,,,,
税引前損益,,,,34746,35562,-174,1468,9562,11424,,38057,62258,-13515,-42414,3360,-4822,-29068,-16401,4807,-37439,14751,22177,22730,-13549,-17171,11859,-21933,17597,-8525,378
親会社帰属当期損益,509,1238,-2975,14007,31522,-2278,-3152,3207,7588,7764,12095,50416,-28392,-41313,1661,-2815,-32808,-17630,1668,-49838,5605,6130,13287,-18925,-16930,4134,-33761,10633,-13831,4421
総資産,396169,425406,401437,452283,546329,528227,452463,442163,426909,595963,1408983,1319290,1025221,933721,868588,848752,885436,925175,920106,812120,790192,791882,761869,765197,824963,939281,951387,1007585,1032931,1117494
負債合計,,,,286589,303936,294641,251899,235702,218867,354363,1058358,947291,767998,693790,641714,678217,729983,750677,734098,700109,656484,649025,629363,677003,745201,769926,826519,853747,890520,931975
親会社帰属持分,144281,144106,135928,153455,233236,223202,190913,200562,205300,238284,350625,371998,257223,239931,226874,161313,145031,164986,175746,103109,124146,134334,123760,73612,62937,145291,97040,124275,108065,151225
営業CF,,,,16627,26626,14136,17730,17603,16799,15455,75379,49394,-32597,-2768,31203,-9914,14213,17880,24593,21789,30429,37163,29030,30444,21053,45061,48506,58769,52419,33624
投資CF,,,,36555,-14397,-36607,11698,9641,-255,-12149,-297644,29471,2589,-5887,-27842,-26327,-7041,-17106,-23192,-26401,-10152,-20359,-28143,-56888,-25589,-22787,-34649,-43512,-42444,-32562
財務CF,,,,-22654,-28757,2225,-16527,-16623,-7806,111225,190068,-83616,15840,-11130,-10357,15862,27945,-20744,7295,-5908,16398,-33889,-11358,18205,13537,-20823,-7889,-48079,8513,-14661
現金期末残高,,,28855,62295,49450,33799,45781,55356,63512,179158,159762,103293,75598,55995,46491,24797,65173,52293,62340,46162,79808,62799,50292,40512,53500,60015,68518,44278,62978,55101
自己資本比率（5年表）,36.4,33.9,33.9,33.9,42.7,42.3,42.2,45.4,48.1,40,23.9,27.2,24.1,24.7,24.3,19,16.4,17.8,19.1,12.7,15.7,17,16.2,9.6,7.6,15.5,10.2,12.3,10.5,13.5
自己資本利益率（5年表）,0.4,0.9,,9.1,13.5,,,1.6,3.7,3.5,4.2,14.5,,,6.1,-1.5,-21.4,-11.4,0.9,-35.7,4.9,4.7,10.3,-19.2,-24.8,4,-27.9,9.6,-11.9,3.4
希薄化後1株当たり当期損益（5年表）,,,,,,,,,,,,,,,15.17,-3.12,-38.04,-19.53,1.84,-55.18,61.49,38.65,85.14,-235.96,-208.32,23.92,-393.06,74.85,-173.2,30.64
包括利益（5年表）,,,,,,,,,,,,,,,-10474,-49571,-14957,19685,-8306,-72704,-18100,10119,-882,-38077,-13411,77367,-58297,7620,-26206,35604
従業員数（5年表）,,,,10993,12640,11985,13406,11392,12006,12736,35811,32587,31436,28338,29340,29702,27932,27079,27371,27463,26950,26957,26741,26803,25955,25232,24880,25356,25406,24838
