# 单位:千美元(标注除外);来源:10-Q FY2026Q1/Q2(未经审计);2026Q1利润表列=H1−Q2派生;2026-06-30 USDC流通量73,269百万美元较2025年末75,266百万美元回落
科目,2025H1,2025Q2,2026Q1,2026Q2,2026H1
储备收入 Reserve income,1192185,634274,652508,667733,1320241
其他收入 Other revenue,44466,23804,41625,33582,75207
营业总收入 Total revenue and reserve income,1236651,658078,694133,701315,1395448
分销交易及其他成本合计,-754589,-406942,-406781,-412470,-819251
营业费用合计,-714704,-576718,-242350,-254486,-496836
持续经营营业利润,-232642,-325582,45002,34359,79361
归母净利润 Net income (loss) attributable to common stockholders,-417309,-482100,55253,48221,103474
经营活动现金流量净额 (H1口径),303716,,,,538505
USDC流通量-期末(百万美元),61333,61333,,73269,73269
USDC流通量-期均(百万美元),57574,61039,,76524,75865
储备收益率,0.042,0.041,,0.035,0.035
平台上USDC-期末(百万美元),6040,6040,,12442,12442
平台上USDC日加权占比,0.066,0.074,,0.195,0.183
RLDC(百万美元·公司披露) Revenue less distribution costs,482,251,,289,576
Adjusted EBITDA(百万美元·公司口径非GAAP),248,126,,143,295
稳定币持有人存款-期末(千美元) Deposits from stablecoin holders,,,,72927544,72927544
总资产-期末(千美元) Total assets,,,,77165460,77165460
负债合计-期末(千美元) Total liabilities,,,,73655485,73655485
股东权益合计-期末(千美元) Total stockholders' equity,,,,3509975,3509975
商誉-期末(千美元) Goodwill,,,,265742,265742
"无形资产净额-期末(千美元) Intangible assets, net",,,,446577,446577
(商誉+无形)/股东权益,,,,0.2029,0.2029
A类普通股-期末(千股·2026-07-30封面数),,,,234685.19,234685.19
B类普通股-期末(千股·2026-07-30封面数),,,,19190.691,19190.691
平台上USDC对应储备收入(千美元·派生近似=日加权占比×储备收入),78684,46936,,130208,241604
