# 来源:SEC Schedule 13G / 13G/A 全量(13 份·2025-08 首批至 2026-08-11);⚠️ 13G 只在持股≥5%时强制申报、降到5%以下后不再更新 → **空格=该期无申报(位置不可观测),不等于零**;百分比取申报书自报值(各申报人所用A类在外股数分母不完全一致,故不跨行相加);General Catalyst 2025-12-31 的 0 是申报书逐个报告人明示的 0 股(全数退出),非无申报
科目,2025-06-30,2025-09-30,2025-12-31,2026-06-30
Chuang Xi Capital(IDG系·含Wide Palace)持股(股),20947536,,18581540,17355322
Chuang Xi Capital 占A类%(申报自报),10.1,,8.6,7.4
General Catalyst 系 持股(股),20120769,,0,
General Catalyst 占A类%(申报自报),9.7,,0,
Breyer Capital / James Breyer 持股(股),13360862,,6899217,
Breyer Capital 占A类%(申报自报),6.4,,3.2,
FMR LLC(Fidelity)持股(股),,,579578,
FMR LLC 占A类%(申报自报),6.8,,0.3,
Accel XI L.P. 占A类%(申报自报·未取股数),4.4,4.1,,
Oak Management Corp 占A类%(申报自报·未取股数),5.7,,,
A类在外股数(股·仅2026-06-30期申报明示分母=10-Q封面2026-07-30数),,,,234685190
