# 来源:SEC Form 4 全量申报(CIK 0001876042·自2025-06-09首份至2026-09-10·206份·516笔非衍生交易);按交易日(非申报日)归季;金额=股数×成交价加总(多价区间取申报加权均价);⚠️口径:Form 4 仅覆盖 Section 16 报告人(董事/高管/10%股东),不等于全部老股东减持;2025Q2 含 IPO 发行中的老股东售股(均价29.30美元≈发行价扣承销折扣后净额·非二级市场价);F码=RSU归属时代扣税款缴回发行人(非市场卖出)·M码=期权行权·C码=衍生/B类转A类取得A类股
科目,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3至0910申报,合计
公开市场卖出股数(股·S码),9226727,832049,717650,608093,1937886,531418,13853823
公开市场卖出金额(美元·S码),270331464,105543582,58161479,59014496,158703611,40470278,692224910
加权均价(美元/股),29.3,126.85,81.04,97.05,81.9,76.16,49.97
税款代扣缴回股数(股·F码·非市场卖出),753879,65134,74714,150971,80008,80011,1204717
期权/RSU行权取得股数(股·M码),160000,41578,173964,380206,768061,145495,1669304
授予股数(股·A码),0,57316,0,734398,16144,15559,823417
C码取得A类股(股·含B类转A类),2582160,618186,358127,70000,1470193,150000,5248666
卖出行标注10b5-1计划的比例,0,0,0.22,0.8,0.99,0.99,
首位卖出人,General Catalyst Group VI,Allaire Jeremy,Date Rajeev V,Tarbert Heath,Neville Patrick Sean,Allaire Jeremy,—
首位卖出人股数(股),3550724,357812,481615,191454,1189396,186792,
