# 单位:百万美元(比例行=小数);来源:10-K FY2025 Item 7A「Interest rate risk」**两张表并存**(以2025-12平均收益率3.64%为基准=当期表;以2024-12平均收益率4.33%为基准=上年比较表·勿混用);⚠️公司建模假设:流通量恒定在2025-12-31水平、利率变动于2026-01-01发生并全年保持、对全部储备资产影响一致、储备配置不变 → **这是一张「只动利率不动量」的表,不含量价联动**;公司只披露储备收入与分销成本两行,RLDC 与增量自留率为本库派生;注意公司表中第二列是「分销与交易成本变动」**不是净利影响**
科目,+200bp,+100bp,-100bp,-200bp
【2025-12基准·当期】储备收入变动(百万美元),1512,756,-756,-1512
【2025-12基准】分销与交易成本变动(百万美元),737,369,-369,-737
【2025-12基准】RLDC变动(百万美元·派生=上两行相减),775,387,-387,-775
【2025-12基准】增量中公司自留比例(派生=RLDC变动÷储备收入变动),0.5126,0.5119,0.5119,0.5126
【2024-12基准·上年比较】储备收入变动(百万美元),882,441,-441,-882
【2024-12基准】分销与交易成本变动(百万美元),468,234,-234,-468
【2024-12基准】RLDC变动(百万美元·派生),414,207,-207,-414
【2024-12基准】增量中公司自留比例(派生),0.4694,0.4694,0.4694,0.4694
【2025-12基准】储备收入打平所需流通量变动(派生·正=可跌/负=须涨),0.3546,0.2155,-0.3788,-1.2195

基准参数(公司原文),值
2025-12 平均收益率(公司原文基准),0.0364
2025-12-31 储备资产合计(百万美元·=银行现金+CRF),75333
2024-12 平均收益率(公司原文基准),0.0433
2024-12-31 储备资产合计(百万美元·=银行现金+CRF),43921
