# 季度序列;来源:业绩稿 8-K Ex-99.1 印刷(Q2'25/FY25/Q2'26 三稿拼接·SEC Archives)+10-Q;摘要行=百万美元(业绩稿四舍五入·季加总与年报差≤1属舍入),净利/SBC/D&A/EBITDA=千美元(对账表精确值);2024Q4 RLDC率跌到30%=Binance一次性预付60.3百万美元所致;Adjusted EBITDA为公司口径非GAAP
科目,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
储备收入(百万美元),423,445,433,558,634,711,733,653,668
其他收入(百万美元),7,1,2,21,24,29,37,42,34
营业总收入(百万美元),430,446,435,579,658,740,770,694,701
分销交易及其他成本合计(百万美元),248,258,305,348,407,448,461,407,412
RLDC 收入减分销成本(百万美元),182,188,131,231,251,292,309,287,289
RLDC率,0.42,0.42,0.3,0.4,0.38,0.39,0.4,0.41,0.41
净储备利差率 Net reserve margin,0.42,0.42,0.3,0.38,0.36,0.37,0.37,0.38,0.39
持续经营净利/归母(千美元·2025Q4起扣NCI后归母),32923,70996,4433,64791,-482100,214385,133416,55253,48221
SBC股权激励费用(千美元),16749,12763,11142,12716,434966,59081,59414,51836,53599
折旧摊销(千美元),12632,13122,13507,13880,14209,23002,25536,26767,29896
Adjusted EBITDA-旧定义(千美元·公司口径),82603,93285,32725,122439,125833,166461,167482,140813,135841
Adjusted EBITDA-新定义(千美元·2026Q1起启用·含SBC相关payroll税加回),,,,,132997,171476,175910,151401,143478
USDC流通量-期末(百万美元·已披露季度),,,43857,59976,61333,,75266,,73269
