# 金额单位:千美元;来源:10-K FY2025 Note3「Acquisitions and divestitures」+ 10-Q Q2'26 Note3/5 + 8-K 2026-09-08(accession 0001876042-26-000267·Tazapay 股份购买协议);⏳=申报未披露;Tazapay 为未交割交易(公司预计2027年交割·须含新加坡MAS在内的监管批准),对价股数按交割前20个交易日VWAP确定→股价越低发股越多;商誉/无形分配待交割后PPA
科目,Centre-2023-08,Hashnote-2025-01,Malachite-2025-08,CircleSBIJapan-2025-11,InteropRapidx-2026-01,Tazapay-2026-09未交割
签约/公告日期,2023-08,2025-01,2025-08,2025-11,2026-01,2026-09-04签约/09-08公告
交割状态,已交割,已交割,已交割,已设立,已交割,未交割(公司预计2027年·须MAS等审批)
标的与取得内容,Centre Consortium LLC 剩余50%股权(卖方=某数字资产交易所·即Coinbase),Hashnote Holdings LLC 100%股权(USYC/SDYF 代币化货基的基金管理人),Malachite 共识软件组件(卖方=Informal Systems Inc.),Circle SBI Japan K.K. 合资公司(与SBI各出资约1.5百万美元),跨链互操作技术资产(卖方=Interop Labs Inc. + Rapidx Labs Inc.),Tazapay Pte. Ltd. 100%股权(新加坡B2B跨境支付基础设施)
总对价(千美元),209900,100065,15000,1500,10000,400000
——其中现金(千美元),0,10200,3000,1500,⏳,0
——其中股份对价(千美元),209900,89865,12000,0,⏳,400000
股份对价占比,1,0.898,0.8,0,⏳,1
对价股数(千股),8400,2900,按每期前20交易日均价折股·分3期2年付清,0,⏳,"=400,000千美元÷交割前20交易日VWAP(交割时才定)"
会计处理,资产收购(单一互补无形资产组),业务合并 ASC805,资产收购,合资并表(含少数股东权益),资产收购,未交割·尚未适用
计入商誉(千美元),0,96198,0,0,0,⏳
计入无形资产(千美元),209900,4480,15000,0,10000,⏳
无形资产寿命,无限期(不摊销·仅年度减值测试),2年(开发技术1.7M+客户关系2.8M),2年(投入使用起),—,2年,⏳
额外员工股份激励(千美元),⏳,最多约1.8百万股A类(按服务期费用化),0,0,⏳,25000
对价保护/支付节奏条款,—,—,股份分3期(每期按前20交易日均价折股)·2025年末已付2.4百万美元,—,—,赔偿代管5%(6/12/18个月三期释放)+额外代管3%(12/24/36/48个月四期释放)·无分手费·外部截止日9个月(监管未清可延至15个月)
同期递延税影响(千美元),递延税资产8700/递延税负债57300,递延税负债401,—,—,—,⏳

Tazapay标的经营指标(来源:Circle 2026-09-08新闻稿·公司口径·未经审计·无标的财报),值
年化支付额(百万美元·截至2026-07-31),25000
银行与金融科技合作方(家),60
本地付款覆盖市场(个),100
交易额中已含稳定币的比例,0.6
