# 派生比率(比率=小数;金额行=千美元);通用底 scripts/derived.py + circle 定制层;无毛利概念→RLDC(收入减分销成本)为本行业类毛利线;US GAAP无扣非披露→扣非行n/a;2020-22权益为负/净利为负年份的ROE与现金含量比率无意义,以RLDC/EBITDA与OCF绝对值观察;上市以来分红=0
科目,2020,2021,2022,2023,2024,2025
净利率 Net margin,0.2455,-5.9876,-0.9958,0.1845,0.0929,-0.0253
ROE(期末) Return on year-end equity,-0.0132,0.6614,3.0498,0.7882,0.2728,-0.0209
ROE(年均) Return on avg equity,,0.9635,1.5068,6.1248,0.3421,-0.0356
经营现金流/净利 OCF/Net profit,-3.9375,0.1817,0.0945,0.5216,2.2135,-7.7984
应收/营收 AR/Revenue,0.103,0.2675,,0.0013,0.0038,0.0229
资产负债率 Liabilities/Total assets,1.0685,1.0175,,0.9869,0.9876,0.9577
归母/净利 Parent/Net profit,1,1,1,1,1,0.9999
应收账款周转天数 AR turnover days,37.585,52.2341,,0.4882,0.91,4.6036
现金及金融资产/总资产 Cash&financial/TA,0.0065,0.0042,,0.0143,0.0165,0.0194
固定资产PPE/总资产 PPE/TA,0.0001,0,,0.0001,0.0004,0.0003
(应收+预付)/总资产 Receivables&prepay/TA,0.0004,0.0005,,0.0001,0.0001,0.0008
—— circle 定制层 ——,,,,,,
RLDC 收入减分销成本(千美元) Revenue less distribution costs,11830,42256,462698,722742,658889,1082991
RLDC率 RLDC margin,0.7661,0.4978,0.5993,0.4983,0.3931,0.3943
分销与交易成本/储备收入 Distribution cost / reserve income,0.6372,0.4177,0.3899,0.5031,0.6085,0.6301
储备收入/总营收 Reserve income concentration,0.2872,0.3354,0.9532,0.9863,0.991,0.96
储备收益率(公司披露) Reserve return rate,,,0.015,0.047,0.05,0.041
SBC股权激励费用(千美元·费用化) Stock-based compensation expensed,3583,20824,69266,107999,50134,566177
SBC资本化(千美元) SBC capitalized to software,,,6262,13118,13646,86905
SBC费用化/总营收 SBC / revenue,0.232,0.2453,0.0897,0.0745,0.0299,0.2061
Capex(千美元·软件资本化+长期资产) Capex,3177,7872,21365,33516,57226,68632
Capex/经营现金流 Capex / OCF,,,,0.2401,0.1661,0.1266
公司净现金(千美元·现金+自持稳定币现金−可转债−借款·不含储备) Corporate net cash,-30751,-766597,,585945,1004757,2312188
储备资产/总资产 Segregated reserve assets / total assets,0.9627,0.9675,,0.9365,0.9582,0.9537
Adjusted EBITDA(千美元·公司口径非GAAP·2022-23为S-1百万位约值),,,96000,395000,284871,582215
IPO+增发净募资(千美元·2025) IPO + follow-on net proceeds,,,,,,1013097
累计分红+回购(千美元·上市以来) Dividends + buybacks since IPO,,,,,,0
