"单位:千美元;Coinbase 为单一经营分部(CODM 按合并口径),故「分部」=按收入类型 + 按地区两套拆分"
各年 canonical 来源(as-reported):2019=424B4(2021-04-14) F-4/F-6/F-8 | 2020=424B4(2021-04-14) F-4/F-6/F-8 | 2021=10-K FY2021 P117/118/121 | 2022=10-K FY2022 P127/129/131 | 2023=10-K FY2023 P125/126/129 | 2024=10-K FY2024 P120/121/124 | 2025=10-K FY2025 P116/117/120
科目,2019,2020,2021,2022,2023,2024,2025
"交易收入-消费者(2019-2022 称 Retail) Consumer/Retail, net",432919,1040246,6490992,2236900,1429490,3430322,3322835
"交易收入-机构 Institutional, net",30086,55928,346274,119344,90164,345598,479667
"交易收入-其他 Other transaction revenue, net",,,,,,210193,252888
交易收入合计 Total transaction revenue,463005,1096174,6837266,2356244,1519654,3986113,4055390
订阅与服务-稳定币 Stablecoin revenue,,,,245710,694247,910464,1348821
订阅与服务-区块链奖励 Blockchain rewards,188,10413,223055,275507,330885,705757,677405
订阅与服务-利息(及融资费)收入 Interest (and finance fee) income,14414,5535,25835,81246,173914,265799,247047
订阅与服务-托管费 Custodial fee revenue,3009,18561,136293,79847,69501,,
订阅与服务-Earn 活动 Earn campaign revenue,117,7720,63125,,,,
订阅与服务-其他 Other subscription and services revenue,2216,2764,69179,110261,138339,425113,554775
订阅与服务合计 Total subscription and services revenue,19944,44993,517487,792571,1406886,2307133,2828048
净收入合计 Total net revenue,482949,1141167,7354753,3148815,2926540,6293246,6883438
其他收入-加密资产销售 Crypto asset sales revenue,39863,133688,482550,625,16,,
其他收入-公司利息及其他 Corporate interest and other income,10923,2626,2141,44768,181827,270782,297887
其他收入合计 Total other revenue,50786,136314,484691,45393,181843,270782,297887
总收入 Total revenue,533735,1277481,7839444,3194208,3108383,6564028,7181325
—— 按地区 ——,,,,,,,
美国 U.S.,,,6339270,2684425,2725620,5460820,6010607
美国以外 International / Rest of the World,,,1500174,509783,382763,1103208,1170718
总收入 Total revenue,,,7839444,3194208,3108383,6564028,7181325
