单位:千美元(USD thousands);损益行沿用利润表.csv 符号(费用/流出=负);「按性质/SBC/无形摊销」块为正数;空=该期无此科目
来源:10-Q 2026Q1(acc 0001679788-26-000054)· 10-Q 2026Q2(acc 0001679788-26-000088);落档 report/coinbase/_中期报告/
"⚠️ 2025 各列取自**2026 年 10-Q 的比较列**,已按 2026Q1 收入列示变更重分类(自有支付稳定币收入 净收入→其他收入:Q1 23,500 / Q2 23,600 / H1 47,100),与 2025 年当期 10-Q 原披露**不同**;亦已含断点 C(稳定币改记现金等价物)追溯影响"
"⚠️ 本表只有 2026H1 及其同期;2025Q3 10-Q 已落档但未转录(⏳),故**不构成完整季度序列**,不可用于判断「Q4 收入是否异常集中」"
⚠️ Adjusted EBITDA 为公司自定义非 GAAP 且定义被改过(见 重述与口径变更.csv 断点 E);2026Q2 起公司已停披露 Trading Volume 关键指标
读法:净亏损的主因看「投资性加密资产损失占净亏 %」(公允价值重估·不耗现金);费用刚性看「核心经营费用(剔数据泄露事件)」同比 —— 不剔该事件会把 2026 费用误读成同比下降
科目,2025Q1,2025Q2,2025H1,2026Q1,2026Q2,2026H1
净收入 Net revenue,1936821,1396513,3333334,1339348,1154301,2493649
其中:交易收入 Transaction revenue,1262208,764270,2026478,755825,599156,1354981
其中:订阅与服务收入 Subscription and services,674613,632243,1306856,583523,555145,1138668
其中:稳定币收入 Stablecoin revenue,274037,308914,582951,305435,292147,597582
其他收入 Other revenue,97474,100695,198169,73634,65767,139401
总收入 Total revenue,2034295,1497208,3531503,1412982,1220068,2633050
交易费用 Transaction expense,-303026,-245261,-548287,-195859,-189790,-385649
技术与开发 Technology and development,-355368,-387322,-742690,-525648,-472848,-998496
销售与营销 Sales and marketing,-247283,-236245,-483528,-266726,-239843,-506569
一般及行政 General and administrative,-394346,-353707,-748053,-376094,-356924,-733018
经营性加密资产损益净额 (Losses) gains on crypto held for operations,-34365,8702,-25663,-35151,-31719,-66870
重组 Restructuring,,,,,-52408,-52408
"其他经营(费用)收入净额 Other operating (expense) income, net",5899,-308025,-302126,-34925,9976,-24949
总经营费用 Total operating expenses,-1328489,-1521858,-2850347,-1434403,-1333556,-2767959
经营利润 Operating income (loss),705806,-24650,681156,-21421,-113488,-134909
