单位:千美元(USD thousands);费用/流出=负数;空=该年申报 presentation 无此科目
各年 canonical 来源(as-reported):2019=424B4(2021-04-14) F-4/F-6/F-8 | 2020=424B4(2021-04-14) F-4/F-6/F-8 | 2021=10-K FY2021 P117/118/121 | 2022=10-K FY2022 P127/129/131 | 2023=10-K FY2023 P125/126/129 | 2024=10-K FY2024 P120/121/124 | 2025=10-K FY2025 P116/117/120
"注:收入/总费用/经营利润/净利 七年从未被重述(XBRL 已证),跨年可比;经营费用与线下明细的拆分粒度逐年变化(as-reported)"
科目,2019,2020,2021,2022,2023,2024,2025
净收入 Net revenue,482949,1141167,7354753,3148815,2926540,6293246,6883438
其他收入 Other revenue,50786,136314,484691,45393,181843,270782,297887
总收入 Total revenue,533735,1277481,7839444,3194208,3108383,6564028,7181325
交易费用 Transaction expense,-82055,-135514,-1267924,-629880,-420705,-897707,-1020230
技术与开发 Technology and development,-185044,-271732,-1291561,-2326354,-1324541,-1468252,-1670605
销售与营销 Sales and marketing,-24150,-56782,-663689,-510089,-332312,-654444,-1058577
一般及行政 General and administrative,-231929,-279880,-909392,-1600586,-1041308,-1300257,-1619642
"加密资产减值净额 Crypto asset impairment, net(仅 FY2023 as-reported 单列)",,,,,34675,,
经营性加密资产损益净额 (Losses) gains on crypto held for operations(ASU2023-08 后),,,,,,71725,-20704
重组 Restructuring,-10140,,,-40703,-142594,,
"其他经营费用净额 Other operating expense, net",-46200,-124622,-630308,-796804,-43260,-7933,-356126
总经营费用 Total operating expenses,-579518,-868530,-4762874,-5904416,-3270045,-4256868,-5745884
经营利润 Operating income (loss),-45783,408951,3076570,-2710208,-161662,2307160,1435441
利息费用 Interest expense,,,,-88901,-82766,-80645,-85413
投资性加密资产损益净额 (Losses) gains on crypto held for investment(ASU2023-08 后),,,,,,687055,-528857
"其他收入(费用)净额 Other income (expense), net",367,248,-49623,-265473,167583,29074,700894
税前利润 Income (loss) before income taxes,-45416,409199,3026947,-3064582,-76845,2942644,1522065
所得税(费用)收益 (Provision for) benefit from income taxes,15029,-86882,597173,439633,171716,-363578,-261738
净利润 Net income (loss),-30387,322317,3624120,-2624949,94871,2579066,1260327
归属普通股股东净利-基本 Net income attributable to common - Basic,-30387,108256,3096958,-2624949,94752,2577755,1260327
归属普通股股东净利-稀释 Net income attributable to common - Diluted,-30387,127471,3190404,-2631179,94751,2591248,1277314
每股收益-基本(美元) EPS Basic,-0.5,1.58,17.47,-11.81,0.4,10.42,4.85
每股收益-稀释(美元) EPS Diluted,-0.5,1.4,14.5,-11.83,0.37,9.48,4.45
加权平均股数-基本(千股) WA shares Basic,61317,68671,177319,222314,235796,247374,260088
加权平均股数-稀释(千股) WA shares Diluted,61317,91209,219965,222338,254391,273377,287209
"外币折算调整(税后) Translation adjustment, net of tax",-43,6977,-9651,-35211,8336,-19781,55024
综合收益 Comprehensive income (loss),-30430,329294,3614469,-2660160,103207,2559285,1315351
