公司关键业务指标(年报 MD&A「Key Business Metrics」+ Item 1);单位见行名
各年 canonical 来源(as-reported):2019=424B4(2021-04-14) F-4/F-6/F-8 | 2020=424B4(2021-04-14) F-4/F-6/F-8 | 2021=10-K FY2021 P117/118/121 | 2022=10-K FY2022 P127/129/131 | 2023=10-K FY2023 P125/126/129 | 2024=10-K FY2024 P120/121/124 | 2025=10-K FY2025 P116/117/120
"⚠️ MTU / Adjusted EBITDA / Trading Volume 三项定义均被改过,跨年报直接相减会错 —— 详见 重述与口径变更.csv 断点 E"
科目,2019,2020,2021,2022,2023,2024,2025
MTU 月度交易用户(百万·各年报 as-reported·⚠️口径见重述表 E),1.0,2.8,11.4,8.3,7.0,8.4,9.2
MTU 月度交易用户(百万·全年各季均值口径·可比),1.1,1.9,8.4,,7.4,8.4,9.2
Assets on Platform 平台资产(十亿美元·年末),17,90,278,80,191,404,376
Trading Volume 交易量(十亿美元·⚠️2025Q4 重定义),80,193,1671,830,468,1162,1221
Adjusted EBITDA(非GAAP·百万美元·⚠️2024 改定义),24,527,4090,-371,964,3348,2808
员工数(年末) Employees,,1249,3730,4510,3416,3772,4951
单一交易对手收入占比 %(最大客户·年报披露),,,,,22,14,19
自持投资用加密资产(千美元·2024 起公允价值),33932,316094,988193,424393,449925,1552995,1998871
比特币占交易量 % Bitcoin share of Trading Volume,,,,,,33,29
以太坊占交易量 % Ethereum share of Trading Volume,,,,,,13,16
USDT 占交易量 % USDT share of Trading Volume,,,,,,12,6
其他币种占交易量 % Other crypto assets share,,,,,,42,49
