"派生指标(从三表算·年报不直接给);比率单位 %,倍数无单位,金额千美元"
"【可比】开头的行 = 绕开三大口径断点后的可比序列,跨年比较请用这些行"
现金含量(可比)= 各年最新重述基准的经营现金流 ÷ 净利(净利为负的年份留空)
科目,2019,2020,2021,2022,2023,2024,2025
【可比】总资产(剔除SAB121保管客户加密资产),2391769,5855414,21274425,14311685,14399893,22541951,29671832
【可比】总负债(剔除SAB121保管客户加密负债),1329986,4329363,14892736,8857128,8118244,12265109,14878774
【可比】经营现金流净额(各年最新重述基准·2019 为本库自算),49528,293548,4038172,-1585419,673376,3103935,2426383
营业利润率 Operating margin %,-8.6,32.0,39.2,-84.8,-5.2,35.1,20.0
净利率 Net margin %,-5.7,25.2,46.2,-82.2,3.1,39.3,17.6
ROE %(净利/期末权益),-6.1,33.4,56.8,-48.1,1.5,25.1,8.5
ROE %(净利/期初期末平均权益),,44.1,98.7,-44.4,1.6,31.2,10.1
现金含量(可比经营现金流/净利),,0.91,1.11,,7.1,1.2,1.93
现金含量(原披露经营现金流/净利),,9.32,2.96,,9.73,0.99,1.93
股权薪酬/总收入 SBC/Revenue %,5.8,5.5,10.5,49.0,25.1,13.9,11.7
股权薪酬/经营现金流(可比) SBC/OCF %,62.9,24.0,20.3,,115.9,29.4,34.6
现金资本开支(购建固定资产+资本化软件·现金流量表单列年份),40471,18802,24983,63971,63202,,
现金资本开支/净利 %,,5.8,0.7,,66.6,,
资本化内部开发软件新增额(附注·含资本化SBC·2023-2025),,,,,112000,110500,138300
附注软件新增额/净利 %(2023-2025),,,,,118.1,4.3,11.0
交易收入占净收入 % Transaction rev / Net rev,95.9,96.1,93.0,74.8,51.9,63.3,58.9
订阅与服务收入占净收入 % Subscription&services / Net rev,4.1,3.9,7.0,25.2,48.1,36.7,41.1
稳定币收入占净收入 % Stablecoin / Net rev,,,,7.8,23.7,14.5,19.6
美国收入占比 % U.S. revenue share,,,80.9,84.0,87.7,83.2,83.7
长期债务(含一年内到期),0,0,3384795,3393448,2979957,4234081,7206619
"公司自有现金(现金+受限+USDC,不含客户托管)",671496,1141575,7254525,5312043,5738371,9824230,11619770
自有现金/长期债务 倍数,,,2.14,1.57,1.93,2.32,1.61
资产负债率 %(可比口径),55.6,73.9,70.0,61.9,56.4,54.4,50.1
商誉/权益 % Goodwill / Equity,11.0,8.0,9.8,19.7,18.1,11.1,28.2
商誉+无形/权益 % (Goodwill+Intangibles) / Equity,25.1,14.3,12.6,22.2,19.5,11.5,37.6
留存收益/权益 % Retained earnings / Equity,81.3,75.4,68.2,31.6,29.0,48.3,42.1
回购普通股(现金流出),,,,,,,790195
