"单位:千美元(USD thousands);**本表费用一律正数**(成本拆解表,与利润表「费用=负」相反);空=该年申报无此披露"
来源:费用按性质=10-K FY2025 Note 17(ASU 2024-03·含 2023/2024 比较列) | 交易费用分项=10-K FY2025/FY2024 MD&A(新列示)与 10-K FY2023 MD&A(旧列示) | SBC按费用行=10-K FY2025/FY2023/FY2021 的 SBC 附注
"⚠️ 断点 G(见 重述与口径变更.csv):2023 一般及行政本表用**最新列示 1,074,308**,利润表.csv 为 as-reported 1,041,308,差 33,000 系 FY2024 10-K 从「其他经营费用净额」静默重分类进 G&A(公司未给说明)"
"⚠️ 费用按性质仅 2023 起可得:ASU 2024-03 披露首见 10-K FY2025;已实证 10-K FY2023 全文无 Employee-related/Website hosting/USDC rewards 任一行 → 2019-2022 实证不可得,不构造"
"⚠️ 股权薪酬两口径勿混:本表=附注口径(按费用行·含重组内 SBC);财务比率.csv 的 SBC/收入=现金流量表加回口径(不含重组内 SBC);2023 差 84,042 即重组内 SBC"
"⚠️ 交易费用「旧列示」块(2021-2023)与「新列示」块不可接续:2023 同年两版总额相同(420,705)但分项口径不同(矿工费 49,789 与其他 15,748 在新版重组为 区块链交易费/返佣/其他)"
科目,2019,2020,2021,2022,2023,2024,2025
—— 技术与开发·按性质(ASU 2024-03·2023 起可得) ——,,,,,,,
员工相关 Employee-related,,,,,936881,1036656,1052597
网站托管与基础设施 Website hosting and infrastructure,,,,,192009,228392,322125
"摊销折旧与减值 Amortization, depreciation, and impairment",,,,,131611,122595,157067
其他(合同资源/咨询/办公场地) Other,,,,,64040,80609,138816
技术与开发合计 Total technology and development,,,,,1324541,1468252,1670605
—— 销售与营销·按性质 ——,,,,,,,
USDC 奖励 USDC rewards,,,,,34944,224255,441347
营销项目 Marketing programs,,,,,134018,247087,402555
员工相关 Employee-related,,,,,143762,151036,136229
其他(合同资源/差旅/软件/摊销) Other,,,,,19588,32066,78446
销售与营销合计 Total sales and marketing,,,,,332312,654444,1058577
—— 一般及行政·按性质(⚠️2023 为最新列示·断点 G) ——,,,,,,,
员工相关 Employee-related,,,,,571083,606554,664761
专业服务 Professional services,,,,,182908,202956,292599
客户支持(不含员工与专业服务) Customer support,,,,,48804,124940,224193
其他(税费牌照/合同资源/公共政策/法律和解/差旅) Other,,,,,271513,365807,438089
一般及行政合计 Total general and administrative,,,,,1074308,1300257,1619642
—— 交易费用·按性质(FY2025/FY2024 五分类列示) ——,,,,,,,
区块链奖励费 Blockchain rewards fees,,,,,229851,455946,427506
交易返佣与佣金 Transaction rebates and commissions,,,,,6876,122372,221471
支付处理与账户验证 Payment processing and account verification,,,,,76795,150897,194587
交易冲正损失 Transaction reversal losses,,,,,51501,79639,132671
其他(含区块链交易费/矿工费) Other,,,,,55682,88853,43995
交易费用合计 Total transaction expense,,,,,420705,897707,1020230
—— 交易费用·FY2023 旧列示(与上表不可接续·矿工费当年单列) ——,,,,,,,
[旧列示]区块链奖励费,,,146769,202480,229851,,
[旧列示]支付处理与账户验证,,,341013,194044,73816,,
[旧列示]交易冲正损失,,,233832,93886,51501,,
[旧列示]矿工费 Miner fees,,,542889,131714,49789,,
[旧列示]其他,,,3421,7756,15748,,
[旧列示]交易费用合计,,,1267924,629880,420705,,
—— 股权薪酬 SBC·按费用行(附注口径·含重组内 SBC) ——,,,,,,,
技术与开发内 SBC in Technology and development,25220,36869,571861,1093983,476478,564726,498235
销售与营销内 SBC in Sales and marketing,970,1566,32944,76153,59000,69460,57692
一般及行政内 SBC in General and administrative,24699,34190,215880,395687,245190,278652,283513
重组内 SBC in Restructuring,994,,,,84042,,
股权薪酬合计(附注口径) Total SBC expense,51883,72625,820685,1565823,864710,912838,839440
其中:资本化进软件与设备的 SBC(不进费用·2021/22 附注仅到十万位),,,3500,118000,53617,48068,50380
—— 派生:人的成本有多大 ——,,,,,,,
员工相关成本合计(技开+销营+行政三行内) Employee-related total,,,,,1651726,1794246,1853587
其中:股权薪酬(三费用行内·不含重组) SBC in the three lines,50889,72625,820685,1565823,780668,912838,839440
其中:现金员工成本(员工相关−股权薪酬),,,,,871058,881408,1014147
重组费用(离职补偿等·亦为人的成本) Restructuring,10140,,,40703,142594,,
员工相关/总经营费用 %,,,,,50.5,42.1,32.3
员工相关/总收入 %,,,,,53.1,27.3,25.8
股权薪酬占员工相关成本 % SBC / Employee-related,,,,,47.3,50.9,45.3
员工数(年末·经营指标.csv) Employees,,1249,3730,4510,3416,3772,4951
人均员工成本(千美元/人·名义·分母=年末人数·公司不披露平均人数),,,,,483.5,475.7,374.4
—— 派生:稳定币这条腿的返利成本率与净贡献 ——,,,,,,,
稳定币收入(分部营收.csv) Stablecoin revenue,,,,245710,694247,910464,1348821
USDC 奖励/稳定币收入 %(给客户返利吃掉稳定币收入的比例),,,,,5.0,24.6,32.7
稳定币腿毛贡献(稳定币收入 − USDC奖励·未分摊其他成本),,,,,659303,686209,907474
稳定币腿毛贡献/经营利润 %(经营利润为负的年份留空),,,,,,29.7,63.2
