Coinbase 重述与口径变更登记册 —— 单位千美元(除注明);A/B/C 三处报表重述由 XBRL companyfacts 跨 fy 机器侦测(17 处)+ 印刷报表核对
"⚠️ 本表存在的意义:三表 CSV 取「各年 as-reported」,跨年直接相减会踩这些断点"
"⚠️ 断点 G 是**分项层**重分类(合计不变),XBRL 按合计科目比对抓不到 —— 只能靠印刷报表逐行对照发现;费用构成.csv 用最新列示,利润表.csv 保持 as-reported"
断点,受影响年份,科目/指标,原披露值(来源),重述/变更后(来源),差额,原因
A SAB121→122,2023,总资产 Total assets,"206,982,953 (10-K FY2023)","14,753,901 (10-K FY2024)","-192,229,052","SEC 2025-01-30 发 SAB 122 废止 SAB 121,追溯剔除表内「保管客户加密资产/负债」总额"
A SAB121→122,2023,总负债 Total liabilities,"200,701,304 (10-K FY2023)","8,472,252 (10-K FY2024)","-192,229,052",同上
A SAB121→122,2022,总资产/总负债(表内保管客户加密),"89,724,873 / 84,270,316 含 75,413,188",FY2024 起不再于表内列示,"-75,413,188",SAB 121 仅 2022-2023 两年适用;2021 及以前未追溯纳入
B 客户托管资金 经营→融资,2020,经营活动现金流净额,"3,004,070 (10-K FY2021)","293,548 (10-K FY2022)","-2,710,522",客户托管资金负债变动由**经营**重分类至**融资**;现金含量口径反转
B 客户托管资金 经营→融资,2021,经营活动现金流净额,"10,730,031 (10-K FY2021)","4,038,172 (10-K FY2022)","-6,691,859",同上
B 客户托管资金 经营→融资,2020,融资活动现金流净额,"18,801 (10-K FY2021)","2,729,323 (10-K FY2022)","+2,710,522",同上(对侧)
B 客户托管资金 经营→融资,2021,融资活动现金流净额,"3,284,225 (10-K FY2021)","9,976,084 (10-K FY2022)","+6,691,859",同上(对侧)
C 稳定币改记现金等价物,2024,现金及现金等价物,"8,543,903 (10-K FY2024)","9,308,266 (10-K FY2025)","+764,363","FY2025 自愿变更会计政策:USDC/EURC/PYUSD 由 ASC 310 应收改列现金等价物,追溯适用"
C 稳定币改记现金等价物,2023,现金及现金等价物,"5,139,351 (10-K FY2023/FY2024)","5,489,100 (10-K FY2025)","+349,749",同上
C 稳定币改记现金等价物,2024,经营活动现金流净额,"2,556,844 (10-K FY2024)","3,103,935 (10-K FY2025)","+547,091",稳定币借贷改按加密借贷政策 → 营运资本变动移入投资活动「发放贷款」
C 稳定币改记现金等价物,2023,经营活动现金流净额,"922,951 (10-K FY2023/FY2024)","673,376 (10-K FY2025)","-249,575",同上
C 稳定币改记现金等价物,2024,投资活动现金流净额,"-282,385 (10-K FY2024)","-201,003 (10-K FY2025)","+81,382",同上(对侧)
