"# 单位: 百万美元(USD millions), 费用/流出=负数; 真源: report/google/2026-Q2.htm (10-Q · accession 0001652044-26-000071 · filed 2026-07-23); 中期数据·不并入年度序列(年度见 利润表/资产负债表/现金流量表.csv 覆盖2002-2025); 勾稽校验见 _build_interim_2026.py; 英文缩写全对照见 finance/_模板/美股财报缩写对照表.md —— OI&E=其他收入(支出)净额(主业之外全部损益·含股权公允价值变动) / EPS=每股收益 / FCF=自由现金流(经营现金流-资本开支) / capex=资本开支 / SBC=股权薪酬 / APIC=资本公积 / AOCI=累计其他综合收益 / ATM=随行就市增发计划(非自动柜员机) / capped call=上限看涨期权(对冲转股摊薄) / Level 1=活跃市场报价·Level 2=可观察输入值"

【利润表·中期】,Q2 2025,Q2 2026,H1 2025,H1 2026
收益 Revenues,96428,119796,186662,229692
营业成本 Cost of revenues,-39039,-45943,-75400,-87214
研发费用 Research and development,-13808,-18219,-27364,-35251
销售与市场 Sales and marketing,-7101,-8403,-13273,-16009
一般及行政 General and administrative,-5209,-6461,-8748,-10752
总成本及开支 Total costs and expenses,-65157,-79026,-124785,-149226
经营利润 Income from operations,31271,40770,61877,80466
其他收入(支出)净额 OI&E,2662,97983,13845,135699
除税前利润 Income before income taxes,33933,138753,75722,216165
所得税 Provision for income taxes,-5737,-26560,-12986,-41394
净利润 Net income,28196,112193,62736,174771
优先股股息 Preferred stock dividends,0,-86,0,-86
归属普通股净利 NI available to common,28196,112107,62736,174685
基本每股收益 Basic EPS (USD),2.33,9.23,5.16,14.41
稀释每股收益 Diluted EPS (USD),2.31,9.11,5.12,14.24

【OI&E 拆解·中期】,Q2 2025,Q2 2026,H1 2025,H1 2026
利息收入 Interest income,1050,1430,2051,2811
利息支出 Interest expense (净资本化后),-261,-1278,-295,-1811
外汇损益 FX gain(loss) net,-69,-160,-175,-14
债务证券损益 Gain(loss) on debt securities,165,-32,367,-143
股权证券损益 Gain(loss) on equity securities,1286,99031,11044,135946
权益法投资损益 Equity method net,419,-35,397,25
其他 Other,72,-973,456,-1115
=OI&E 合计,2662,97983,13845,135699

【资产负债表】,2025-12-31,2026-06-30
现金及现金等价物 Cash and equivalents,30708,55911
有价证券 Marketable securities,96135,186563
=现金+等价物+有价证券,126843,242474
应收账款净额 Accounts receivable net,62886,69175
存货 Inventory,2439,9991
其他流动资产 Other current assets,13870,21884
流动资产合计 Total current assets,206038,343524
非上市证券 Non-marketable securities,68687,131461
递延所得税资产 Deferred income taxes,9113,1448
固定资产净额 Property and equipment net,246597,321212
经营租赁资产 Operating lease assets,15221,17694
商誉 Goodwill,33380,57828
无形资产净额 Intangible assets net,1283,9105
其他非流动资产 Other non-current assets,14962,39711
资产总计 Total assets,595281,921983
应付账款 Accounts payable,12200,20258
应付薪酬 Accrued compensation and benefits,17546,15086
应付费用及其他流动负债 Accrued expenses and other,55557,73014
应付分成 Accrued revenue share,10864,10599
递延收入(流动) Deferred revenue,6578,7154
流动负债合计 Total current liabilities,102745,126111
长期债务 Long-term debt,46547,98165
非流动应付税 Income taxes payable non-current,9531,11306
递延所得税负债 Deferred income taxes,919,22819
经营租赁负债 Operating lease liabilities,12744,14591
其他长期负债 Other long-term liabilities,7530,8511
负债合计 Total liabilities,180016,281503
优先股及资本公积 Preferred stock and APIC,0,18023
普通股及资本公积 Common stock and APIC,93126,131371
累计其他综合收益 AOCI,-1916,-2285
留存收益 Retained earnings,324055,493371
股东权益合计 Total stockholders' equity,415265,640480
负债及权益合计,595281,921983

【现金流量表·半年】,H1 2025,H1 2026
净利润 Net income,62736,174771
折旧 Depreciation of property and equipment,9485,13586
股权薪酬 Stock-based compensation,11514,14708
递延所得税 Deferred income taxes,-1596,27538
债务及股权证券损益冲回 Loss(gain) on securities,-11411,-135803
其他调整 Other,1041,3161
应收账款变动 Accounts receivable,-1201,-6904
存货变动 Inventory,-628,-7739
所得税净变动 Income taxes net,-2434,8304
其他资产变动 Other assets,-2139,-9950
应付账款变动 Accounts payable,-327,2090
应付费用及其他变动 Accrued expenses and other,-1779,308
递延收入变动 Deferred revenue,636,789
经营活动现金流净额 Net cash from operating,63897,84859
资本开支 Purchases of property and equipment,-39643,-80598
购买有价证券 Purchases of marketable securities,-39870,-76480
有价证券到期及出售 Maturities and sales of marketable,40930,66696
购买非上市证券 Purchases of non-marketable securities,-2312,-22051
非上市证券到期及出售 Maturities and sales of non-marketable,873,1667
收购净支出及无形资产 Acquisitions net of cash,-353,-33697
其他投资活动 Other investing,-363,-1359
投资活动现金流净额 Net cash used in investing,-40738,-145822
股权激励相关净支付 Net payments re stock-based awards,-5731,-12056
股份回购 Repurchases of stock,-28306,0
股息支付 Dividend payments,-4977,-5231
发行普通股净额 Proceeds from issuance of common stock,0,30499
发行强制可转优先股净额 Proceeds from preferred,0,19063
发债净额 Proceeds from issuance of debt,31378,56226
偿债 Repayments of debt,-18397,-5253
出售合并主体权益净额 Sale of interest in consolidated,400,3758
其他融资活动 Other financing,-400,-686
融资活动现金流净额 Net cash from(used in) financing,-26033,86320
汇率影响 Effect of exchange rate changes,444,-154
现金净变动 Net increase(decrease) in cash,-2430,25203
期初现金 Cash at beginning of period,23466,30708
期末现金 Cash at end of period,21036,55911

【派生指标】,Q2/H1 2025,Q2/H1 2026,算法
经营利润率 Operating margin,32.4%,34.0%,经营利润÷收入
Google Cloud 经营利润率,20.7%,35.6%,云经营利润÷云收入
Google Services 经营利润率,40.1%,41.8%,Services经营利润÷Services收入
有效税率 Effective tax rate,16.9%,19.1%,所得税÷除税前利润
OI&E占除税前利润 OI&E/pretax,7.8%,70.6%,OI&E÷除税前利润（口径污染度）
核心稀释EPS(估) core diluted EPS (USD),2.13,2.68,经营利润×(1-有效税率)÷稀释股数·剔除OI&E股权重估·【推】非申报口径
报告稀释EPS reported diluted EPS (USD),2.31,9.11,10-Q 申报值
单季自由现金流 quarterly FCF,24254(H1口径),-5824,"Q2'26 = 单季OCF $39.1B(MD&A) − 单季capex $44,924M(8-K)"
H1自由现金流 H1 FCF,24254,4261,H1经营现金流 − H1资本开支
H1 FCF÷经营现金流,38.0%,5.0%,FCF÷OCF
H1 capex÷经营现金流,62.0%,95.0%,资本开支÷经营现金流
H1 capex÷折旧,4.18x,5.93x,资本开支÷当期折旧（未来折旧台阶指示）
净现金(含受限股权) gross net cash,80296(2025末),144309,(现金+有价证券)−长期债务
净现金(剔上市股权证券) liquid net cash,73983(2025末),57246,(现金+有价证券−上市股权证券)−长期债务·剔除受限SpaceX后可动用口径
商誉÷总资产 Goodwill/assets,5.6%(2025末),6.3%,商誉÷总资产
应收÷收入(年化) AR/revenue,15.6%(2025末/FY25),15.1%,应收账款÷年化收入
采购承诺÷总资产 commitments/assets,25.0%(2025末),88.0%,表外采购承诺÷总资产
SBC÷收入 SBC/revenue (H1),6.2%,6.4%,H1股权薪酬÷H1收入

【单项一手事实】,值(百万美元·除标注)
SpaceX持股-短期限售 (Level 1=活跃市场报价·计入有价证券),80000
SpaceX持股-长期限售至2027Q3 (计入其他非流动资产),14126
SpaceX持股合计 SpaceX total holding,94126
非上市股权(计量替代法=平时按成本·仅观察到交易时重估)账面价值,124300
其中Q2内按观察交易重估部分 (Level 2=可观察输入值),87900
公开增发净额 public offering (29M A@$355.1982 + 29M C@$351.8018),20500
Berkshire私募净额 private placement (14M A + 14M C),10000
强制可转优先股净额 mandatory convertible preferred,19000
=股权融资合计 total equity raise,49600
capped call溢价(冲减权益) capped call premium,1000
ATM额度(截至6/30未动用) ATM Program authorized/unused,40000
回购授权剩余 repurchase authorization remaining,69500
Wiz收购对价(2026-03-11完成) Wiz consideration,29500
Wiz商誉 goodwill from Wiz,22705
Wiz无形资产 intangibles from Wiz,8300
EC Android罚款+利息(2026-07已付) EC Android fine paid,5200
PriceRunner判决计提合计 legal charge accrued in Q2,2100
员工人数 employees (persons),198933
