# 单位: 百万美元(USD millions); 真源: report/google/2026-Q2.htm (10-Q · accession 0001652044-26-000071 · filed 2026-07-23); 中期分部·不并入 分部营收.csv 年度序列; 勾稽: 广告三项=广告合计·广告+订阅=Services·三分部+对冲=总收入=利润表收入·分部经营利润合计=利润表经营利润·地区分项=总收入; 缩写: YoY=同比 / EMEA=欧洲中东非洲 / APAC=亚太 (全对照见 finance/_模板/美股财报缩写对照表.md)

【收入按类型】,Q2 2025,Q2 2026,Q2 YoY,H1 2025,H1 2026,H1 YoY
Google搜索及其他 Search & other,54190,63271,+16.8%,104892,123670,+17.9%
YouTube广告 YouTube ads,9796,11055,+12.9%,18723,20938,+11.8%
Google联盟网络 Network,7354,7303,-0.7%,14610,14274,-2.3%
=广告合计 Google advertising,71340,81629,+14.4%,138225,158882,+14.9%
"订阅/平台/设备 Subscriptions,platforms,devices",11203,12911,+15.2%,21582,25295,+17.2%
=Google Services合计,82543,94540,+14.5%,159807,184177,+15.2%
Google Cloud 云,13624,24768,+81.8%,25884,44796,+73.1%
Other Bets 其他押注,373,382,+2.4%,823,793,-3.6%
对冲损益 Hedging gains(losses),-112,106,n/a(符号翻转或非正),148,-74,n/a(符号翻转或非正)
=总收入 Total revenues,96428,119796,+24.2%,186662,229692,+23.1%

【分部经营利润】,Q2 2025,Q2 2026,H1 2025,H1 2026
Google Services 经营利润,33063,39544,65745,80133
Google Cloud 经营利润,2826,8814,5003,15412
Other Bets 经营利润,-1246,-1799,-2472,-3899
公司层未分配 Alphabet-level activities,-3372,-5789,-6399,-11180
=总经营利润 Total income from operations,31271,40770,61877,80466

【收入按地区】,Q2 2025,Q2 2026,H1 2025,H1 2026
美国 United States,46063,60846,90027,114821
欧洲中东非洲 EMEA,28262,32501,54185,63969
亚太 APAC,16480,19317,31334,37605
其他美洲 Other Americas,5735,7026,10968,13371
对冲损益 Hedging,-112,106,148,-74
=总收入 Total revenues,96428,119796,186662,229692
