"# 单位: 百万美元(USD millions); 来源: 10-K MD&A收入明细+分部附注(FY2019/FY2022/FY2025); 收入按类型2017-25, 分部经营利润2020-25; 2016及前单一广告段未并入(见README)"
【收入按类型】,2017,2018,2019,2020,2021,2022,2023,2024,2025
Google搜索及其他 Search & other,69811,85296,98115,104062,148951,162450,175033,198084,224532
YouTube广告 YouTube ads,8150,11155,15149,19772,28845,29243,31510,36147,40367
Google联盟网络 Network,17616,20010,21547,23090,31701,32780,31312,30359,29792
=广告合计 Google advertising,95577,116461,134811,146924,209497,224473,237855,264590,294691
"订阅/平台/设备 Subscriptions,platforms,devices",10914,14063,17014,21711,28032,29055,34688,40340,48030
=Google Services合计 Services total,,,,168635,237529,253528,272543,304930,342721
Google Cloud 云,4056,5838,8918,13059,19206,26280,33088,43229,58705
Other Bets 其他押注,477,595,659,657,753,1068,1527,1648,1537
对冲损益 Hedging gains(losses),-169,-138,455,176,149,1960,236,211,-127
=总收入 Total revenues,110855,136819,161857,182527,257637,282836,307394,350018,402836

【分部经营利润】,2020,2021,2022,2023,2024,2025
Google Services 经营利润,54606,91855,86572,95858,121263,139404
Google Cloud 经营利润,-5607,-3099,-2968,1716,6112,13910
Other Bets 经营利润,-4476,-5281,-6083,-4095,-4444,-7515
公司层未分配 Corporate/Alphabet-level,-3299,-4761,-2679,-9186,-10541,-16760
=总经营利润 Total operating income,41224,78714,74842,84293,112390,129039
