"# 单位: 百万美元(USD millions), 费用/减项=负数, 覆盖2002-2025, 来源: SEC XBRL companyfacts(Alphabet CIK1652044 + Google Inc CIK1288776·公司自报一手) + 2002-06 一手 HTML 转录(S-1/FY2004/FY2006/FY2007 10-K)"
科目,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
收益 Revenues,440,1466,3189,6139,10605,16594,21796,23651,29321,37905,50175,59825,66001,74989,90272,110855,136819,161857,182527,257637,282836,307394,350018,402836
销售成本 Cost of revenues,-133,-634,-1469,-2577,-4225,-6649,-8622,-8844,-10417,-13188,-17176,-21993,-25691,-28164,-35138,-45583,-59549,-71896,-84732,-110939,-126203,-133332,-146306,-162535
研发开支 Research and development,-40,-230,-395,-600,-1229,-2120,-2793,-2843,-3762,-5162,-6793,-7952,-9832,-12282,-13948,-16625,-21419,-26018,-27573,-31562,-39500,-45427,-49326,-61087
销售及营销开支 Sales and marketing,-49,-165,-296,-468,-850,-1461,-1946,-1984,-2799,-4589,-6143,-7253,-8131,-9047,-10485,-12893,-16333,-18464,-17946,-22912,-26567,-27917,-27808,-28693
行政管理开支 General and administrative,-31,-95,-188,-387,-752,-1279,-1803,-1667,-1962,-2724,-3845,-4796,-5851,-6136,-6985,-6872,-8126,-9551,-11052,-13510,-15724,-16425,-14188,-21482
总成本及开支 Total costs and expenses,-253,-1123,-2549,-4121,-7055,-11510,-15164,-15338,-18940,-26163,-37415,-45859,-49505,-55629,-66556,-84709,-110498,-127626,-141303,-178923,-207994,-223101,-237628,-273797
经营利润 Income from operations,186,342,640,2017,3550,5084,6632,8312,10381,11742,12760,13966,16496,19360,23716,26146,26321,34231,41224,78714,74842,84293,112390,129039
其他收入(支出)净额 Other income(expense) net,-2,4,10,124,461,,316,69,415,584,626,530,763,291,434,1047,8592,5394,6858,12020,-3514,1424,7425,29787
除税前利润 Income before income taxes,185,347,650,2142,4011,5674,5854,8381,10796,12326,13386,14496,17259,19651,24150,27193,34913,39625,48082,90734,71328,85717,119815,158826
所得税 Provision for income taxes,-85,-241,-251,-676,-934,-1470,-1627,-1861,-2291,-2589,-2598,-2282,-3331,-3303,-4672,-14531,-4177,-5282,-7813,-14701,-11356,-11922,-19697,-26656
持续经营净利 Net income from continuing operations,,,,,,,,,8505,9737,10788,12214,13928,16348,19478,,,,,,,,,
"终止经营净利(Motorola) Discontinued operations, net of tax",,,,,,,,,0,0,-51,706,516,0,0,,,,,,,,,
净利润 Net income,100,106,399,1465,3077,4204,4227,6520,8505,9737,10737,12920,14444,16348,19478,12662,30736,34343,40269,76033,59972,73795,100118,132170
每股基本盈利(美元) Basic EPS,0.86,0.77,2.07,5.31,10.21,13.53,13.46,20.62,26.69,30.17,32.81,38.82,21.37,,28.32,18.27,44.22,49.59,59.15,113.88,4.59,5.84,8.13,10.91
每股摊薄盈利(美元) Diluted EPS,0.45,0.41,1.46,5.02,9.94,13.29,13.31,20.41,26.31,29.76,32.31,38.13,21.02,,27.85,18.00,43.70,49.16,58.61,112.20,4.56,5.80,8.04,10.81
