"# 单位: 百万美元(USD millions), 流出=负数, 覆盖2002-2025, 来源: SEC XBRL companyfacts(Alphabet CIK1652044 + Google Inc CIK1288776·公司自报一手) + 2002-06 一手 HTML 转录(S-1/FY2004/FY2006/FY2007 10-K)"
科目,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
经营活动现金流量净额 Net cash from operating,155,395,977,2459,3581,5775,7853,9316,11081,14565,16619,18659,22376,26024,36036,37091,47971,54520,65124,91652,91495,101746,125299,164713
投资活动现金流量净额 Net cash from investing,-110,-314,-1901,-3358,-6899,-3682,-5319,-8019,-10680,-19041,-13056,-13679,-21055,-23711,-31165,-31401,-28504,-29491,-32773,-35523,-20298,-27063,-45536,-120291
融资活动现金流量净额 Net cash from financing,-5,8,1195,4371,2966,403,88,233,3050,807,1229,-857,-1439,-3677,-8332,-8298,-13179,-23209,-24408,-61362,-69757,-72093,-79733,-37388
汇率变动影响 Effect of exchange rate on cash,0,2,8,-22,20,40,-46,11,-19,22,3,-3,-433,-434,-170,405,-302,-23,24,-287,-506,-421,-612,208
现金净变动 Net increase(decrease) in cash,40,91,278,3450,-333,2537,2575,1541,3432,-3647,4795,4120,-551,-1798,-3631,-2203,5986,1797,7967,-5520,934,2169,-582,7242
--- 补充: 关键分项 ---,,,,,,,,,,,,,,,,,,,,,,,,
折旧 Depreciation (& impairment of PP&E),18,44,129,257,494,808,1212,1240,1067,1396,1988,2781,,,,,,,,10273,13475,11946,15311,21136
无形资产摊销 Amortization of intangibles,0,6,20,37,78,160,288,284,329,455,974,1158,,,,,,,,,,,,
股权薪酬 Share-based compensation,22,229,279,201,458,869,1120,1164,1376,1974,2692,3343,4279,5203,6703,7679,9353,10794,12991,15376,19362,22460,22785,24953
资本开支 Purchases of property and equipment,-37,-177,-319,-838,-1903,-2403,-2358,-810,-4018,-3438,-3273,-7358,-10959,-9915,-10212,-13184,-25139,-23548,-22281,-24640,-31485,-32251,-52535,-91447
股票回购 Repurchases of capital stock,,,,,,,0,0,-801,0,0,0,0,-1780,-3693,-4846,-9075,-18396,-31149,-50274,-59296,-61504,-62222,-45709
已付股息 Dividends/other distributions,,,,,,,,,,,,0,0,-47,0,0,,,,,0,0,-7363,-10049
