"# 派生比率(比率=小数,FCF=百万美元,周转=天); 通用底 scripts/derived.py + google 定制层; 覆盖2002-2025"
科目,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
毛利率 Gross margin,0.6984,0.5672,0.5394,0.5802,0.6016,0.5993,0.6044,0.6261,0.6447,0.6521,0.6577,0.6324,0.6107,0.6244,0.6108,0.5888,0.5648,0.5558,0.5358,0.5694,0.5538,0.5663,0.5820,0.5965
净利率 Net margin,0.2267,0.0721,0.1251,0.2387,0.2902,0.2533,0.1939,0.2757,0.2901,0.2569,0.2140,0.2160,0.2188,0.2180,0.2158,0.1142,0.2246,0.2122,0.2206,0.2951,0.2120,0.2401,0.2860,0.3281
销售费用率 S&D exp ratio,0.1110,0.1125,0.0927,0.0763,0.0801,0.0881,0.0893,0.0839,0.0955,0.1211,0.1224,0.1212,0.1232,0.1206,0.1161,0.1163,0.1194,0.1141,0.0983,0.0889,0.0939,0.0908,0.0794,0.0712
管理/行政费用率 Admin exp ratio,0.0710,0.0645,0.0590,0.0630,0.0709,0.0771,0.0827,0.0705,0.0669,0.0719,0.0766,0.0802,0.0887,0.0818,0.0774,0.0620,0.0594,0.0590,0.0605,0.0524,0.0556,0.0534,0.0405,0.0533
研发费用率 R&D exp ratio,0.0921,0.1566,0.1239,0.0977,0.1159,0.1278,0.1282,0.1202,0.1283,0.1362,0.1354,0.1329,0.1490,0.1638,0.1545,0.1500,0.1565,0.1607,0.1511,0.1225,0.1397,0.1478,0.1409,0.1516
ROE(期末) Return on year-end equity,0.5729,0.1794,0.1363,0.1556,0.1806,0.1853,0.1497,0.1811,0.1839,0.1675,0.1497,0.1480,0.1382,0.1359,0.1401,0.0830,0.1730,0.1705,0.1809,0.3022,0.2341,0.2604,0.3080,0.3183
ROE(年均) Return on avg equity,,0.2770,0.2269,0.2373,0.2326,0.2116,0.1660,0.2030,0.2068,0.1866,0.1654,0.1625,0.1506,0.1454,0.1502,0.0869,0.1862,0.1812,0.1900,0.3207,0.2362,0.2736,0.3291,0.3570
经营现金流/净利 OCF/Net profit,1.5580,3.7431,2.4480,1.6783,1.1635,1.3739,1.8578,1.4288,1.3029,1.4958,1.5478,1.4442,1.5492,1.5919,1.8501,2.9293,1.5607,1.5875,1.6172,1.2054,1.5256,1.3788,1.2515,1.2462
Capex/净利 Capex/Net profit,0.3733,1.6735,0.7992,0.5720,0.6183,0.5716,0.5580,0.1242,0.4724,0.3531,0.3048,0.5695,0.7587,0.6065,0.5243,1.0412,0.8179,0.6857,0.5533,0.3241,0.5250,0.4370,0.5247,0.6919
应收/营收 AR/Revenue,0.1411,0.1055,0.0978,0.1121,0.1247,0.1303,0.1212,0.1344,0.1450,0.1432,0.1571,0.1485,0.1422,0.1541,0.1566,0.1654,0.1523,0.1565,0.1695,0.1526,0.1423,0.1560,0.1495,0.1561
存货/营收 Inventory/Revenue,,,,,,,,,,,,,,,,,,,,,,,,
资产负债率 Liabilities/Total assets,0.3937,0.3244,0.1160,0.0830,0.0776,0.1044,0.1111,0.1109,0.2007,0.1988,0.2354,0.2129,0.2031,0.1840,0.1699,0.2270,0.2370,0.2699,0.3037,0.2996,0.2987,0.2958,0.2780,0.3024
归母/净利 Parent/Net profit,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
扣非净利率(估) Adj net margin est,,,,,,,,,,,,,,,,,,,,,,,,
应收账款周转天数 AR turnover days,51.484,26.976,26.696,29.725,34.596,38.326,40.231,44.915,46.249,46.601,48.419,51.149,50.505,50.959,51.943,53.460,52.253,52.052,56.248,49.751,51.337,52.377,52.299,52.202
存货周转天数 Inventory turnover days,,,,,,,,,,,,,,,,,,,,,,,,
应付账款周转天数 AP turnover days,25.863,15.985,9.796,10.498,14.114,13.539,9.740,8.128,12.244,14.821,27.626,37.051,29.608,23.626,20.630,20.731,23.031,25.229,24.015,19.125,16.146,17.275,19.310,22.667
现金及金融资产/总资产 Cash&financial/TA,0.5101,0.3841,0.6435,0.7822,0.6087,0.5612,0.4988,0.6046,0.6046,0.6149,0.5127,0.5294,0.4911,0.4955,0.5154,0.5163,0.4688,0.4337,0.4277,0.3887,0.3115,0.2756,0.2125,0.2131
固定资产PPE/总资产 PPE/TA,0.1878,0.2160,0.1144,0.0936,0.1297,0.1594,0.1648,0.1196,0.1341,0.1323,0.1264,0.1490,0.1821,0.1968,0.2044,0.2148,0.2565,0.2669,0.2652,0.2717,0.3085,0.3339,0.3799,0.4143
存货/总资产 Inventory/TA,,,,,,,,,,,,,,,,,,,,,,,,
(应收+预付)/总资产 Receivables&prepay/TA,0.2161,0.1775,0.0941,0.0670,0.0716,0.0854,0.0832,0.0785,0.0735,0.0748,0.0841,0.0801,0.0716,0.0784,0.0844,0.0929,0.0895,0.0918,0.0968,0.1094,0.1102,0.1192,0.1162,0.1056
当年分红率 Payout ratio,,,,,,,,,,,,0.0000,0.0000,0.0029,0.0000,0.0000,,,,,0.0000,0.0000,0.0735,0.0760
股权薪酬/营收 SBC/Revenue,0.0492,0.1565,0.0874,0.0327,0.0432,0.0523,0.0514,0.0492,0.0469,0.0521,0.0537,0.0559,0.0648,0.0694,0.0743,0.0693,0.0684,0.0667,0.0712,0.0597,0.0685,0.0731,0.0651,0.0619
自由现金流FCF(百万美元) OCF−Capex,118,219,658,1621,1678,3373,5494,8506,7063,11127,13346,11301,11417,16109,25824,23907,22832,30972,42843,67012,60010,69495,72764,73266
FCF/净利 FCF/Net income,1.1847,2.0696,1.6488,1.1063,0.5452,0.8023,1.2999,1.3046,0.8305,1.1428,1.2430,0.8747,0.7904,0.9854,1.3258,1.8881,0.7428,0.9018,1.0639,0.8814,1.0006,0.9417,0.7268,0.5543
有效税率 Effective tax rate,0.4611,0.6952,0.3862,0.3158,0.2328,0.2591,0.2779,0.2220,0.2122,0.2100,0.1941,0.1574,0.1930,0.1681,0.1935,0.5344,0.1196,0.1333,0.1625,0.1620,0.1592,0.1391,0.1644,0.1678
资本回报(回购+分红)/净利 Capital return/NI,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0942,0.0000,0.0000,0.0000,0.0000,0.1118,0.1896,0.3827,0.2953,0.5357,0.7735,0.6612,0.9887,0.8334,0.6950,0.4219
