"# 单位: 百万美元(USD millions), 覆盖2002-2025, 来源: SEC XBRL companyfacts(Alphabet CIK1652044 + Google Inc CIK1288776·公司自报一手) + 2002-06 一手 HTML 转录(S-1/FY2004/FY2006/FY2007 10-K)"
科目,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
现金及现金等价物 Cash and cash equivalents,58,149,427,3877,3545,6082,8657,10198,13630,9983,14778,18898,18347,16549,12918,10715,16701,18498,26465,20945,21879,24048,23466,30708
短期有价证券 Marketable securities (current),89,186,1705,4157,7699,8137,7189,14287,21345,34643,33310,39819,46048,56517,73415,91156,92439,101177,110229,118704,91883,86868,72191,96135
"应收账款净额 Accounts receivable, net",62,155,312,688,1322,2163,2642,3178,4252,5427,7885,8882,9383,11556,14137,18336,20838,25326,30930,39304,40258,47964,52340,62886
流动资产合计 Total current assets,232,560,2693,9001,13040,17289,20178,29167,41562,52758,60454,72886,80685,90114,105408,124308,135676,152578,174296,188143,164795,171530,163711,206038
非流动有价证券 Non-marketable/LT securities,,,,14,1032,1060,,,,,,,,,,,,,,1400,803,1400,266,
"物业及设备净额 Property and equipment, net",54,188,379,962,2395,4039,5234,4845,7759,9603,11854,16524,23883,29016,34234,42383,59719,73646,84749,97599,112668,134345,171036,246597
经营租赁使用权资产 Operating lease right-of-use assets,,,,,,,,,,,,,,,,,,10941,12211,12959,14381,14091,13588,15221
商誉 Goodwill,87,87,123,195,1545,2299,4840,4903,6256,7346,10537,11492,15599,15869,16468,16747,17888,20624,21175,22956,28960,29198,31885,33380
资产总计 Total assets,287,871,3313,10272,18473,25336,31768,40497,57851,72574,93798,110920,131133,147461,167497,197295,232792,275909,319616,359268,365264,402392,450256,595281
应付账款 Accounts payable,9,46,33,116,211,282,178,216,483,588,2012,2453,1715,1931,2041,3137,4378,5561,5589,6037,5128,7493,7987,12200
流动负债合计 Total current liabilities,90,235,340,745,1305,2036,2302,2747,9996,8913,14337,15908,16805,19310,16756,24183,34620,45221,56834,64254,69300,81814,89122,102745
长期债务 Long-term debt,,,,,,,,,0,2986,2988,1990,2992,1995,3935,3943,3950,3958,15319,15440,15312,11870,10883,46547
负债合计 Total liabilities,,,,,,,,,,,,,,27130,28461,44793,55164,74467,97072,107633,109120,119013,125172,180016
负债及权益合计 Total liabilities & equity,287,871,3313,10272,18473,25336,31768,40497,57851,72574,93798,110920,131133,147461,167497,197295,232792,275909,319616,359268,365264,402392,450256,595281
股东权益合计 Total stockholders' equity,174,589,2929,9419,17040,22690,28239,36004,46241,58145,71715,87309,104500,120331,139036,152502,177628,201442,222544,251635,256144,283379,325084,415265
