"# 单位: 百万美元(USD millions), 费用/减项=负数; 来源: 10-Q(2026-08-04); IPO 于 2026-06 完成故 H1 含巨额一次性融资项"
科目,2025H1,2026H1
营业收入 Revenue,8138,12508
营业成本 Cost of revenue,-4244,-5883
研发开支 Research and development,-3515,-7062
销售及行政管理 SG&A,-1099,-1658
重组费用(冲回) Restructuring charges (credits),-194,9
减值 Impairment,-29,0
总成本及开支 Total costs and expenses,-9081,-14594
经营利润 Loss from operations,-943,-2086
利息支出 Interest expense,-858,-1293
利息收入 Interest income,215,553
其他收入(支出)净额 Other income (expense) net,202,-1962
除税前利润 Loss before income taxes,-1384,-4788
所得税 Provision for income taxes,-152,-29
净利润 Net loss,-1536,-4817
归属股东净利润 Net loss attributable to shareholders,-1536,-5488
每股基本及摊薄盈利(美元) Basic and diluted EPS,-0.53,-1.12
加权平均股数(百万) Weighted average shares,2902,4879
经营活动现金流净额 Net cash from operating,351,3466
购建固定资产 Capex,-6965,-28476
投资活动现金流净额 Net cash used in investing,-6032,-34487
取得借款 Proceeds from debt,10943,51812
偿还借款 Repayments on debt,-5990,-39396
债务清偿溢价 Payment of debt extinguishment premium,0,-1153
发行股本净额 Proceeds from issuance of capital stock,5047,8319
回购普通股及优先股 Repurchase of common and RCPS,-520,-4426
IPO募资净额 Proceeds from IPO net,0,85675
融资活动现金流净额 Net cash from financing,9199,100291
现金净变动 Net change in cash,3593,69228
期末现金及受限现金 Cash end of period,15094,94352
自由现金流 FCF = OCF - Capex,-6614,-25010
