# 单位: 百万美元(USD millions); 时点数; 来源: 10-Q(2026-08-04)
科目,2025-12-31,2026-06-30
货币资金 Cash and cash equivalents,24747,93522
金融资产 Marketable securities,0,6487
应收账款净额 Accounts receivable net,1579,3596
存货 Inventory,2416,2718
预付及其他流动资产 Prepaid and other current,2210,1724
流动资产合计 Total current assets,30952,108047
固定资产净额 PP&E net,42602,65736
融资租赁使用权资产 Finance lease ROU,1260,1118
无形资产净额 Intangible assets net,1548,1318
数字资产 Digital assets,1637,1098
商誉 Goodwill,11809,11645
递延所得税资产 Deferred tax assets,141,354
其他资产 Other assets,2130,3454
资产总计 Total assets,92079,192770
应付账款 Accounts payable,11792,8243
合同负债-流动 Deferred revenue current,6111,7977
有息负债及租赁-流动 Debt and leases current,928,2525
应计及其他流动负债 Accrued and other current,2569,2377
流动负债合计 Total current liabilities,21400,21122
合同负债-非流动 Deferred revenue non-current,6005,6309
有息负债及租赁-非流动 Debt and leases non-current,21968,36839
其他非流动负债 Other liabilities,1381,1276
负债合计 Total liabilities,50754,65546
可赎回可转换优先股 Redeemable convertible preferred,38752,0
股东权益合计 Total shareholders' equity,2573,127224
"负债+优先股+权益 Total L, RCPS and equity",92079,192770
其中:关联方有息负债 Related-party debt (incl.),4507,13329
