"# 单位: 百万美元(USD millions); 来源: 424B4「CERTAIN RELATIONSHIPS AND RELATED PERSON TRANSACTIONS」章节; 口径=Item 404 Reg S-K(2023-01-01 起·>$120,000·关联方有重大利益), 含 xAI/X 合并前签订且仍存续的协议; ⚠️ **定价公允性表述不对称**: Tesla 类交易招股书明写「on terms no less favorable to SpaceX than those generally available to unaffiliated third parties」, **Valor 三份设备租赁无任何公允性表述**, 仅列金额; ⚠️ Valor 租赁由 SpaceX 或其子公司**提供付款与履约担保**, 会计上被判定为**失败的售后租回**故全额计为债务; ⚠️ 关联交易审批政策(审计委员会审议+关联方回避)为「**将在本次发行完成时采纳**」, 即 Valor 三笔签署时该政策尚不存在"
科目,2023,2024,2025,2026年1-4月,合同总额/备注
【Valor·董事 Antonio Gracias 关联】设备租赁1-合同总额,,,,,6986
【Valor】设备租赁2-合同总额,,,,,6633
【Valor】设备租赁3-合同总额,,,,,6587
【Valor】三份租赁合同总额合计,,,,,20206
【Valor】已付租金,,,885,1917,
【Valor】X API 服务收入(公司收),,1,1,0.1,
【Tesla】SpaceX 采购商品及服务,11,4,147,4.0,
【Tesla】xAI 采购商品及服务,,191,506,303,2026年1-4月含4月Megapack 269
【Tesla】xAI 自 Tesla 确认收入,,,2,1,
【Tesla】X 平台广告收入(公司收),,0.5,4,0.1,
【Tesla】飞机使用费(公司收),1,1,2,0,
【The Boring Co·Musk 关联】X 办公室租金,,0.1,1,0.3,
【The Boring Co】隧道建设支出,,,1,,
【Musk Industries LLC】xAI 房产租金,,0.5,2,1,
【Musk 持有的安保公司】安保服务支出,2,3,4,2,
【Craft Aviation·Musk 关联】飞机维护支出,1,1,3,3,
【Musk 私人飞机】公司报销,0.1,3,2,0.2,
【Shotwell/Johnsen 共有飞机】公司承担运维,3,3,3,1,
