"# 单位: 百万美元(USD millions); 三报告分部 Space/Connectivity/AI + 六产品线; 年度来自招股书分部附注, H1 来自 10-Q; 来源: SEC 424B4 招股书(2026-06-12, F页经审计) + 10-Q(2026-08-04); 报告主体=SpaceX+xAI+X 同一控制下追溯合并重述"
科目,2023,2024,2025,2025H1,2026H1
Space-发射服务 Launch Services,1964,2584,2576,1056,978
Space-发射及开发 Launch & Development,1593,1212,1510,555,603
Connectivity-消费者 Consumer,2817,4830,7208,3213,4633
Connectivity-企业及政府 Enterprise & Gov,1052,2769,4179,1849,2915
AI-广告 Advertising,2323,1728,1844,870,710
AI-AI方案及算力 AI Solutions & Infra,638,892,1357,595,2669
[区域收入] 美国 USA,7473,10008,12966,,
[区域收入] 爱尔兰 Ireland,1047,1371,1827,,
[区域收入] 加拿大 Canada,447,582,764,,
[区域收入] 其他 All Other,1420,2054,3117,,
[区域收入] 合计 Total,10387,14015,18674,,
[收入] Space,3557,3796,4086,1611,1581
[收入] Connectivity,3869,7599,11387,5062,7548
[收入] AI,2961,2620,3201,1465,3379
[收入] 合计 Total,10387,14015,18674,8138,12508
[经营利润] Space,-1,21,-657,-439,-1204
[经营利润] Connectivity,469,2006,4423,1956,2844
[经营利润] AI,-3973,-1561,-6355,-2460,-3726
[经营利润] 合计 Total,-3505,466,-2589,-943,-2086
[资本开支] Space,1497,2032,3832,1705,2226
[资本开支] Connectivity,2455,3498,4178,1944,2699
[资本开支] AI,463,5633,12727,3316,23551
[资本开支] 合计 Total,4415,11163,20737,6965,28476
[折旧摊销] Space,571,637,757,308,324
[折旧摊销] Connectivity,884,1508,2376,1078,1588
[折旧摊销] AI,1180,1679,3568,1584,3378
[折旧摊销] 合计 Total,2635,3824,6701,2970,5290
[股权激励] Space,427,472,515,233,324
[股权激励] Connectivity,249,296,369,166,252
[股权激励] AI,3,16,1063,295,894
[股权激励] 合计 Total,679,784,1947,694,1470
