"# 单位: 百万美元(USD millions), 费用/减项=负数, 覆盖2023-2025, 来源: SEC 424B4 招股书(2026-06-12, F页经审计) + 10-Q(2026-08-04); 报告主体=SpaceX+xAI+X 同一控制下追溯合并重述"
科目,2023,2024,2025
营业收入 Revenue,10387,14015,18674
营业成本 Cost of revenue,-6110,-7996,-9451
研发开支 Research and development,-2105,-3464,-8643
"销售及行政管理 Selling, general and administrative",-1665,-1813,-2644
重组费用 Restructuring charges,-237,-213,-487
减值 Impairment,-3775,-63,-38
总成本及开支 Total costs and expenses,-13892,-13549,-21263
经营利润 Income (loss) from operations,-3505,466,-2589
利息支出 Interest expense,-1693,-1580,-1945
利息收入 Interest income,249,371,492
其他收入(支出)净额 Other income (expense) net,-42,985,-177
除税前利润 Income (loss) before income taxes,-4991,242,-4219
所得税 Provision for (benefit from) income taxes,363,549,-718
净利润 Net income (loss),-4628,791,-4937
每股基本盈利(美元) Basic EPS,-1.68,0.01,-1.69
每股摊薄盈利(美元) Diluted EPS,-1.68,0.0,-1.69
基本加权平均股数(百万) Basic WAS,2759,2848,2926
摊薄加权平均股数(百万) Diluted WAS,2759,9956,2926
