"# 来源: 424B4 法律或有事项附注 + 招股书「本招股书未反映」段落 + 10-Q; ⚠️ 「未反映」两项**不在**现有三表与股数中: EchoStar 频谱交易与 Cursor 期权若落地将新增 Class A 股本; 按 IPO 价 $135 粗算两者对价合计约 $953 亿(仅股份部分·EchoStar 另有现金); 两项合计约 7.06 亿股, 相对 2026-06-30 已发行 131.76 亿股(A+B)约 5.4%"
科目,金额,币种,状态/时点
诉讼损失计提(资产负债表内),530,USD-M,2025-12-31 已计入应计及其他负债
EC DSA 罚款(X/xAI/Musk 本人),120,EUR-M,2025-12-05 终局决定; 2026-02-16 已上诉欧盟普通法院·待决
Vidstream 专利-陪审团判赔,105,USD-M,2025-04-16 判决; 已上诉联邦巡回法院·待决
Vidstream 专利-判决前利息,67,USD-M,2025-11 追加
SDBN 荷兰 GDPR 集体诉讼,,EUR/人250-2500,称代表1100万荷兰用户; 2026-02-04 法院不准以集体诉讼推进·或中止待欧盟法院裁决
SOMI 荷兰 GDPR/DSA 集体诉讼,,未定,称代表约780万荷兰X用户; 2026-04-02 开庭
Grok 图像生成相关诉讼,,未定,2026-01 起多起拟制集体诉讼 + 2026-03-24 巴尔的摩市政府起诉(被告含 SpaceX 母公司)
NMPA 音乐版权诉讼,,未定,2025-06~09 和解未果·证据开示中
【未反映·股本】EchoStar 频谱交易-对价股数(百万股),261.79,Class A 百万股,2025-09-07 协议(11-05 修订); FCC 已于 2026-05-12 批准; **预计 2027-11 交割**; 另有现金对价
【未反映·股本】Cursor 收购期权-潜在股数(百万股),444.44,Class A 百万股,按 IPO 价 $135 测算的示例值; 实际按未来七日 VWAP 定; 公司**尚未行权**
