"# **派生估算·非披露值**; 单位: 百万美元(USD millions), 年限=年; 基数=2026-06-30 固定资产**原值**(见 固定资产明细.csv), 年限=招股书会计政策附注披露区间; 局限: 累计折旧未按类别披露故按原值测算(高估老资产) · 飞行器硬件按飞行次数折旧不可年化 · 土地不折旧但未单独拆分 · 在建工程尚未投用不计提"
科目,原值(2026-06-30),年限下限,年限上限,年化折旧(按年限上限),年化折旧(按年限下限),年化折旧(按年限中值)
服务器及网络设备,34771,5,6,5795,6954,6322
卫星,13788,3,5,2758,4596,3447
机器设备,9453,3,10,945,3151,1454
数据中心基础设施,3991,20,25,160,200,177
发射场,3118,7,20,156,445,231
土地房屋及改良(含不折旧的土地·上限),2958,30,30,99,99,99
租赁资产改良,881,7,20,44,126,65
【小计】可年化折旧资产,68960,,,9957,15571,11795
飞行器硬件(按5-25次飞行折旧·不可年化),1557,,,,,
在建工程(尚未投用·当前不计提),12554,,,,,
固定资产原值合计 Gross PP&E,83071,,,,,
【对照】H1-2026 实际折旧×2(年化),,,,,,10128
【对照】FY2025 实际折旧摊销 D&A,,,,,,6701
