"# 派生比率(比率=小数, 金额=百万美元); 由本目录三表派生; 覆盖2023-2025"
科目,2023,2024,2025
毛利率 Gross margin,0.4118,0.4295,0.4939
经营利润率 Operating margin,-0.3374,0.0333,-0.1386
净利率 Net margin,-0.4456,0.0564,-0.2644
研发费用率 R&D ratio,0.2027,0.2472,0.4628
销售及管理费用率 SG&A ratio,0.1603,0.1294,0.1416
营收增速 Revenue growth,,0.3493,0.3324
经营现金流/净利 OCF/Net income,-0.9767,7.3021,-1.3743
经营现金流/营收 OCF/Revenue,0.4352,0.4121,0.3633
Capex/经营现金流 Capex/OCF,0.9768,1.9327,3.0563
Capex/营收 Capex/Revenue,0.4251,0.7965,1.1105
自由现金流FCF(百万美元) OCF-Capex,105,-5387,-13952
折旧摊销/营收 D&A/Revenue,0.2537,0.2729,0.3588
股权激励/营收 SBC/Revenue,0.0654,0.0559,0.1043
合同负债合计(百万美元) Deferred revenue total,,10179,12116
合同负债/营收 Deferred revenue/Revenue,,0.7263,0.6488
应收/营收 AR/Revenue,,0.0751,0.0846
有息负债合计(百万美元) Total debt,,13793,22896
净现金(百万美元) Cash+MS-Debt,,-1608,1851
资产负债率 Liabilities/Total assets,,0.5478,0.5512
固定资产/总资产 PPE/TA,,0.3706,0.4627
商誉/总资产 Goodwill/TA,,0.195,0.1282
利息保障(经营利润/利息支出) EBIT/Interest,-2.0703,0.2949,-1.3311
[非GAAP·公司口径] 调整后EBITDA Adjusted EBITDA,3821,5350,6584
[非GAAP对照] 调整后EBITDA中被加回的折旧摊销,2635,3824,6701
[非GAAP对照] 折旧摊销占调整后EBITDA比,0.6896,0.7148,1.0178
[分部]Space 经营利润率 Op margin,-0.0003,0.0055,-0.1608
[分部]Space Capex/收入 Capex/Rev,0.4209,0.5353,0.9378
[分部]Connectivity 经营利润率 Op margin,0.1212,0.264,0.3884
[分部]Connectivity Capex/收入 Capex/Rev,0.6345,0.4603,0.3669
[分部]AI 经营利润率 Op margin,-1.3418,-0.5958,-1.9853
[分部]AI Capex/收入 Capex/Rev,0.1564,2.15,3.9759
