"# 单位: 百万美元(USD millions), 覆盖2023-2025(2023年末除商誉外招股书未列报,留空), 来源: SEC 424B4 招股书(2026-06-12, F页经审计) + 10-Q(2026-08-04); 报告主体=SpaceX+xAI+X 同一控制下追溯合并重述"
科目,2023,2024,2025
货币资金 Cash and cash equivalents,,11385,24747
金融资产 Marketable securities,,800,0
应收账款净额 Accounts receivable net,,1052,1579
存货 Inventory,,2003,2416
预付及其他流动资产 Prepaid and other current,,868,2210
流动资产合计 Total current assets,,16108,30952
"固定资产净额 Property, plant and equipment net",,21147,42602
融资租赁使用权资产 Finance lease ROU assets,,1686,1260
无形资产净额 Intangible assets net,,2211,1548
数字资产 Digital assets,,1749,1637
商誉 Goodwill,11418,11129,11809
递延所得税资产 Deferred tax assets,,696,141
其他资产 Other assets,,2336,2130
资产总计 Total assets,,57062,92079
应付账款 Accounts payable,,4413,11792
合同负债-流动 Deferred revenue current,,5498,6111
有息负债及租赁-流动 Debt and finance leases current,,372,928
应计及其他流动负债 Accrued and other current,,1508,2569
流动负债合计 Total current liabilities,,11791,21400
合同负债-非流动 Deferred revenue non-current,,4681,6005
有息负债及租赁-非流动 Debt and finance leases non-current,,13421,21968
其他非流动负债 Other liabilities,,1365,1381
负债合计 Total liabilities,,31258,50754
可赎回可转换优先股 Redeemable convertible preferred stock,,20941,38752
股东权益合计 Total shareholders' equity,,4863,2573
"负债+优先股+权益 Total L, RCPS and equity",,57062,92079
