# 三环集团(300408) 合并利润表 · 从一手年报 PDF 解析(核心指标)
# 单位:亿元(除毛利率/增速为 %);负数=亏损/减项;空=待逐行 PDF 精解析补齐
# 覆盖:2019-2024(近 6 年主要指标已从 snapshot 提取);2014-2018 及 2025-H1 待 _build_from_pdf.py 精解析
# 数据源:report/三环集团/YYYY.pdf 年报「第二节·主要会计数据」+「第三节·MD&A」+「非经常性损益附注」
# 校验:主要指标已过增速正逆校对(2019→2024 每年 vs 上年一致);逐行三表勾稽待精解析
年份,营业收入,同比,归母净利润,同比,扣非归母净利润,同比,毛利率,营业税金及附加,销售费用,管理费用,研发费用,财务费用,政府补助(非经),金融资产公允价值变动(非经),非经损益合计
2014,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,
2018,37.50,,13.19,,12.84,,54.20,,,,,,,,
2019,27.26,-27.30,8.71,-33.93,7.95,-38.09,49.06,,,,1.77,,,,
2020,39.94,+46.49,14.40,+65.23,12.47,+56.83,51.11,,,,2.39,,0.98,1.10,1.83
2021,62.18,+55.69,20.11,+39.68,18.28,+46.64,48.75,,0.51,4.53,4.19,-0.96,1.35,0.75,1.83
2022,51.49,-17.19,15.05,-25.17,12.21,-33.24,44.10,,0.57,4.79,4.52,-1.74,2.13,1.18,2.84
2023,57.27,+11.21,15.81,+5.07,12.21,+0.05,39.83,,0.74,4.29,5.46,-1.62,3.00,1.12,3.60
2024,73.75,+28.78,21.90,+38.55,19.32,+58.22,42.98,,0.79,4.10,5.83,-1.73,2.41,0.67,2.58
2025-H1,,,,,,,,,,,,,,,
2026-Q1,,,,,,,,,,,,,,,
