科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
建筑加工玻璃_营业收入(万元),,,,,,,,,,142920.51,147075.09,143561.48,173426.00,211862.43,201903.40,213724.50,192996.15,221483.37,224256.84,196509.02
建筑加工玻璃_营业成本(万元),,,,,,,,,,119154.38,124929.50,130442.63,147970.00,166955.41,160560.39,190918.24,164358.03,192709.90,192084.00,168105.72
建筑加工玻璃_毛利率(%),,,,,,,,,,16.63,15.06,9.14,14.68,21.20,20.48,10.67,14.84,12.99,14.35,14.45
汽车加工玻璃_营业收入(万元),,,,,,,,,45073.46,61623.75,71986.27,98050.70,123926.28,124671.65,115509.47,129791.31,149073.95,187418.30,184071.82,228239.09
汽车加工玻璃_营业成本(万元),,,,,,,,,34762.83,47579.00,54181.59,72367.52,101047.81,104490.54,96637.06,110402.43,133815.42,168212.85,159295.17,197162.55
汽车加工玻璃_毛利率(%),,,,,,,,,22.88,22.79,24.73,26.19,18.46,16.19,16.34,14.94,10.24,10.25,13.46,13.62
浮法玻璃_营业收入(万元),73932.89,104473.39,116559.00,87243.00,101398.00,132642.00,97244.58,89049.09,81178.35,64868.24,70838.88,78067.88,112172.33,142920.77,119255.93,164417.94,192283.12,209665.90,195799.04,179263.24
浮法玻璃_营业成本(万元),71390.23,87620.55,98843.00,71059.00,67416.00,105831.00,94154.99,72063.37,68790.12,56786.34,52713.67,63537.85,91423.08,115720.68,95240.47,121386.72,176315.19,196432.53,162522.19,141991.75
浮法玻璃_毛利率(%),3.44,16.13,15.20,18.55,33.51,20.21,3.18,19.07,15.26,12.46,25.59,18.61,18.50,19.03,20.14,26.17,8.30,6.31,17.00,20.79
加工玻璃(未拆分)_营业收入(万元),103556.94,113168.41,123607.00,118484.00,153580.00,105802.00,130960.08,156564.75,154692.95,,,,,,,,,,,
加工玻璃(未拆分)_营业成本(万元),79042.68,89961.20,102025.00,102995.00,128508.00,82240.00,93350.72,111961.43,118220.18,,,,,,,,,,,
加工玻璃(未拆分)_毛利率(%),23.67,20.51,17.46,13.07,16.33,22.27,28.72,28.49,23.58,,,,,,,,,,,
内部抵销_营业收入(万元),,,,,,,,,,,,,-31245.20,-35986.71,-37141.46,51850.91,68172.22,71080.56,52428.90,51002.72
内部抵销_营业成本(万元),,,,,,,,,,,,,-29072.55,-34935.25,-35824.05,50606.12,68156.37,,51965.05,50255.10
国内_营业收入(万元),129196.77,166038.19,157583.00,,218772.00,214795.00,209679.62,220572.80,266352.82,246149.05,266167.20,280545.89,340010.84,396191.73,368720.48,413364.20,419369.37,488224.09,479803.76,479369.96
华北地区_营业收入(万元),,,,,,,,,38196.35,20149.95,27384.52,30312.64,53284.24,54986.03,40229.46,68604.77,54895.70,,,
华东地区_营业收入(万元),,,,,,,,,141390.81,133099.42,150536.11,147244.30,162704.10,211249.50,181055.37,209429.44,225942.52,,,
华南地区_营业收入(万元),,,,,,,,,23242.98,29247.77,33101.57,30195.60,41757.87,55491.32,55286.58,67492.92,71448.20,,,
华中地区_营业收入(万元),,,,,,,,,8989.72,18065.03,19277.18,49699.45,48716.43,40178.33,49881.30,43833.86,44962.37,,,
西南地区_营业收入(万元),,,,,,,,,14847.79,19657.59,4254.02,8256.06,33548.20,34286.55,42267.77,24003.21,22120.58,,,
西北地区_营业收入(万元),,,,,,,,,1266.72,1914.06,2692.12,2452.10,,,,,,,,
东北地区_营业收入(万元),,,,,,,,,38418.45,24015.22,28921.68,12385.74,,,,,,,,
国外_营业收入(万元),48293.06,51603.60,82583.00,,36206.00,23649.00,18525.04,25041.04,14591.94,23263.45,23733.05,39134.17,38268.57,47276.41,30806.86,42718.64,46811.63,59262.92,71895.04,73638.67
