科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
营业总收入,1889832097.03,2290683423.03,2502374873.11,2163603356.68,2685638607.41,2421100234.76,2307631891.19,2491103646.33,2864912952.36,2747743271.77,2943011023.88,3273427196.95,3857409863.63,4511016242.55,4084692751.44,4649077259.74,4756046534.58,5587742283.92,5635853311.66,5641566721.75
  营业收入,1889832097.03,2290683423.03,2502374873.11,2163603356.68,2685638607.41,2421100234.76,2307631891.19,2491103646.33,2864912952.36,2747743271.77,2943011023.88,3273427196.95,3857409863.63,4511016242.55,4084692751.44,4649077259.74,4756046534.58,5587742283.92,5635853311.66,5641566721.75
营业总成本,1612459949.82,1877626753.61,2576951069.92,2361335054.04,2550666989.64,2367940514.59,2464224446.14,2495363635.48,2951653535.47,3343304443.66,3288922681.76,3335641852.06,3857583827.78,4291016225.04,3952117894.26,4487401287.16,4759609538.02,5684321748.17,5419059280.74,5376152044.27
  营业成本,1612459949.82,1877626753.61,2089888128.65,1854526811.43,2099310991.63,1899080002.23,1888229155.42,1865071556.05,2264696579.53,2267328348.68,2345059904.72,2708739020.07,3146125303.39,3537208166.50,3195151831.37,3748079429.67,4091414929.96,4902821678.92,4653336427.30,4610983609.64
  税金及附加,336693.25,328619.80,332577.81,1176807.32,1311546.10,11134801.69,11675190.73,16152407.75,15180848.47,17401966.36,28982448.32,31983552.43,33829014.14,39588910.84,39934799.10,39150599.68,43525502.82,52939947.34,56303797.11,55554354.96
  销售费用,109455177.46,120679176.78,127806238.80,107858078.63,126507058.68,136315640.78,140266870.28,151042206.34,188131684.13,222620352.77,201221563.20,178528883.35,198501086.31,241420223.54,221317259.12,242166929.32,116043888.46,140675449.69,141144109.78,136059576.36
  管理费用,163034028.56,241465714.25,233604415.77,278785728.53,226450291.52,206768199.52,213330069.47,312199402.29,334631559.84,360769891.39,361808746.90,334681813.16,229175658.26,255328408.67,267623639.18,223312897.47,262839912.51,299980763.14,305140177.44,323075041.43
  研发费用,,,,,,,,,,,,,140073278.01,175370294.12,184280250.39,211176584.29,222787323.29,263029386.23,239067366.27,245473941.61
  财务费用,45245812.80,58502546.98,69422567.26,72968098.23,79622207.72,86791465.31,120928237.87,102419697.76,122545200.01,158693862.25,130076437.20,74886066.47,59900405.89,42100221.37,43810115.10,23514846.73,22997980.98,24874522.85,24067402.84,5005520.27
    其中：利息费用,,,,,,,,,,,,,61566170.96,48723039.38,37134063.57,26583932.57,32668598.50,36914407.67,25507186.43,16814938.72
    其中：利息收入,,,,,,,,,,,,,3231614.83,9199138.77,2295425.82,8869817.82,10098106.21,7640568.98,5551488.81,4131001.56
资产减值损失,-5059512.22,7766165.54,55897141.63,46019529.90,17464893.99,27850405.06,89794922.37,48478365.29,26467663.49,316490022.21,221773581.42,6822516.58,49979081.78,-57295337.12,-33481616.87,-29416936.08,-51743637.07,-70317403.06,-133684359.55,-89341810.16
信用减值损失,,,,,,,,,,,,,,-5954345.72,-5790666.91,-77242134.02,7126779.27,-41663167.50,-4416673.94,-12358101.20
其他收益,,,,,,,,,,,,60500849.94,69450056.48,70155868.46,85841046.73,83801188.10,74994513.85,60249662.15,76947496.77,61457792.22
投资收益,36830657.98,54209667.47,8806164.76,57869724.77,60852955.25,7919939.53,-8568523.15,14658133.98,50918949.20,94040788.46,679664037.19,53758381.78,41914034.25,11852546.75,8357603.86,8407398.37,10448974.69,1971193.84,5418098.14,557235.29
公允价值变动收益,,,8274698.96,51416460.24,-34363397.58,-30417782.02,10322258.54,188351.34,-1115982.11,11.70,,,,,415589.94,2176274.48,1416159.66,3932418.33,1034868.43,2610817.78
资产处置收益,,,,,,,,,,,,1528152.02,151868.27,-1566074.94,994815.34,758108.38,115422.59,-2354401.87,-4971062.98,567228.68
营业利润,-1853485.95,37974459.54,-57495333.09,-88445512.35,161461175.44,30661877.68,-154838819.56,10586496.17,-36937616.02,-501520383.43,333752379.31,53572728.63,111341994.85,237192674.94,188911629.27,150159871.81,38795209.55,-144761162.36,157122397.79,228907840.09
