科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
销售商品、提供劳务收到的现金,2525848433.55,2568264936.52,2852593670.97,2134195869.18,2449442447.07,2026971100.58,2628872513.55,2896881043.68,3367532965.71,3369148416.45,3664562628.12,3827586876.03,4566966328.43,5035568386.01,4678628374.31,5249313686.18,5269312283.34,6303910196.63,6277294974.34,6068119774.91
收到的税费返还,9459011.45,10759355.99,6664632.52,8454087.46,10517966.61,13549937.89,,,1573422.75,2171922.05,4427955.32,4460350.88,25837590.31,3209356.07,3007421.91,8927713.52,43133564.24,26876160.55,29482704.55,24519380.96
收到其他与经营活动有关的现金,61975392.62,27034329.00,151203409.32,316871908.47,41645268.22,88798695.96,70629562.43,30540999.29,58393663.70,153278273.13,26684214.79,28576064.88,30266069.59,23622466.84,80687271.96,30553397.47,49337144.41,35559121.54,109916705.47,98236735.94
经营活动现金流入小计,2597282837.62,2606058622.11,3010461712.81,2459521865.11,2501605681.90,2129319734.43,2699502075.98,2927422042.97,3427500052.16,3524598611.63,3695674798.23,3860623291.79,4623069988.33,5062400208.92,4762323068.18,5288794797.17,5361782991.99,6366345478.72,6416694384.36,6190875891.81
购买商品、接受劳务支付的现金,1971841046.01,1896972029.52,2092352365.69,1327124343.13,1586575637.41,1251306364.77,1636371436.26,1851146832.09,2133853908.96,1916500002.97,2235189528.20,2562520791.27,3265292302.38,3319172947.42,3080032835.97,3524800084.06,3729143348.94,4445946746.35,4443968217.44,4209541774.47
支付给职工以及为职工支付的现金,257374412.29,260941553.79,340720982.72,489469338.07,334835032.24,304273398.70,304057793.59,403226453.51,524659990.83,588734619.13,553098967.83,559319353.74,602886048.55,630449193.25,571738944.81,675126629.38,699428595.20,884910032.02,838093025.37,848373779.89
支付的各项税费,93641213.78,114317140.90,151832789.52,143852057.27,171304239.32,147950587.01,142968898.38,190386930.04,210912315.16,181858599.57,185847935.61,289266608.59,132461058.36,208183024.10,209632982.73,183670544.00,178443342.84,193615669.69,202521365.96,223459249.43
支付其他与经营活动有关的现金,86260934.84,145070506.28,174522485.79,126900927.01,130573698.97,142197025.08,325902156.47,253215634.35,329659004.90,306535212.71,281646199.23,277141106.38,245492644.67,306324385.48,289153874.23,321319286.81,288208307.34,292164748.64,257148057.97,221311210.70
经营活动现金流出小计,2409117606.92,2417301230.49,2759428623.72,2087346665.48,2223288607.94,1845727375.56,2409300284.70,2697975849.99,3199085219.85,2993628434.38,3255782630.87,3688247859.98,4246132053.96,4464129550.25,4150558637.74,4704916544.25,4895223594.32,5816637196.70,5741730666.74,5502686014.49
经营活动产生的现金流量净额,188165230.70,188757391.62,251033089.09,372175199.63,278317073.96,283592358.87,290201791.28,229446192.98,228414832.31,530970177.25,439892167.36,172375431.81,376937934.37,598270658.67,611764430.44,583878252.92,466559397.67,549708282.02,674963717.62,688189877.32
收回投资收到的现金,1069178710.60,762582598.04,1104898564.83,512025489.29,548375920.13,442269849.14,480717520.08,360768239.66,2306703055.27,1196000000.00,3083661402.33,3255000000.00,2188657910.98,1912817996.31,1066000000.00,988000000.00,815060630.29,1139520661.00,1866128203.02,1632602893.00
取得投资收益收到的现金,28456666.43,,,,,14596877.86,22787242.77,19437376.65,27733896.73,99210333.03,89049683.39,53758381.78,18585761.06,6042316.84,8357603.86,9762167.07,9905642.69,8229599.97,10163076.71,7536938.09
处置固定资产、无形资产和其他长期资产收回的现金净额,3681859.98,7766670.65,35346034.38,51909431.20,39853470.84,1588262.91,1678073.91,139312.53,19677720.35,20393437.05,18815879.69,3235661.30,3854187.62,22826023.36,2201698.81,472464.68,1210884.58,1437051.42,914973.95,13783055.05
处置子公司及其他营业单位收到的现金净额,,,,,,-20843843.50,471642.47,,,,626656969.86,,,,,,,,,
收到其他与投资活动有关的现金,10037721.96,899599162.45,525097700.00,135961100.00,135961100.00,,,,32100000.00,53073105.69,28631811.92,,,,,,76163473.07,177450.00,10024820.66,3037140.80
投资活动现金流入小计,1111354958.97,1669948431.14,1665342299.21,699896020.49,588229390.97,437611146.41,505654479.23,380344928.84,2386214672.35,1368676875.77,3846815747.19,3311994043.08,2211097859.66,1941686336.51,1076559302.67,998234631.75,902340630.63,1149364762.39,1887231074.34,1656960026.94
购建固定资产、无形资产和其他长期资产支付的现金,645812485.45,724915398.54,660059186.75,523577866.66,479738370.33,533947915.42,498749590.22,525656555.80,521418259.07,414678140.56,379485335.87,294788948.42,362787776.57,382834483.94,321638327.24,384411850.97,458945305.91,283220203.01,529716263.79,640573274.03
投资支付的现金,1180242371.93,560072752.79,1554113791.05,485328430.00,432727515.00,402221318.45,446959231.00,109767000.00,3302930137.86,1488358869.52,2883537004.18,2720000000.00,1995000000.00,1755000000.00,1112200001.00,1058000000.00,842000000.00,1200000000.00,1859950000.00,1726900000.00
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,272850418.88,,
支付其他与投资活动有关的现金,23678149.79,949366.25,949366.25,64734120.40,64734120.40,259624.19,10.70,,25522000.00,,2318310.14,110710.86,7376635.98,,,4971230.80,,4448900.00,3161993.37,2883850.00
投资活动现金流出小计,1849733007.17,1285937517.58,2214172977.80,1073640417.06,912465885.33,936428858.06,945708821.22,635423555.80,3849870396.93,1903037010.08,3265340650.19,3014899659.28,2365164412.55,2137834483.94,1433838328.24,1447383081.77,1300945305.91,1760519521.89,2392828257.16,2370357124.03
投资活动产生的现金流量净额,-738378048.20,384010913.56,-548830678.59,-373744396.57,-324236494.36,-498817711.65,-440054341.99,-255078626.96,-1463655724.58,-534360134.31,581475097.00,297094383.80,-154066552.89,-196148147.43,-357279025.57,-449148450.02,-398604675.28,-611154759.50,-505597182.82,-713397097.09
吸收投资收到的现金,97323793.61,45026074.69,175000.00,,,79996276.10,91961585.13,979060605.57,,2340000.00,10000.00,,,134017105.25,202046958.35,,,245404382.45,,296899998.68
  其中：子公司吸收少数股东投资收到的现金,,,175000.00,,,79996276.10,91961585.13,464498.95,,2340000.00,10000.00,,,,202046958.35,,,245404382.45,,
取得借款收到的现金,1238644910.39,1385937697.77,2211127470.00,1623483223.33,1908058097.26,2180153197.85,1794398640.76,1544546469.57,2421146602.36,3036029900.00,3386203000.00,1321500000.00,1741950000.00,865000000.00,1274000000.00,626205949.46,722133222.85,635522942.26,748919010.00,729739754.47
发行债券收到的现金,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金,1124521.76,,,89999677.90,89999677.90,,,,,,,41490000.00,,49500000.00,,22300000.00,35000000.00,25000000.00,,
筹资活动现金流入小计,1337093225.76,1430963772.46,2211302470.00,1713482901.23,1908058097.26,2260149473.95,1886360225.89,2523607075.14,2421146602.36,3038369900.00,3386213000.00,1362990000.00,1741950000.00,1048517105.25,1476046958.35,648505949.46,757133222.85,905927324.71,748919010.00,1026639753.15
偿还债务支付的现金,503123457.25,1554780897.57,1641580070.00,1907488940.00,1634525483.00,1844734947.01,1732335347.34,1490170591.48,2094641235.37,2654644280.00,4264914600.00,1805726000.00,1720796666.67,1274734586.42,1387006666.66,840400000.00,591024318.00,932988468.77,910217152.84,610179348.45
分配股利、利润或偿付利息支付的现金,135951595.22,127470113.95,163768135.52,120173279.15,88612589.54,160261917.88,130914047.58,136172071.49,174867618.15,135639465.22,166878730.94,145190747.86,81174774.33,77262378.29,98959887.78,84944246.98,60351669.39,40024463.38,56149512.28,47450246.94
  其中：子公司支付给少数股东的股利、利润,,,,9355077.13,9355077.13,,,,2641860.88,,,,,,,,,,,1875000.00
支付其他与筹资活动有关的现金,3052500.00,809329.76,809329.76,,,23940.37,100685240.92,177243102.13,173119188.82,87481150.57,11818248.36,,678000.00,3854529.56,93458669.28,2369145.54,850100.86,2649827.33,4225619.24,4441464.05
筹资活动现金流出小计,642127552.47,1683060341.28,1805348205.52,2027662219.15,1723138072.54,2005020805.26,1963934635.84,1803585765.10,2442628042.34,2877764895.79,4443611579.30,1950916747.86,1802649441.00,1355851494.27,1579425223.72,927713392.52,652226088.25,975662759.48,970592284.36,662071059.44
筹资活动产生的现金流量净额,694965673.29,-252096568.82,405954264.48,-314179317.92,184920024.72,255128668.69,-77574409.95,720021310.04,-21481439.98,160605004.21,-1057398579.30,-587926747.86,-60699441.00,-307334389.02,-103378265.37,-279207443.06,104907134.60,-69735434.77,-221673274.36,364568693.71
汇率变动对现金及现金等价物的影响,-4956086.37,-12680072.06,-2011053.42,753962.42,-2140569.90,-2374226.50,973743.86,1136307.42,-1015749.18,-6776263.09,2962805.46,-3522545.42,106329.13,1905115.65,-6026096.68,-2643816.52,8381085.08,3369449.61,2945922.00,3365931.93
现金及现金等价物净增加额,139796769.42,307991664.30,106145621.56,-314994552.44,136860034.42,37529089.41,-226453216.80,695525183.48,-1257738081.43,150438784.06,-33068509.48,-121979477.67,162278269.61,96693237.87,145081042.82,-147121456.68,181242942.07,-127812462.64,-49360817.56,342727405.87
加：期初现金及现金等价物余额,478757865.30,618554634.72,926546299.02,1032691920.58,717697368.14,854557402.56,892086491.97,665633275.17,1462058408.52,204320327.09,354759111.15,321690601.67,199711124.00,361989393.61,458682631.48,603763674.30,456642217.62,637885159.69,510072697.05,460711879.49
期末现金及现金等价物余额,618554634.72,926546299.02,1032691920.58,717697368.14,854557402.56,892086491.97,665633275.17,1361158458.65,204320327.09,354759111.15,321690601.67,199711124.00,361989393.61,458682631.48,603763674.30,456642217.62,637885159.69,510072697.05,460711879.49,803439285.36
