科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
毛利率 Gross margin(%),14.68,18.03,16.48,14.29,21.83,21.56,18.17,25.13,20.95,17.48,20.32,17.25,18.44,21.59,21.78,19.38,13.97,12.26,17.43,18.27
净利率 Net margin(%),0.59,4.90,0.26,-10.13,8.70,3.58,1.68,4.38,0.46,-17.79,7.18,2.16,2.77,4.93,4.05,2.91,0.49,-2.89,2.54,3.55
销售费用率 S&D exp ratio(%),5.79,5.27,5.11,4.99,4.71,5.63,6.08,6.06,6.57,8.10,6.84,5.45,5.15,5.35,5.42,5.21,2.44,2.52,2.50,2.41
管理/行政费用率 Admin exp ratio(%),8.63,10.54,9.34,12.89,8.43,8.54,9.24,12.53,11.68,13.13,12.29,10.22,5.94,5.66,6.55,4.80,5.53,5.37,5.41,5.73
研发费用率 R&D exp ratio(%),,,,,,,,,,,,,3.63,3.89,4.51,4.54,4.68,4.71,4.24,4.35
ROE(期末) Return on year-end equity(%),0.26,6.05,1.37,-11.61,9.66,3.76,2.75,3.74,1.68,-12.66,7.47,1.59,2.94,6.34,5.21,3.05,0.44,-3.72,3.37,3.52
ROE(年均) Return on avg equity(%),,6.21,1.35,-10.93,10.15,3.81,2.78,4.51,1.68,-12.03,7.66,1.59,2.98,6.54,5.33,3.08,0.44,-3.66,3.41,3.71
经营现金流/净利 OCF/Net profit,16.836,1.683,39.338,-1.698,1.191,3.276,7.477,2.103,17.444,-1.086,2.082,2.433,3.528,2.692,3.695,4.319,20.003,-3.409,4.721,3.439
Capex/净利 Capex/Net profit,57.785,6.462,103.434,-2.388,2.053,6.167,12.850,4.818,39.822,-0.848,1.797,4.161,3.396,1.723,1.943,2.843,19.676,-1.756,3.705,3.201
应收/营收 AR/Revenue(%),8.77,7.94,7.63,11.17,9.85,12.18,14.38,14.39,16.93,17.68,15.76,13.87,12.18,10.02,11.78,12.84,13.97,11.05,13.27,15.29
存货/营收 Inventory/Revenue(%),27.16,30.88,35.62,22.88,21.87,21.68,22.50,22.10,26.43,26.94,22.16,25.81,27.82,21.56,20.33,22.52,26.41,24.10,22.27,21.74
资产负债率 Liabilities/Total assets(%),47.29,50.42,59.18,60.61,62.32,63.14,60.82,50.19,51.05,57.66,51.73,48.61,49.32,43.43,37.28,37.97,43.44,43.63,42.03,43.25
归母/净利 Parent/Net profit(%),45.92,112.24,437.54,96.19,83.08,89.44,149.14,109.19,407.47,74.51,106.88,67.67,84.88,93.82,108.28,78.94,65.11,77.65,81.26,67.77
扣非净利率 Adj net margin(%),-0.58,0.94,-2.10,-6.73,5.15,3.25,-5.26,2.58,-1.11,-17.94,-11.53,-2.77,-0.50,3.04,2.34,0.53,-1.30,-2.54,1.71,2.10
应收账款周转天数 AR turnover days,32.0,27.7,27.2,36.5,34.4,42.2,49.6,50.6,53.7,64.5,58.9,51.2,43.7,37.3,41.7,42.3,48.4,41.9,44.2,52.1
存货周转天数 Inventory turnover days,116.2,118.6,139.6,136.4,94.1,106.9,100.9,104.7,105.4,120.5,108.4,100.9,111.2,105.5,103.0,91.4,102.7,96.9,102.0,98.2
应付账款周转天数 AP turnover days,49.4,48.2,43.2,46.4,47.8,60.5,68.4,75.8,64.7,77.5,83.3,78.7,,64.9,68.1,66.9,72.6,66.5,75.3,89.1
现金及金融资产/总资产 Cash&financial/TA(%),13.40,17.75,21.75,19.18,18.23,15.82,13.41,20.68,4.70,5.02,5.03,4.04,9.72,11.64,13.32,12.21,14.76,14.70,13.36,16.72
固定资产PPE/总资产 PPE/TA(%),52.19,43.38,39.11,44.22,45.42,41.05,37.24,41.58,43.93,38.77,44.76,49.24,47.42,47.35,45.25,45.79,45.44,41.65,38.48,35.55
存货/总资产 Inventory/TA(%),11.03,13.55,14.46,8.57,9.07,8.00,8.03,7.61,9.51,9.02,8.74,12.04,14.71,13.69,11.90,14.57,16.01,16.80,15.73,13.68
(应收+预付)/总资产 Receivables&prepay/TA(%),4.49,4.12,3.47,4.60,6.52,9.17,6.88,6.07,7.91,6.74,6.80,7.49,8.15,7.55,8.25,8.96,8.94,8.17,9.95,10.35
当年分红率 Payout ratio(%),2648.79,101.23,586.53,-56.99,45.64,206.96,226.17,114.29,327.75,-37.24,73.91,302.81,89.52,37.06,55.20,79.60,397.41,-31.96,48.33,34.99
少数股东损益/净利润(%·少数股东leak),54.08,-12.24,-337.54,3.81,16.92,10.56,-49.14,-9.19,-307.47,25.49,-6.88,32.33,15.12,6.18,-8.28,21.06,34.89,22.35,18.74,32.23
少数股东权益/所有者权益合计(%),19.50,19.63,18.90,20.14,17.58,14.81,17.00,11.68,18.42,17.17,16.13,16.56,16.59,18.20,21.30,21.55,21.71,25.42,25.37,24.33
扣非归母/归母净利润(%),-212.46,17.12,-188.56,69.08,71.28,101.71,-209.68,53.90,-59.52,135.30,-150.27,-189.44,-21.47,65.88,53.40,23.05,-405.59,113.36,83.06,87.35
"有息负债(短借+一年内+长借+应付债券+租赁负债,元)",1029133434.82,1596499276.25,1913022752.87,1869422590.87,2096485214.57,1920291552.32,1905682822.86,1967147549.58,2452058534.50,1705707894.05,1796713919.75,1314487919.75,1337641253.08,931694694.91,620714059.80,607148798.29,885135899.31,810389949.69,643875587.75,772305480.90
有息负债/总资产(%),22.11,30.58,31.02,32.38,32.39,29.29,29.46,27.18,30.81,20.79,24.07,18.74,18.34,13.11,8.90,8.45,11.28,10.11,8.07,8.62
"货币资金-有息负债(净现金,元)",-410578800.10,-669952977.23,-880330832.29,-1151725222.73,-1241927812.01,-1028205060.35,-1161754698.54,-493354533.70,-2077976601.24,-1294020054.57,-1421660734.92,-1030995392.22,-628868333.25,-365414888.96,79132105.74,-50182544.99,-81129415.91,-23603635.34,81204345.13,265421976.60
在建工程/固定资产(%),8.42,16.66,24.02,20.16,8.02,13.47,36.90,19.52,13.90,24.13,14.41,9.79,5.49,9.02,12.22,8.29,3.61,9.47,18.81,27.50
"母公司现金分红(剔付息与少数股东·估算,元)",135951595.22,127470113.95,163768135.52,110818202.02,79257512.41,160261917.88,130914047.58,136172071.49,172225757.27,135639465.22,166878730.94,145190747.86,19608603.37,28539338.91,61825824.21,58360314.41,27683070.89,3110055.71,30642325.85,28760308.22
