科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
货币资金,618554634.72,926546299.02,1032691920.58,717697368.14,854557402.56,892086491.97,743928124.32,1473793015.88,374081933.26,411687839.48,375053184.83,283492527.53,708772919.83,566279805.95,699846165.54,556966253.30,804006483.40,786786314.35,725079932.88,1037727457.50
交易性金融资产,4973200.00,,308274698.96,389804349.20,325340761.62,144976979.60,123354630.77,22669982.11,,,,,,261000000.00,229254659.11,319950821.57,353986956.13,391004164.37,340961353.43,461444361.80
应收票据,136606838.81,221330679.31,171816151.01,255561000.37,476438469.99,555481036.51,549142872.78,495899673.63,405306820.26,365282959.08,325677365.77,308268094.55,927173796.16,132904061.42,109467880.08,27376155.31,20528669.72,19395234.41,115961428.29,14379568.03
应收账款,165660600.39,181949493.64,190839452.54,241718395.92,264423360.62,294885730.57,331945509.21,358499219.42,484984105.99,485858470.73,463880825.08,454098937.41,469932717.44,452036770.32,481302424.83,596842072.83,664400210.81,617720044.35,748074406.38,862595302.32
应收款项融资,,,,,,,,,,,,,,349522984.45,410816440.73,421307319.57,387256543.69,468877980.33,337625013.56,574453369.94
预付款项,43326509.10,32963623.75,23383205.44,23821803.52,157676523.12,306202946.63,112853214.08,80853020.35,144263719.46,67033690.08,43842681.13,71513350.53,124730924.34,84367519.73,93993580.79,47054588.04,37400291.75,37276894.41,45832061.58,64935703.69
其他应收款,84129729.91,38911833.13,47045971.54,44234323.05,54795242.04,41357655.25,61797004.64,47965667.56,46034020.21,38014544.62,14121694.22,11132049.83,11696318.12,12129903.95,7620882.21,9149455.26,18512608.65,10534145.22,10538575.70,7646770.55
存货,513331873.20,707311914.77,891449807.20,494967936.32,587265228.48,524779738.84,519196273.09,550431661.43,757183947.67,740268166.53,652298399.73,844722685.54,1072954477.14,972664173.77,830423537.57,1046814554.06,1256037961.23,1346703315.87,1255025526.95,1226305634.56
合同资产,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,2723863.95,,,,,,1097417083.11,510123314.57,1172152691.45,627390848.57,186920354.72,38572942.44,22828401.02,47793740.59,31014267.13,19016336.44,22295238.28,44252791.40
流动资产合计,1566583386.13,2109013843.62,2668225071.22,2168259776.52,2720973488.43,2762641276.59,2442217628.89,3030112240.38,3314883629.96,2618702235.09,3047026842.21,2600618493.96,3032248790.31,2869478162.03,2885553971.88,3073254960.53,3573143992.51,3697314429.75,3601393537.05,4293740959.79
可供出售金融资产,167599465.80,,151715078.12,,130000000.00,158000000.00,150000000.00,10.70,11.70,1047234132.92,84317432.56,76699477.68,18007766.40,,,,,,,
其他权益工具投资,,,,,,,,,,,,,,,,,,,,
其他非流动金融资产,,,,,,,,,,,,,,15000000.00,34160930.83,34386383.74,31336248.27,27404998.23,25445455.23,24959018.21
长期应收款,,,,,,,,,,,,,,,,,,,,
长期股权投资,18798179.69,2790037.75,2103677.02,1078230.62,182970.74,166229472.19,145591979.95,140684469.70,,11.70,,,,,,,,,,
投资性房地产,9672653.12,9382473.44,9382473.44,,,,,,,,,30135872.32,69521598.71,70802208.47,68229370.79,65656533.11,63083695.51,60510857.87,57938020.25,55365182.66
固定资产,2429022533.69,2264541918.47,2411703565.33,2552635296.98,2940432785.17,2691650816.72,2409236461.44,3009106865.92,3496591371.10,3179844391.60,3340887784.74,3454626023.92,3458514755.66,3364972741.56,3156480238.77,3289391091.07,3566217905.19,3337397756.82,3069886248.95,3186935298.98
在建工程,204567755.89,377317096.80,579244812.49,514566314.35,235758930.90,362647895.70,888923146.94,587406968.32,485925455.10,767336286.10,481484704.37,338113530.25,189933801.67,303647406.29,385609882.93,272721925.87,128745159.19,316217183.94,577381827.59,876531912.25
工程物资,1278794.12,491713.05,427000.18,420513.43,16221046.72,16221046.72,,10.70,272248.84,271992.43,,,,,,,,,,
固定资产清理,,155934016.36,8378123.95,39693764.85,,57428.30,,,11.70,11.70,,,,,,,,,,
使用权资产,,,,,,,,,,,,,,,,346625.82,206829.42,22400606.56,19780306.29,27354100.27
无形资产,207375859.69,284444320.52,323245013.54,323557750.85,398379034.93,380204506.21,409673894.76,442537307.14,574133343.77,550186389.72,466647936.90,447588749.19,430350374.66,391077778.90,389052924.87,368617618.47,402157093.98,387535455.46,372860537.51,358662688.74
开发支出,,,,,,,,,11.70,8719682.90,6831145.70,627345.82,800275.10,707582.22,914064.17,884317.28,546894.31,773202.12,266520.51,12275.22
商誉,7643536.51,7643536.51,7643536.51,7643536.51,7643536.51,7643536.51,7643536.51,7643536.51,7643536.51,11.70,,,,,,,,28174048.54,24773668.96,21988710.15
长期待摊费用,39200095.08,6132505.41,4891323.42,3322299.92,3709952.35,3709952.35,,,7738629.57,14893756.13,25771558.31,57474451.94,83175507.61,76442936.81,43749099.69,21568189.03,22772654.21,37447858.66,48467928.16,48138052.47
递延所得税资产,2869364.21,3036615.28,8638204.34,8011481.43,20165694.73,27369496.26,16094504.49,18319457.02,14875470.93,15463375.25,10429867.66,9572745.63,11413776.58,14007650.27,12247223.40,12887730.77,17798902.97,9346479.91,11920690.54,7221268.16
其他非流动资产,,,,,,,,,,,,,,,,43567545.81,41677297.94,89379538.14,168254267.06,63484768.30
非流动资产合计,3088028237.80,3111714233.59,3497990334.90,3604729188.94,3752493952.05,3793803151.89,4027163524.09,4206085254.15,4644431258.70,5583950007.05,4416370430.24,4414838196.75,4261717856.39,4236658304.52,4090443735.45,4110027960.97,4274542680.99,4316587986.25,4376975471.05,4670653275.41
资产总计,4654611623.93,5220728077.21,6166215406.12,5772988965.46,6473467440.48,6556444428.48,6469381152.98,7236197494.53,7959314888.66,8202652242.14,7463397272.45,7015456690.71,7293966646.70,7106136466.55,6975997707.33,7183282921.50,7847686673.50,8013902416.00,7978369008.10,8964394235.20
短期借款,69488950.22,653926190.00,986371561.17,854926555.86,1258011429.57,1247975048.75,1051307955.90,1224015914.24,2050518130.00,1572727600.00,1680000000.00,1201000000.00,1202000000.00,851069134.29,620714059.80,526984413.35,497106421.56,260234819.42,283812186.30,323167198.72
应付票据,60839307.48,74983280.55,130834693.54,75245123.41,226820276.70,295410246.91,335613503.72,193633037.89,213100373.78,298523364.64,271995995.68,358691867.77,1141998144.16,439212060.32,362245276.53,458287908.44,680824130.72,825335580.82,824259451.60,831403912.64
